cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0.0,Estado,Estai,Boa besta,Estamos,estado,,,,,,,,,,,,
1.0,hierarguia,aguiar,Daroguia,Viera,Largo,,,,,,,,,,,,
2.0,Cario,caricias,seminario,Calvario,Tresvario,Carinhos,,,,,,,,,,,
3.0,Vamo-nos,Amo,Amor,Hipopotamol,Vamos,,,,,,,,,,,,
4.0,"Santis-
sima Trindade",Santis-,Trindade,,,,,,,,,,,,,,
5.0,Rosina-,Ensina,"sinei-
ros",rua Rosina,,,,,,,,,,,,,
6.0,fazes.- Ia a dizer:-,Fizera,Fazes,S.-O,dizer:- Fiz,,,,,,,,,,,,
7.0,Ldestruicao,prostituicao,Aldeia de Honra destruido.l,,,,,,,,,,,,,,
8.0,desesperados:-,Ses,Espero,,,,,,,,,,,,,,
9.0,petroleo,Proletariado,leos,,,,,,,,,,,,,,
10.0,"Nossa
senhora","Nossa
Senhora das Dores","Nossa
Senhora de Lourdes","Nossa
Senhora","Nossa
Senhora
Ela","Nossa
Senhora de Lourdes...",,,,,,,,,,,
11.0,U  H I1It  1,T 1E  I AI0,,,,,,,,,,,,,,,
12.0,vieira,VIEIRA,praia da Vieira,Vieira,,,,,,,,,,,,,
13.0,Morais,Moral,Cabrais,,,,,,,,,,,,,,
14.0,Suspenda,Legenda,Lausperee,,,,,,,,,,,,,,
15.0,delas:--,Bruxelas,tes:-,,,,,,,,,,,,,,
16.0,Vidalti,aivida,Nutrida,rorbida,Dal,Ovidio-,,,,,,,,,,,
17.0,Ponte,monte Olimpol,Ponho,Defronte,Ponte Nova,ma negocio ponttal,Contemplal,,,,,,,,,,
18.0,pos-,Posso,Aos-,Vagos-,Raposo,,,,,,,,,,,,
19.0,Necessitava,Citava,necessita,,,,,,,,,,,,,,
20.0,CRIME,NIME,alecrim,PrimO,Turim,O0CRIME,,,,,,,,,,,
21.0,do Norte,Norte,rua do Norte,,,,,,,,,,,,,,
22.0,"Bento
saceristaio","Santissimo
Sacramento",Santissimo Sacramento,Certissimo,Santissimo,Sacramento,,,,,,,,,,,
23.0,"baui de
lata","cosia de
luneta",,,,,,,,,,,,,,,
24.0,Pelxoto,L29PELa9.exCeL9GOLPES-.s-,Pel,Peixoto,Papel,,,,,,,,,,,,
25.0,EM1,quem1,QUe,,,,,,,,,,,,,,
26.0,Judia,Qual Judial,Pal upa,,,,,,,,,,,,,,
27.0,Faz-me,Rapaz-,Faz,,,,,,,,,,,,,,
28.0,Gosta,PosTAS E PAR1,"pocilga do
Agostinho",Gostas,Gostava,Vista-,Foste,,,,,,,,,,
29.0,gloria,memoria,Historia,OORI1tE,S. Gorislano,lorpa,"Mis-
victoria",,,,,,,,,,
30.0,C6rrego das Tristes,Associago das Servas,orva,Associago,,,,,,,,,,,,,
31.0,Tulherias,Mulher,,,,,,,,,,,,,,,
32.0,Sol,absolvicao,solu-1,,,,,,,,,,,,,,
33.0,Fumava,Costumava,"porta do
Fumava",Estimava,Uma-arma,,,,,,,,,,,,
34.0,Goncalves,snr.- Goncalves,,,,,,,,,,,,,,,
35.0,"Desalento
QUando Amaro",Desalento,"frasc
do Violento",Quando Amaro,,,,,,,,,,,,,
36.0,Juro,Juras,Europa,,,,,,,,,,,,,,
37.0,dEpois,Pois,Bois,Coisa,,,,,,,,,,,,,
38.0,Dele-a,Delecluze,Dele la,Belem,,,,,,,,,,,,,
39.0,Tamanho,Junho,Amanh,,,,,,,,,,,,,,
40.0,S. Janeiro,Janeiro,O7 de Janeiro,,,,,,,,,,,,,,
41.0,Sala,sala.- Mas,Jerusal,Sala-,Falar0d,Salario,,,,,,,,,,,
42.0,e2gl2kls-noite,Boas-noites,Anoitecer,Vomite,,,,,,,,,,,,,
43.0,Preparou-a,Preparos,rouba,vidraga da reparticao,Parou,,,,,,,,,,,,
