cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37
0,la s6,s6,"Ola Bela sociedade
Galgou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Vamo-nos,Amo,suaAm-,Amor,Mogno,cabo do Ultramontanismol,"exclamou
Gustavo.-Quando",AMBI,Famosa,Hipopotamol,cxclamotl,Vamos,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rosina-,"sinei-
ros",rua Rosina,Inglesinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,lha,Olha,Milhares,Olhavam-no,Batalha,Ajoelhava,Bastilha,Julho,velha,Migalhas,Ajoelhado,Olhava,Canalha,,,,,,,,,,,,,,,,,,,,,,,,,
4,O1III,"rg1IN,1III",UM1II,1I,O1C,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ponte,monte Olimpol,Ponho,Defronte,Ponte Nova,Contemplal,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,do Norte,reino do Ceu,Norte,rua do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gosta,PosTAS E PAR1,Estamos,Gostas,Gostava,Vagos-,Vista-,Golgota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"E1

vI",E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,petroleo,Apro-,Juro,RO,Roda,proxima,roxO,matrona,Eu u2ro0,rorbida,Setembro,Coroa,Livros,provotu,,,,,,,,,,,,,,,,,,,,,,,,
10,A4O,4O,a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
