cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0,Silencio,"bom
Silencio",bom Silencio,e--,,,,,,,,,,,,,,,,
1,Faz-me,pOr-me,Vim,Faz,Fazem-me,,,,,,,,,,,,,,,
2,pAra,CL,Parado,Paraiso,Parabens,,,,,,,,,,,,,,,
3,Tenho,Rg.3,Ponho,fe,Venho,Junho,secura:-- Tenho,,,,,,,,,,,,,
4,anda,Anda,Outra-Banda,irlanda,Mandara,Andava,Anda-me,Z.1,ajudanda,veneranda,,,,,,,,,,
5,Mulher,Iarselhesa,Hereticus,Julho,cO,OU,quc,Tulherias,,,,,,,,,,,,
6,Hei-de,Hei-de-lhe,Hi-de,HEi-de,,,,,,,,,,,,,,,,
7,Caput,Sio,sioes,"Io
sio
oIIE",Ansioso,Ansiosas,Rossio,,,,,,,,,,,,,
8,alegre,ce,I-,Alegres,tao alegre,,,,,,,,,,,,,,,
9,provotu,proxima,Provarei,E,Apro-,,,,,,,,,,,,,,,
10,Nantes,"CLasse9DEANte DE9E.
EEEetEeLEegelEEmeEErE",Elefantel,afli6es,tes:-,,,,,,,,,,,,,,,
11,Come-,Prometo,Comecos da Primavera,Comega,Cometera,com-,,,,,,,,,,,,,,
12,Quere-me,QUeres,Teresas,Quereis,Nol,Queres,,,,,,,,,,,,,,
13,Qual-fez,Roda,Al-fez,Qual Judial,,,,,,,,,,,,,,,,
14,Ponte,Ponte Nova,monte Olimpol,Contemplal,ma negocio ponttal,Defronte,,,,,,,,,,,,,,
15,Diga,Ciganos,fadiga do porto,Inulsigao,Ohl,Diga-me 1al Traste,Digo,,,,,,,,,,,,,
16,Pel,Papel,L29PELa9.exCeL9GOLPES-.s-,Pelxoto,3I,,,,,,,,,,,,,,,
17,"Africa
a91",Rica,Ricas,Frica,Africa,africa,,,,,,,,,,,,,,
18,guarda-sOis,nio da guardal,cabo dos guarda-chuvas,,,,,,,,,,,,,,,,,
19,Imaginava,imaginagcao,Imaginara,Imaginei,Imagine,Imaginas,U  H I1It  1,Imaginem,imaginaco da rapariga,,,,,,,,,,,
20,I11,Bonito,Pitonisa,Dezoito,,,,,,,,,,,,,,,,
21,ores,Arvore,Louvores,Coreto,"tam-
dores",Flores,florescencla,,,,,,,,,,,,,
22,grata de Deus,O1dE DE P,"Pimen-
tel de Outrem...",Bairro de David,Hotel de Ville,HU,Pis,Torre de Babel,Minuete de Mozart,Jardim de Lazaro,"Sol
de Dezembro",NLLYehas anedotas de frades,,,,,,,,
23,o Cristo,"S. Crisologo
S. Cipriano",cavaleiro de Cristo,Pa-,Comendador de Cristo,Pobre de Cristo-,tristeza,Cristo-,,,,,,,,,,,,
24,Trago,Pago,tra,tragedia,Tragou,,,,,,,,,,,,,,,
25,Pois,dEpois,Coisa,Bois,,,,,,,,,,,,,,,,
26,D-lhe,Perguntava-lhe,Ia-lhe,Pego-lhe,Lembraram-lhe,Fale-lhe,Se-lhe,Dize-lhe,Devo-lhe,Meteu-lhe,IL.i,Pode-lhe,Velo-lhe,Bufa-lhe,,,,,,
27,Chiquital,Muita,Freitas,Juro,excitagac,Julita,Militar,Figurita,Bonita,Ievita,,,,,,,,,,
28,Macaco,Acaso,Maca,Macaco e da Baleia,,,,,,,,,,,,,,,,
29,Ajoelhava,Io,Olhava,Havanesa,Ha,Es,Olha,Olhavam-no,chocalhava,,,,,,,,,,,
30,Percebera,Percebia,plebelJesus,,,,,,,,,,,,,,,,,
