cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,ALGIERS,Egypt,Jersey,po,Persia,Algiers,Trafalgar,,,,,,,,,,,,,,,,,,
1,Aldgate,"Kate:—""you",Newgate,NEED,Ramsgate,Margate,,,,,,,,,,,,,,,,,,,
2,Cape Horn,Inn,Cape,Holborn,,,,,,,,,,,,,,,,,,,,,
3,"treasure,—he","pleasure,—nay",Jew,"captive,—had",Surrey,"crime,—he","nature,—if",,,,,,,,,,,,,,,,,,
4,Woolwich,woollens,Wooloomooloo,Richmond,Greenwich,,,,,,,,,,,,,,,,,,,,
5,Devonshire,Berkshire,Somersetshire,buff,Lancashire,Staffordshire,Prisons,Lyons,,,,,,,,,,,,,,,,,
6,WARWICK SQUARE,Wicks,Brunswick,,,,,,,,,,,,,,,,,,,,,,
7,"significantly,—as","wildly,—at",japonica,Hants,Barbican,Squibs,Tuscany,Ohio,,,,,,,,,,,,,,,,,
8,Italy,Tommy,crystal,Spitalfields,Talbot,Capital,,,,,,,,,,,,,,,,,,,
9,the Tower Hamlets,the Black Tower,Tower Hamlets,,,,,,,,,,,,,,,,,,,,,,
10,Eva,Levant,Geneva,,,,,,,,,,,,,,,,,,,,,,
11,Dublin,"ejaculated—""Selina",Berlin,Holiness,Adeline,Messalina,,,,,,,,,,,,,,,,,,,
12,Black,Blackheath,Palace,Blackfriars,,,,,,,,,,,,,,,,,,,,,
13,the New Cut,New Caledonia,the New Road,the North Pole,the New Prison,,,,,,,,,,,,,,,,,,,,
14,Mossop,Redcross,,,,,,,,,,,,,,,,,,,,,,,
15,Zingary,Zingarai,Hungary,Zingarees,,,,,,,,,,,,,,,,,,,,,
16,East,the East Indies,the East a few weeks ago,the Railway east,West Indian,India,,,,,,,,,,,,,,,,,,,
17,Cambridge,inn,Knightsbridge,Cambridgeshire,Camberwell,,,,,,,,,,,,,,,,,,,,
18,"it,—when","the Place Vendome,—whether",CLXIII,"instance,—when","fashion,—whereas","danger,—when",,,,,,,,,,,,,,,,,,,
19,Saint John's,Saint Joanna,Saint James's,Johnny,,,,,,,,,,,,,,,,,,,,,
20,Cracksmen,Leipzig,Suez,Barracks,trois,Cracksman,Magsmen,,,,,,,,,,,,,,,,,,
21,"house,—a","nose,—""I'm","sin,—a","theatre,—an","disease,—which","debate,—a",,,,,,,,,,,,,,,,,,,
22,the Holy Land,Holy Land,the Holy Land to Tottenham Court Road,,,,,,,,,,,,,,,,,,,,,,
23,Sultan,Satan,,,,,,,,,,,,,,,,,,,,,,,
24,dunghills,hill,Cornhill,Snow Hill,Saffron Hill,,,,,,,,,,,,,,,,,,,,
25,Plain,Spain,Adelaide,,,,,,,,,,,,,,,,,,,,,,
26,belvidere,Belvidere,Belfast,Providence,Piacere,Derby,,,,,,,,,,,,,,,,,,,
27,the Regent of Castelcicala,Castelcicala,the State of Castelcicala,Regent,,,,,,,,,,,,,,,,,,,,,
28,Grosvenor,Venus,Insolvents,Cavendish,,,,,,,,,,,,,,,,,,,,,
29,écarté,Carthage,Écarté,width,Morcar,Mascara,mart,,,,,,,,,,,,,,,,,,
30,"kind,—a","name,—and","behind,—and","wear,—and",I'll,"you,—and","heard,—a","joy,—and","fault,—an",,,,,,,,,,,,,,,,
31,Whitechapel,Rechabites,Whitefriars,,,,,,,,,,,,,,,,,,,,,,
32,France,FRANCE,Ignorance,Miss.,,,,,,,,,,,,,,,,,,,,,
33,Pakenham,Twickenham,Copenhagen,,,,,,,,,,,,,,,,,,,,,,
34,Hastings,lodgings,Wapping,Hanging,Kingsdown,,,,,,,,,,,,,,,,,,,,
35,Georgiana,"Diana,—I",Panama,Lydia,,,,,,,,,,,,,,,,,,,,,
36,Labrador,Paradise,Gradus,,,,,,,,,,,,,,,,,,,,,,
37,Crockey,Santa-Croce,Santa Croce,Count Santa-Croce,,,,,,,,,,,,,,,,,,,,,
38,"aim,—then","curses,—their","jests,—their blasphemous jokes",repeated.—Then,invitation:—then,,,,,,,,,,,,,,,,,,,,
39,SWEDEN,Baden,Superintendent,Wilsden,Spring Gardens,,,,,,,,,,,,,,,,,,,,
40,Chatham,Thames,Gotha,,,,,,,,,,,,,,,,,,,,,,
41,"Prince Albert,—thrilling",Alberto,Buffer,Egerton,Herbertstein,Jewry,Albion,Hull,"Alberto!""—and",Albeit,,,,,,,,,,,,,,,
42,Algeria,Syria,Maria,Victoria,Siberia,Marian,Myriads of,,,,,,,,,,,,,,,,,,
43,good:—no,ones:—no,Jones,Sawbones,mistaken:—no,,,,,,,,,,,,,,,,,,,,
44,Katharine,Harpy,Wharf,,,,,,,,,,,,,,,,,,,,,,
45,Saxe Coburg Gotha,Hamburgh,Edinburgh,Kilburn,St. Petersburgh,Burglary,Strasburg,,,,,,,,,,,,,,,,,,
