cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,ALGIERS,Algeria,Jersey,Algiers,,,,,,,,,,,,,,,,,,,,
1,Cape Horn,Cape,Shoreditch,Holborn,,,,,,,,,,,,,,,,,,,,
2,Smithfield,Titchfield,Spitalfields,Mith Ithabella'th,SMITHFIELD,Sheffield,Smithfield-Market,Smithfield Market,SMITHFIELD AGAIN,,,,,,,,,,,,,,,
3,"treasure,—he","pleasure,—nay",Suez,"captive,—had",Surrey,"dreams,—I","theatre,—an","crime,—he",Havre,Plumptre,"nature,—if",,,,,,,,,,,,,
4,ARLINGTON,Wellington,Arlington,Islington,Kensington,Warrington,Warrington Park,Newington,,,,,,,,,,,,,,,,
5,Saxe Coburg Gotha,Saxe,Gotha,,,,,,,,,,,,,,,,,,,,,
6,East,the East Indies,Hastings,the East a few weeks ago,Eastern Counties Railway,Hasten,the Railway east,Belfast,Speak,,,,,,,,,,,,,,,
7,"significantly,—as","wildly,—at",Barbican,"Pacific,—I",,,,,,,,,,,,,,,,,,,,
8,Italy,crystal,Talbot,Capital,,,,,,,,,,,,,,,,,,,,
9,Flairer,Devonshire,Berkshire,Somersetshire,Lancashire,whirls,,,,,,,,,,,,,,,,,,
10,the Tower Hamlets,Tower Hamlets,,,,,,,,,,,,,,,,,,,,,,
11,Eva,Levant,Geneva,,,,,,,,,,,,,,,,,,,,,
12,the Herne Bay,"the Place Vendome,—whether",the Zoological Gardens,Bombay,Herne Bay,the Lombardy Arms,,,,,,,,,,,,,,,,,,
13,Black,Blackheath,Palace,Blackfriars,the Black Tower,,,,,,,,,,,,,,,,,,,
14,Traveller,Ellen,Israel,woollens,Clerkenwell,Semele,,,,,,,,,,,,,,,,,,
15,Mossop,Jessop,Redcross,,,,,,,,,,,,,,,,,,,,,
16,Zingary,Zingarai,Hungary,Zingarees,,,,,,,,,,,,,,,,,,,,
17,St. Leger,St. David's,St. Theodosia,St. Luke's,St. Giles's,Leg,St.,,,,,,,,,,,,,,,,,
18,Cambridge,Knightsbridge,Cambridgeshire,Budge Row,,,,,,,,,,,,,,,,,,,,
19,"it,—when","instance,—when","fashion,—whereas","danger,—when","disease,—which",,,,,,,,,,,,,,,,,,,
20,Cracksmen,Barracks,Cracksman,Saracens,Magsmen,,,,,,,,,,,,,,,,,,,
21,Georgiana,"Diana,—I",Georgia,,,,,,,,,,,,,,,,,,,,,
22,the Holy Land,Holy Land,the Holy Land to Tottenham Court Road,,,,,,,,,,,,,,,,,,,,,
23,dunghills,hill,the green hill,Cornhill,I'll,Ill,Brazil,Lille,Snow Hill,Skilligalee,Hull,Bastille,Ohio,Saffron Hill,,,,,,,,,,
24,belvidere,Belvidere,Providence,Piacere,Derby,,,,,,,,,,,,,,,,,,,
25,Aldgate,"Kate:—""you",Newgate,New,Ramsgate,Margate,"Newgate;""—and",,,,,,,,,,,,,,,,,
26,Stockholm,Tavistock,,,,,,,,,,,,,,,,,,,,,,
27,Clapton,Egypt,CLXIII,Brompton,Upper Clapton,,,,,,,,,,,,,,,,,,,
28,the South Pole,the North Pole,South-sea,the South Sea,MR,,,,,,,,,,,,,,,,,,,
29,Haply,Whitechapel,Rechabites,Whigs,Whitefriars,,,,,,,,,,,,,,,,,,,
30,France,SUBTERRANEAN,FRANCE,Ignorance,,,,,,,,,,,,,,,,,,,,
31,England,"target=""#ENG18460_N113""/",Glasgow,ENGLAND,,,,,,,,,,,,,,,,,,,,
32,Wicks,Brunswick,Pakenham,Twickenham,Copenhagen,,,,,,,,,,,,,,,,,,,
33,Santa-Croce,Hants,Santa Croce,Count Santa-Croce,,,,,,,,,,,,,,,,,,,,
34,"aim,—then","curses,—their","them,—I","jests,—their blasphemous jokes",repeated.—Then,invitation:—then,,,,,,,,,,,,,,,,,,
35,Holford,Guildhall,Guilford,Guildford,,,,,,,,,,,,,,,,,,,,
36,Hoxton,Brixton,Hoxton Old Town,,,,,,,,,,,,,,,,,,,,,
37,Bonn,inn,Inn,Vienna,Johnny,,,,,,,,,,,,,,,,,,,
38,"Prince Albert,—thrilling",Alberto,Egerton,Herbertstein,Albion,"Alberto!""—and",Albeit,,,,,,,,,,,,,,,,,
39,handkerchiefs,"unit=""graphic""/",Chick,China,Fieschi,,,,,,,,,,,,,,,,,,,
40,good:—no,precautions:—no,M.P.,ones:—no,Jones,Sawbones,mistaken:—no,,,,,,,,,,,,,,,,,
41,Rio Janeiro,Brick Lane,Brick,Brick-lane,Drury Lane,,,,,,,,,,,,,,,,,,,
42,Hamburgh,Edinburgh,St. Petersburgh,Burglary,,,,,,,,,,,,,,,,,,,,
43,Jew,Jewry,Jemima,,,,,,,,,,,,,,,,,,,,,
44,Westminster Abbey,Westminster,Kidderminster,"the Almonry, Westminster",Ministry,"monster,—I",,,,,,,,,,,,,,,,,,
45,Rossville,Villany,Pentonville,Villa,Villabella,VILLA,,,,,,,,,,,,,,,,,,
