cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
0,ALGIERS,Algeria,Jersey,Algiers,,,,,,,,,,,,,,,,,,,,,,
1,MARKHAM,Harpy,MARKHAM PLACE,Wharf,Markham,Leadenhall Market,Panama,Wichard Markham,Markham Place,,,,,,,,,,,,,,,,,
2,Smithfield,Titchfield,Spitalfields,Mith Ithabella'th,SMITHFIELD,Sheffield,Smithfield-Market,Smithfield Market,SMITHFIELD AGAIN,,,,,,,,,,,,,,,,,
3,"treasure,—he","pleasure,—nay",Preach,Suez,"fashion,—whereas",Surrey,"dreams,—I","theatre,—an",Tremordyns,Plumptre,"nature,—if",,,,,,,,,,,,,,,
4,Throne,Rio Janeiro,Byron,Veronezzi,"1841,—with Byron",Throgmorton,,,,,,,,,,,,,,,,,,,,
5,Norfolk,Holford,Stockholm,Guilford,Shoreditch,Holborn,Guildford,Oxford,,,,,,,,,,,,,,,,,,
6,Morocco,morocco,Morosino,Morocco Railway,MOROCCO,,,,,,,,,,,,,,,,,,,,,
7,Flairer,Devonshire,Berkshire,Somersetshire,Lancashire,whirls,Whigs,,,,,,,,,,,,,,,,,,,
8,Eva,Havannah,Levant,Geneva,,,,,,,,,,,,,,,,,,,,,,
9,Black,Blackheath,Palace,Blackfriars,the Black Tower,,,,,,,,,,,,,,,,,,,,,
10,Traveller,Ellen,Pentonville,woollens,Clerkenwell,Semele,,,,,,,,,,,,,,,,,,,,
11,Opera,Penelope,copperas,Clodhopper,,,,,,,,,,,,,,,,,,,,,,
12,Mossop,Jessop,Redcross,,,,,,,,,,,,,,,,,,,,,,,
13,Zingary,"target=""#ENG18460_N113""/",Zingarai,Hungary,Spring Gardens,Zingarees,,,,,,,,,,,,,,,,,,,,
14,Cambridge,Knightsbridge,Cambridgeshire,,,,,,,,,,,,,,,,,,,,,,,
15,Cracksmen,Barracks,Cracksman,Saracens,Magsmen,,,,,,,,,,,,,,,,,,,,,
16,Georgiana,"Diana,—I",Georgia,,,,,,,,,,,,,,,,,,,,,,,
17,belvidere,Belvidere,Redeemer,Piacere,Derby,Adelaide,,,,,,,,,,,,,,,,,,,,
18,Clapton,CLXIII,Latona,Brompton,Upper Clapton,,,,,,,,,,,,,,,,,,,,,
19,écarté,Barbican,Écarté,Morcar,,,,,,,,,,,,,,,,,,,,,,
20,the South Pole,New South Wales,the North Pole,South-sea,the South Sea,,,,,,,,,,,,,,,,,,,,,
21,France,Israel,Labrador,Oran,SUBTERRANEAN,Transylvania,Dejanira on,Normanby,FRANCE,Ignorance,Pandora,Strand,Frankfort,,,,,,,,,,,,,
22,Santa-Croce,Santa Croce,Count Santa-Croce,MR,,,,,,,,,,,,,,,,,,,,,,
23,Saxe Coburg Gotha,Haply,Katharine,Chatham,Hamburgh,Thames,Gotha,Southampton,po-shay,Havre,Windham,,,,,,,,,,,,,,,
24,Newgate,Putney,New Caledonia,New,Jew,NEW EPOCH,New York,NEED,Jewry,New Zealand,,,,,,,,,,,,,,,,
25,Tommy,Rome,"room,—a",trois,Nibsomest,me?'—'Oh,Someot,,,,,,,,,,,,,,,,,,,
26,"Prince Albert,—thrilling",Alberto,Egerton,Talbot,Albion,"Alberto!""—and",Albeit,,,,,,,,,,,,,,,,,,,
27,good:—no,precautions:—no,ones:—no,Jones,Sawbones,,,,,,,,,,,,,,,,,,,,,
28,"curses,—their","jests,—their blasphemous jokes","pursuits,—yes",,,,,,,,,,,,,,,,,,,,,,,
29,Eastern Counties Railway,Westminster Abbey,Westminster,Kidderminster,"the Almonry, Westminster",Ministry,Gloucester,"monster,—I",,,,,,,,,,,,,,,,,,
30,Rossville,Villany,Milan,Villa,Villabella,VILLA,,,,,,,,,,,,,,,,,,,,
31,Quadrant,Madras,Madonnas,Madrid,Madeira,Mascara,,,,,,,,,,,,,,,,,,,,
32,Essex,caresses.—'No,Sussex,Convexes,Miss.,,,,,,,,,,,,,,,,,,,,,
33,inn,Inn,the Apennine Mountains,Vienna,Johnny,,,,,,,,,,,,,,,,,,,,,
34,Wicks,Brunswick,St. Patrick,Brick Lane,Brick,Victoria,Brick-lane,,,,,,,,,,,,,,,,,,,
35,Finsbury Pavement,Turpin,Finsbury,Edinburgh,Turin,Kilburn,Bloomsbury,Canterbury,Lothbury,Burglary,Strasburg,,,,,,,,,,,,,,,
36,Liverpool,yonder grove,shady grove,Shrove,motive:—my,Dover,Fever,Vernon,Cove,Sovereigns,,,,,,,,,,,,,,,,
37,the New Cut,the New Road,the New Prison,Prisons,,,,,,,,,,,,,,,,,,,,,,
38,Honourables,methodist,"house,—a",Thou,Soho,width,the Counts Horn,thou,"mouth,—oh",,,,,,,,,,,,,,,,,
39,dunghills,Guildhall,hill,Cornhill,I'll,Piccadilly,Wilmot,Ill,Brazil,Lille,Snow Hill,Skilligalee,Hull,Bastille,Saffron Hill,,,,,,,,,,,
40,Buffer,buff,,,,,,,,,,,,,,,,,,,,,,,,
41,Americky,Americas,North America,America,Mesmerists,cemeteries,Mameluke,Africa,Camberwell,,,,,,,,,,,,,,,,,
42,Hyde Park,Park,York,Clare Market,Paris,Paradise,arctic,Parsonage,Cherry Park,,,,,,,,,,,,,,,,,
