cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0.0,"devised,—he","this,—he","confiscated,—he","realised,—if",,,,,,,,,,,,,,,,,,,
1.0,Mossop,Jessop,Redcross,,,,,,,,,,,,,,,,,,,,
2.0,the United States,the Roman States,the united kingdom,States,the united races,the Italian States,the United Kingdom,Ah!—the United States,,,,,,,,,,,,,,,
3.0,Dover,Cove,Fever,Sovereigns,Liverpool,,,,,,,,,,,,,,,,,,
4.0,Ramsgate,Aldgate,Newgate,Margate,,,,,,,,,,,,,,,,,,,
5.0,London,Eastern London Cemetery,the City of London,LONDON,Londoners,Clarendon,,,,,,,,,,,,,,,,,
6.0,Transylvania,Vanity,Armenia,Strand,,,,,,,,,,,,,,,,,,,
7.0,Zingary,Zingarees,Hungary,Zingarai,,,,,,,,,,,,,,,,,,,
8.0,Oxford,Waterford,Holford,Guilford,Guildford,Stamford,Stafford,Tremordyns,,,,,,,,,,,,,,,
9.0,Semele,Melbourne,Redeemer,Mameluke,Select Vestry,,,,,,,,,,,,,,,,,,
10.0,Black,Blackfriars,Palace,Blackheath,the Black Tower,,,,,,,,,,,,,,,,,,
11.0,Globe Town,Hobart Town,Globe,,,,,,,,,,,,,,,,,,,,
12.0,Putney,Eliza Sydney,Eliza Sidney,Sydney,Eliza,,,,,,,,,,,,,,,,,,
13.0,Boulogne-sur-Mer,BOUDOIR,Boulogne,Surrey,,,,,,,,,,,,,,,,,,,
14.0,Leeds,NEED,Skilligalee,,,,,,,,,,,,,,,,,,,,
15.0,Windham,Windsor,,,,,,,,,,,,,,,,,,,,,
16.0,flank,Flamms,Flairer,Lambkin,Salamanca,,,,,,,,,,,,,,,,,,
17.0,hill,Snow Hill,Saffron Hill,Ill,the green hill,Cornhill,dunghills,,,,,,,,,,,,,,,,
18.0,"it,—when","the Place Vendome,—whether","instance,—when","danger,—when","fashion,—whereas",,,,,,,,,,,,,,,,,,
19.0,Whigs,whirls,,,,,,,,,,,,,,,,,,,,,
20.0,Walmer Churchyard,Walmer,Saint Paul's Churchyard,,,,,,,,,,,,,,,,,,,,
21.0,also!—Yes,hesitated:—yes,"pursuits,—yes",,,,,,,,,,,,,,,,,,,,
22.0,the West Indies,the West End,the West Strand,the West End of London,West End,The West End,,,,,,,,,,,,,,,,,
23.0,Berkshire,Somersetshire,Staffordshire,Lancashire,Devonshire,,,,,,,,,,,,,,,,,,
24.0,Happy Valley,the Happy Valley,Valley,Talleyrand,,,,,,,,,,,,,,,,,,,
25.0,the Yellow Drawing-Room,"room,—a",the Yellow Drawing Room,Rookery,,,,,,,,,,,,,,,,,,,
26.0,Talbot,Italy,Capital,Spitalfields,crystal,,,,,,,,,,,,,,,,,,
27.0,Berlin,Oberland,Switzerland,Cumberland,,,,,,,,,,,,,,,,,,,
28.0,"Prince Albert,—thrilling",Albion,Alberto,Herbertstein,Albeit,Egerton,"Alberto!""—and",,,,,,,,,,,,,,,,
29.0,India,Lydia,West Indian,,,,,,,,,,,,,,,,,,,,
30.0,Warrington,ARLINGTON,Arlington,Newington,Wellington,Kensington,Islington,,,,,,,,,,,,,,,,
31.0,Kentish,Continent,Kentish Town,Kent,,,,,,,,,,,,,,,,,,,
32.0,Throne,Veronezzi,Throgmorton,,,,,,,,,,,,,,,,,,,,
33.0,Blaming,Birmingham,the Ball Room of Buckingham Palace,Whittingham,,,,,,,,,,,,,,,,,,,
34.0,Jew,Jewry,,,,,,,,,,,,,,,,,,,,,
35.0,Insolvents,Grosvenor,Hants,Mentor,,,,,,,,,,,,,,,,,,,
36.0,Holloway,Lower Holloway,Medway,,,,,,,,,,,,,,,,,,,,
37.0,Jersey,ALGIERS,Algiers,,,,,,,,,,,,,,,,,,,,
38.0,Janus,Rio Janeiro,Dejanira on,Venus,,,,,,,,,,,,,,,,,,,
39.0,Someot,Nibsomest,Somers Town,Rome,,,,,,,,,,,,,,,,,,,
40.0,Clapton,Upper Clapton,,,,,,,,,,,,,,,,,,,,,
41.0,"passion,—Oh","again,—oh","occasion,—on","passion,—and","affectation,—in",Hercules Passage,,,,,,,,,,,,,,,,,
42.0,"justice,—I","presence,—I",arctic,"private,—in",,,,,,,,,,,,,,,,,,,
43.0,automaton,Latona,Tommy,,,,,,,,,,,,,,,,,,,,
44.0,Tower Hamlets,the Tower Hamlets,,,,,,,,,,,,,,,,,,,,,
45.0,Barbican,"significantly,—as",Tuscany,"wildly,—at",Usiglio,"Pacific,—I",,,,,,,,,,,,,,,,,
46.0,Prisons,the New Prison,the aforesaid province,the New Road,the New Cut,,,,,,,,,,,,,,,,,,
47.0,Byron,Mith Ithabella'th,"1841,—with Byron",,,,,,,,,,,,,,,,,,,,
48.0,Edmonton,Montoni,Wigginton,,,,,,,,,,,,,,,,,,,,
49.0,Thebes,repeated.—Then,invitation:—then,Speak,"aim,—then",,,,,,,,,,,,,,,,,,
50.0,Bayswater,Waterloo,the Waterloo Road,,,,,,,,,,,,,,,,,,,,
51.0,Burglary,St. Petersburgh,Edinburgh,Strasburg,Hamburgh,Kilburn,Sardinia,,,,,,,,,,,,,,,,
52.0,Persia,Asia,Asia Minor,,,,,,,,,,,,,,,,,,,,
53.0,"Jupiter,—Leda",Terlizzi,Bolter,Compter,Canterbury,cemeteries,Garter,,,,,,,,,,,,,,,,
54.0,Georgiana,Georgia,Panama,"Diana,—I",,,,,,,,,,,,,,,,,,,
55.0,Scotland,Ireland,Milan,New Zealand,Holland,Poland,Scold,,,,,,,,,,,,,,,,
56.0,Victoria,the Wictoria Park,,,,,,,,,,,,,,,,,,,,,
57.0,perplexity:—he,leave:—he,motive:—my,,,,,,,,,,,,,,,,,,,,
58.0,Charlotte,Wharf,Harpy,"mourning,—Richard",,,,,,,,,,,,,,,,,,,
59.0,Ballonné,Long Acre,Babylon,Colonies,Toulon,,,,,,,,,,,,,,,,,,
60.0,Santa Croce,Santa-Croce,Crockey,Count Santa-Croce,,,,,,,,,,,,,,,,,,,
61.0,Shoreditch,Mediterranean Sea,Louisa,SUBTERRANEAN,,,,,,,,,,,,,,,,,,,
62.0,Ikey,Turkey,Crankey,Slike,,,,,,,,,,,,,,,,,,,
63.0,the Holy Land,the Holy Land to Tottenham Court Road,Holy Land,,,,,,,,,,,,,,,,,,,,
64.0,Shrove,po-shay,yonder grove,shady grove,,,,,,,,,,,,,,,,,,,
65.0,Austria,Australia,Strip,,,,,,,,,,,,,,,,,,,,
66.0,Wichard Markham,Markham,MARKHAM,Markham Place,MARKHAM PLACE,,,,,,,,,,,,,,,,,,
67.0,Turpin,Wapping,Fourpenny,Turin,,,,,,,,,,,,,,,,,,,
68.0,Leadenhall Market,Guildhall,Clare Market,,,,,,,,,,,,,,,,,,,,
69.0,Let'th,Dead Sea,Lethean sea,Lethean,,,,,,,,,,,,,,,,,,,
70.0,Old Saint Pancras,St. Pancras,St. Patrick,,,,,,,,,,,,,,,,,,,,
71.0,Philip Island,Norfolk,Island,Norfolk Island,Leeward Island,,,,,,,,,,,,,,,,,,
72.0,Rochefoucauld,Chichester,Rochester,Gloucester,Manchester,,,,,,,,,,,,,,,,,,
73.0,Dapper,copperas,Clodhopper,Opera,,,,,,,,,,,,,,,,,,,
74.0,Wooloomooloo,Spring Gardens,the Zoological Gardens,,,,,,,,,,,,,,,,,,,,
75.0,Castelcicala,the Regent of Castelcicala,Regent,the State of Castelcicala,Hasten,,,,,,,,,,,,,,,,,,
76.0,Wentworth,Ravensworth Hall,Cavendish,Ravensworth,Gravesend,Rickmansworth,Ravensworth Park,,,,,,,,,,,,,,,,
77.0,Palmerston,Maidstone,Preston,Dalston,Stour,,,,,,,,,,,,,,,,,,
78.0,Stockholm,Tavistock,Cholmondeley,,,,,,,,,,,,,,,,,,,,
79.0,Flower Street,Curzon Street Chapel,King Street,Turk Street,Friar Street,Jermyn Street,West Street,Portugal Street,Gracechurch Street,Essex Street,High Street,"Castle
      Street",Ada Street,CATHERINE STREET,Bow Street,Pitfield Street,Smart Street,St. John-street,Calthorpe Street,Gerrard Street,Whitecross Street,Regent Street,Stratton Street
80.0,"them,—I",Bohemia,Jemima,,,,,,,,,,,,,,,,,,,,
81.0,Petrarca,Morpheus,Morcar,Mascara,,,,,,,,,,,,,,,,,,,
82.0,Cambridgeshire,Budge Row,Knightsbridge,Cambridge,Camberwell,,,,,,,,,,,,,,,,,,
83.0,hours:—if,pounds:—if,loaf:—it,,,,,,,,,,,,,,,,,,,,
84.0,Centaur,"Kate:—""you",scene:—we,Penelope,Saracens,,,,,,,,,,,,,,,,,,
85.0,history;—and,refined;—and,before;—and,kept;—and,hours;—and,each;—and,her;—and,night;—and,kind;—and,punishment;—and,hold;—and,,,,,,,,,,,,
86.0,St. Giles's,Saint Giles's,St. James's,,,,,,,,,,,,,,,,,,,,
87.0,Madeira,Bonn,Vienna,Madonnas,,,,,,,,,,,,,,,,,,,
88.0,Westminster Abbey,"the Almonry, Westminster",Westminster,Benstead,Kidderminster,,,,,,,,,,,,,,,,,,
89.0,Katherine,Charing,Katharine,Chatham,,,,,,,,,,,,,,,,,,,
90.0,Africa,Americky,North America,America,japonica,Mesmerists,Limmer,Americas,,,,,,,,,,,,,,,
91.0,"bed,—not","you,—not","you,—if",,,,,,,,,,,,,,,,,,,,
92.0,Frankfort,fortin,Fort,Beaufort,Tilbury Fort,,,,,,,,,,,,,,,,,,
93.0,East,the East a few weeks ago,the East Indies,the Railway east,,,,,,,,,,,,,,,,,,,
94.0,Havannah,Havre,Having,,,,,,,,,,,,,,,,,,,,
95.0,Barracks,Cracksman,Cracksmen,Magsmen,,,,,,,,,,,,,,,,,,,
96.0,Bird-Cage Walk,New South Wales,the Prince of Wales,deep wales,Wales,,,,,,,,,,,,,,,,,,
97.0,Syria,Myriads of,,,,,,,,,,,,,,,,,,,,,
98.0,"captive,—had",Penitentiary,"penitence,—he","crime,—he",Peninsula,,,,,,,,,,,,,,,,,,
99.0,Friuli,Julia,Cecilia,,,,,,,,,,,,,,,,,,,,
100.0,Inn,inn,,,,,,,,,,,,,,,,,,,,,
101.0,St. David's,St.,St. Leger,Leg,St. Luke's,,,,,,,,,,,,,,,,,,
102.0,Ferdinand,Pandean,"funds,—""and",Pandora,Husband,handkerchiefs,,,,,,,,,,,,,,,,,
103.0,Oran,France,FRANCE,Ignorance,,,,,,,,,,,,,,,,,,,
104.0,mart,Bartholomew Close,earth,Earth,Carthage,Leary,,,,,,,,,,,,,,,,,
105.0,Quadrant,Madras,Madrid,,,,,,,,,,,,,,,,,,,,
106.0,Rechabites,Whitechapel,Whitefriars,,,,,,,,,,,,,,,,,,,,
107.0,Bloomsbury,Lothbury,Finsbury,Finsbury Pavement,,,,,,,,,,,,,,,,,,,
108.0,Almonry,Monroe,Richmond,,,,,,,,,,,,,,,,,,,,
109.0,Thou,thou,,,,,,,,,,,,,,,,,,,,,
110.0,Calumny,Calcutta,Plumptre,,,,,,,,,,,,,,,,,,,,
111.0,"mother,—I",Ohio,"her,—she","her,—how","another,—he",Bazzano,,,,,,,,,,,,,,,,,
112.0,"monster,—I","work,—it","affair,—if","sir,—I",,,,,,,,,,,,,,,,,,,
113.0,the Emerald Isle,the British Islands,the British Isles,,,,,,,,,,,,,,,,,,,,
114.0,Brixton,Hoxton,Hoxton Old Town,,,,,,,,,,,,,,,,,,,,
115.0,"kind,—a","behind,—and","heard,—a",,,,,,,,,,,,,,,,,,,,
116.0,the Receiving Ward,Bombay,the Lombardy Arms,,,,,,,,,,,,,,,,,,,,
117.0,Gazette,Better Bedlam,,,,,,,,,,,,,,,,,,,,,
118.0,Gotha,Saxe Coburg Gotha,Saxe,,,,,,,,,,,,,,,,,,,,
119.0,Dunstable;—then,Dunstable Manor,Honourables,Dunstable,,,,,,,,,,,,,,,,,,,
120.0,Saint Theodosia,St. Theodosia,,,,,,,,,,,,,,,,,,,,,
121.0,Morosino,Morocco Railway,morocco,Morocco,MOROCCO,,,,,,,,,,,,,,,,,,
122.0,"Newgate;""—and","these;""—and","tempter;""—and","agin;""—and",,,,,,,,,,,,,,,,,,,
123.0,"surmounted,—no",the Apennine Mountains,Mounseer,Hounslow,,,,,,,,,,,,,,,,,,,
124.0,Écarté,écarté,,,,,,,,,,,,,,,,,,,,,
125.0,Titan,Sultan,Satan,,,,,,,,,,,,,,,,,,,,
126.0,"curses,—their","inmates,—a","jests,—their blasphemous jokes",,,,,,,,,,,,,,,,,,,,
127.0,Holborn,yonder corner,Cornwall,,,,,,,,,,,,,,,,,,,,
128.0,belvidere,Piacere,Derby,Belvidere,,,,,,,,,,,,,,,,,,,
129.0,King,Kingdom,kingdom,,,,,,,,,,,,,,,,,,,,
130.0,"treasure,—he","nature,—if","pleasure,—nay",,,,,,,,,,,,,,,,,,,,
131.0,Miss.,mistaken:—no,good:—no,,,,,,,,,,,,,,,,,,,,
132.0,the South Sea,the South Pole,the North Pole,,,,,,,,,,,,,,,,,,,,
133.0,beaux,Bordeaux,,,,,,,,,,,,,,,,,,,,,
134.0,Normanby,information.—'He,Germany,manner:—'I,,,,,,,,,,,,,,,,,,,
135.0,Providence,Conscience,Lyons,Convexes,,,,,,,,,,,,,,,,,,,
136.0,Cape,Cape Horn,,,,,,,,,,,,,,,,,,,,,
137.0,Neapolitan,trois,Metropolitan,,,,,,,,,,,,,,,,,,,,
138.0,Brazil,Gradus,Labrador,,,,,,,,,,,,,,,,,,,,
139.0,Russia,Circassia,quassia,,,,,,,,,,,,,,,,,,,,
140.0,queens,Woolwich,Greenwood,Greenwich,,,,,,,,,,,,,,,,,,,
141.0,Bluebottles,Snoggles,Temple,Naples,Haply,Bibles,,,,,,,,,,,,,,,,,
142.0,Sheffield,Smithfield Market,SMITHFIELD AGAIN,Smithfield,Smithfield-Market,SMITHFIELD,Titchfield,,,,,,,,,,,,,,,,
143.0,Superintendent,Wilmot,Baden,Wilsden,SWEDEN,,,,,,,,,,,,,,,,,,
144.0,Portsmouth,Port,ha'porth,,,,,,,,,,,,,,,,,,,,
145.0,ones:—no,Sawbones,Jones,,,,,,,,,,,,,,,,,,,,
146.0,Brick,Brick-lane,Brick Lane,,,,,,,,,,,,,,,,,,,,
147.0,"reflections,—or",Constitution Hill,precautions:—no,"institutions,—in",,,,,,,,,,,,,,,,,,,
148.0,Marian,Paris,Maria,,,,,,,,,,,,,,,,,,,,
149.0,Duchy,the Grand Duchy of Castelcicala,the Grand Duchy,Grand Duchy,,,,,,,,,,,,,,,,,,,
150.0,Gibbs,the Inaccessible Islands,the Island of the City,the Casualty Ward,the Isle of Man,the Carribbee Islands,,,,,,,,,,,,,,,,,
151.0,Rossville,VILLA,Pentonville,Villabella,Villany,Villa,,,,,,,,,,,,,,,,,
152.0,Dearest,Essex,caresses.—'No,,,,,,,,,,,,,,,,,,,,
153.0,Europa,Western Europe,Europe,,,,,,,,,,,,,,,,,,,,
154.0,"fault,—an","name,—and","you,—and","wear,—and","joy,—and","water,—and",,,,,,,,,,,,,,,,,
155.0,Duvernay,Inverness,Vernon,Enon,,,,,,,,,,,,,,,,,,,
156.0,Guinea,Holiness,"ejaculated—""Selina",Adelaide,Adeline,Dublin,,,,,,,,,,,,,,,,,
157.0,Traveller,woollens,Ellen,Clerkenwell,,,,,,,,,,,,,,,,,,,
158.0,Britain,Great,Great Britain,the Great Desert,,,,,,,,,,,,,,,,,,,
159.0,Bethnal,Elizabethan,Lambeth,Bethlem,,,,,,,,,,,,,,,,,,,
160.0,Middlesex Sheriffs',London Sheriffs',Griffin,Furnisher,Sheridan,Sheriffs,,,,,,,,,,,,,,,,,
161.0,Montecuculi,Montgomery,Beaumont,Montreal,Montague,wont,,,,,,,,,,,,,,,,,
162.0,Brunswick,WARWICK SQUARE,Wicks,,,,,,,,,,,,,,,,,,,,
163.0,"words,—if",Preach,"dreams,—I",,,,,,,,,,,,,,,,,,,,
164.0,Brussels,Sussex,Johnny,Sellis,Russell,,,,,,,,,,,,,,,,,,
165.0,Piccadilly,Cadiz,Paradise,,,,,,,,,,,,,,,,,,,,
166.0,the Herne Bay,Old Bailey,Herne Bay,,,,,,,,,,,,,,,,,,,,
167.0,Rotterdam,Amsterdam,,,,,,,,,,,,,,,,,,,,,
168.0,Chick,Messalina,Fieschi,China,,,,,,,,,,,,,,,,,,,
169.0,Harborough,Rottenborough Union,Marlborough,Marlborough Street,Borough,Rottenborough,,,,,,,,,,,,,,,,,
170.0,Belfast,Lille,Bastille,Stilton,,,,,,,,,,,,,,,,,,,
171.0,Brompton,"mouth,—oh",Thames,South-sea,Southampton,,,,,,,,,,,,,,,,,,
172.0,Levant,Geneva,Eva,,,,,,,,,,,,,,,,,,,,
173.0,Glasgow,"target=""#ENG18460_N113""/",ENGLAND,England,,,,,,,,,,,,,,,,,,,
174.0,Stephen,Stephens,,,,,,,,,,,,,,,,,,,,,
175.0,buff,Buffer,,,,,,,,,,,,,,,,,,,,,
176.0,Ministry,methodist,District,,,,,,,,,,,,,,,,,,,,
177.0,York,the Duke of York,New Caledonia,NEW EPOCH,New,New York,,,,,,,,,,,,,,,,,
178.0,Park,Warrington Park,Parsonage,the Green Park,Hyde Park,Cherry Park,,,,,,,,,,,,,,,,,
179.0,Kingsdown,Hanging,Hastings,lodgings,,,,,,,,,,,,,,,,,,,
180.0,Siberia,Trafalgar,Algeria,,,,,,,,,,,,,,,,,,,,
181.0,"nose,—""I'm","disease,—which","theatre,—an","debate,—a","sin,—a","house,—a",,,,,,,,,,,,,,,,,
182.0,Drury Lane,Golden Lane,Golden,"Golden
      Lane",,,,,,,,,,,,,,,,,,,
183.0,the Counts Horn,the County of Middlesex,Eastern Counties Railway,the County of,,,,,,,,,,,,,,,,,,,
184.0,Copenhagen,Twickenham,Pakenham,,,,,,,,,,,,,,,,,,,,
185.0,Saint James's,Saint Martin's-le-Grand,Mint,Plain,Saint John's,Squibs,Saint David's,Saint Joanna,Saint Sepulchre's,Spain,Saint,,,,,,,,,,,,
186.0,Macquarie Harbour,Port Macquarie,Macquarie,,,,,,,,,,,,,,,,,,,,
187.0,"unit=""graphic""/",Vesuvius,Junius,,,,,,,,,,,,,,,,,,,,
