cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143
-1,Montgomery,Cornwall,WARWICK SQUARE,Saint Martin's-le-Grand,Flairer,Liverpool,Sellis,East,Salamanca,history;—and,"significantly,—as",handkerchiefs,Dublin,Simcox,Usiglio,Grosvenor,Rossville,St. John-street,before;—and,Gracechurch Street,Stilton,Guildhall,the East a few weeks ago,"Kate:—""you","Prince Albert,—thrilling","unit=""graphic""/","name,—and","the Place Vendome,—whether",Dead Sea,Egypt,Israel,CLXIII,"wildly,—at",Pentonville,japonica,Rio Janeiro,Preach,Crankey,Jersey,New Caledonia,Insolvents,Colonies,Gerrard Street,"tempter;""—and",Egerton,Peninsula,caresses.—'No,"Jupiter,—Leda",Libya,Limmer,"target=""#ENG18460_N113""/",Superintendent,Suez,"captive,—had",Brompton,Curzon Street Chapel,the Apennine Mountains,Clarendon,Wilmot,Montecuculi,Mint,Clerkenwell,Mesmerists,"room,—a",loaf:—it,"fashion,—whereas",Compter,Snoggles,Titchfield,Continent,Scold,the Duke of York,Temple,Mentor,Surrey,Barbican,Bartholomew Close,Bird-Cage Walk,Belfast,Vienna,Herbertstein,Whitecross Street,"reflections,—or",Budge Row,"Pacific,—I",Holiness,trois,Bordeaux,Mith Ithabella'th,Long Acre,India,Rookery,"funds,—""and",Select Vestry,Morosino,information.—'He,Esq,Griffin,Skilligalee,Paradise,the Emerald Isle,"dreams,—I",Holborn,"theatre,—an",Flamms,Tuscany,Hercules Passage,Hull,Johnny,Redcross,width,"heard,—a",Africa,Husband,punishment;—and,Drury Lane,"disease,—which",Sheridan,Bazzano,Dearest,Strand,Lydia,Melbourne,Sheffield,Let'th,"fault,—an",Messalina,Parsonage,hesitated:—yes,hours;—and,BOUDOIR,Pitfield Street,scene:—we,the Prince of Wales,mistaken:—no,"mourning,—Richard",mart,Speak,the City of London,SMITHFIELD AGAIN,Saffron Hill,New Zealand,Charing,Camberwell
0,M.P.,MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,inn,Leipzig,Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Soho,me?'—'Oh,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Buffer,buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Old Bailey,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,the Yellow Drawing Room,the Yellow Drawing-Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,belvidere,Belvidere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fourpenny,Medway,Louisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,whirls,Whigs,Miss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
