cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Tn,alluma,vecu,I',Danses,Pas tres,,,,
1,Madeleine,Augustine,,,,,,,,
2,Es,ar-,Douze,c6te,expatri,,,,,
3,J'hitachi,pre Chicon,IM,IL,ge,Noel,Apres,Chicon,menara,
4,"mer
Colas",Merci,S,gagea,mer Colas,F,,,,
5,voyais,etais,.'avais,S5,Javais,J',aimais,Jetais,e,
6,La Saint-Jean,Saint-Jean,Tirande,Saint-jean,,,,,,
7,Soeur Marie-Aimee,N5,arie-Aimee,obeir,Marie-Aimee,Maie-Aimee,Aimee,mee,S-,Bel-Il
8,Ismerie,Agathe,lingerie,peaUsserie,Istrie,"P S
D or",passee,superieure,,
9,ri Deslois,Desire-des-Anges,nuages.a6,Direct-des-Anges,"EZEKIEL I.

ze",M,hesita,Desire-,,
10,I,tete,arrete,betes,"ma
tete",Eugene,tournai la tete,Bete,bete,
11,champs de ble,Parfois,repara,Paris,Sois,,,,,
12,Disposer,miens,"I
R",,,,,,,
13,"Gue
Perdu",Gue Perdu,chateau du Gue Perdu,,,,,,,
14,W,Communs,,,,,,,,
15,Blanche,Ad2le,la manche,de France,manche,voila Henri,deput,la Blanche,,
16,E,G,Vin,Rome,cambrai,-L,,,,
17,reveillon,Villevieille,ILl,Castille,Gabrielle,le soleil,Ville-,,,
18,Acheminer la Bete,Acheminer,II,leuse,Orgueilleuse,Acheminer l'Orgueilleuse,paule,"L,-lE",,
19,buis,"II
IIIIIII
YA",grace,cognac,,,,,,
20,piece,precher,bucheron,"II

l",pimbeche,poche;elle,Brioche,Cache,Bitche,
21,J'ai 1'il,Malgre,,,,,,,,
22,ger,Bichkek,bobo,,,,,,,
23,garons,Saintes Huiles,h saInte,ainsi.r,Sainte-Montagne,Josai,,,,
24,"II

S",Quelque,Paques,Quelquefois,Ronique,Chronique,,,,
25,Premiere,poele,chataignier,A,Vierge,.Hier,z=,,,
26,crmonie,Lanie,delaware,Melanie,,,,,,
27,Pugne,Chataigners,Sologne,,,,,,,
28,grosse Melanie,M.Alphonse,Is,La grosse Lanie,grosse Lanie,,,,,
29,CARIB-CLAIRE,Combien,mainMISE-CLAIRE,clare,notre Marie-Claire,Marie-Claire,,,,
