cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,J'ai 1'il,E,J',,,,,,,
1,Blanche,la manche,Agathe,de France,manche,la Blanche,,,,
2,Acheminer la Bete,Acheminer,Vin,Augustine,Cache,,,,,
3,Combien,miens,Communs,Rome,bobo,,,,,
4,Ismerie,Merci,lingerie,peaUsserie,Istrie,piece,superieure,A,,
5,Es,ri Deslois,S5,nuages.a6,Saintes Huiles,Danses,Pas tres,hesita,Apres,
6,N5,Douze,"EZEKIEL I.

ze",M,,,,,,
7,voyais,etais,aimais,Jetais,cambrai,,,,,
8,"II

S",II,"II

l","II
IIIIIII
YA",,,,,,
9,c6te,tete,arrete,"ma
tete",tournai la tete,,,,,
10,La Saint-Jean,Saint-Jean,Saint-jean,G,h saInte,ainsi.r,Sainte-Montagne,Josai,,
11,Soeur Marie-Aimee,arie-Aimee,IM,Marie-Aimee,Maie-Aimee,Aimee,mee,,,
12,Tirande,Desire-des-Anges,Direct-des-Anges,S-,Desire-,,,,,
13,"Gue
Perdu",Gue Perdu,chateau du Gue Perdu,,,,,,,
14,.'avais,Javais,,,,,,,,
15,Quelque,Paques,Quelquefois,z=,,,,,,
16,W,Madeleine,Ad2le,poele,paule,Noel,,,,
17,"P S
D or",leuse,S,Orgueilleuse,Acheminer l'Orgueilleuse,le soleil,,,,
18,vecu,Premiere,precher,bucheron,pimbeche,Bitche,,,,
19,ar-,deput,expatri,repara,grace,delaware,"I
R",menara,,
20,champs de ble,chataignier,.Hier,Chataigners,,,,,,
21,I,betes,obeir,Bete,bete,e,,,,
22,alluma,reveillon,voila Henri,IL,Villevieille,ILl,Castille,F,Ville-,Bel-Il
23,ger,Eugene,gagea,ge,Vierge,,,,,
24,buis,Parfois,Disposer,Is,Paris,Sois,,,,
25,Gabrielle,poche;elle,Brioche,,,,,,,
26,crmonie,garons,Ronique,Chronique,,,,,,
27,Tn,Pugne,cognac,Sologne,,,,,,
28,J'hitachi,pre Chicon,M.Alphonse,Bichkek,Chicon,,,,,
29,"mer
Colas",mer Colas,,,,,,,,
30,"L,-lE",-L,,,,,,,,
31,grosse Melanie,passee,Lanie,Melanie,La grosse Lanie,grosse Lanie,,,,
32,CARIB-CLAIRE,mainMISE-CLAIRE,clare,I',Malgre,notre Marie-Claire,Marie-Claire,,,
