cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Blanche,champs de ble,la manche,Agathe,manche,voila Henri,la Blanche,Brioche,Cache,,,
1,Combien,miens,Communs,piece,Rome,,,,,,,
2,Ismerie,Merci,peaUsserie,Istrie,superieure,.Hier,,,,,,
3,ger,lingerie,gagea,ge,Vierge,,,,,,,
4,"mer
Colas",I',mer Colas,,,,,,,,,
5,I,de France,Tirande,grace,,,,,,,,
6,c6te,tete,arrete,betes,"ma
tete",M,tournai la tete,Bete,bete,,,
7,Tn,Es,ri Deslois,Desire-des-Anges,nuages.a6,Direct-des-Anges,S-,Danses,Pas tres,hesita,Apres,Desire-
8,Pugne,deput,Eugene,cognac,Augustine,Sologne,,,,,,
9,"Gue
Perdu",Gue Perdu,chateau du Gue Perdu,,,,,,,,,
10,W,La Saint-Jean,N5,Saint-Jean,Saint-jean,A,Saintes Huiles,h saInte,ainsi.r,Sainte-Montagne,Josai,
11,S,obeir,F,bobo,Bel-Il,,,,,,,
12,Quelque,Paques,Quelquefois,,,,,,,,,
13,Madeleine,Ad2le,poele,poche;elle,Noel,,,,,,,
14,Douze,"EZEKIEL I.

ze",z=,,,,,,,,,
15,Soeur Marie-Aimee,arie-Aimee,IM,Marie-Aimee,Maie-Aimee,Aimee,mee,aimais,cambrai,,,
16,vecu,Premiere,precher,bucheron,pimbeche,Bitche,,,,,,
17,J'ai 1'il,J',,,,,,,,,,
18,alluma,reveillon,IL,Villevieille,ILl,Castille,Vin,Gabrielle,le soleil,Ville-,,
19,"II

S",II,"II

l","II
IIIIIII
YA","I
R",,,,,,,
20,Acheminer la Bete,Acheminer,"P S
D or",leuse,Orgueilleuse,G,Acheminer l'Orgueilleuse,,,,,
21,voyais,buis,etais,.'avais,Disposer,Javais,Is,Jetais,Sois,,,
22,chataignier,Chataigners,,,,,,,,,,
23,ar-,Parfois,expatri,repara,Paris,menara,,,,,,
24,crmonie,garons,Ronique,Chronique,,,,,,,,
25,J'hitachi,pre Chicon,M.Alphonse,Bichkek,Chicon,,,,,,,
26,S5,paule,"L,-lE",-L,,,,,,,,
27,grosse Melanie,passee,Lanie,Melanie,La grosse Lanie,grosse Lanie,,,,,,
28,CARIB-CLAIRE,E,mainMISE-CLAIRE,clare,Malgre,notre Marie-Claire,delaware,Marie-Claire,e,,,
