cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,c-.--,f,4-.-.,L -' r,w -.-,,,,,,,
1,vou—-,trou—,Wær,bou—,ajou—,Aﬁn,l.âiïJÏ.—.Ü.Ë,Céret,,,,
2,rendez—,m’y endur—,Sois,répondez,"V""'Wﬁw",endoc—,A-,,,,,
3,VÎLLACE,brillam—,Jugez,J—3—“J.,État,gouaillant,veillée,trav aille1,,,,
4,"reconnais—
o.",recon—,Rime,reconnais—,næûæ‘W,"recom—
mandé?",recom—,._—,M{r,,,
5,Le curé de,av…,juré,v—,aix,,,,,,,
6,"P.Èg""e Boux",51,ﬂ!tuM‘ W,boule—,boursi—,Cel-,,,,,,
7,ﬁon VILLAGE,ù0N VILLAGE,VILLAGB,"q'ﬁy—j

'

72 MON VILLAGE",Plæ,-VILLAGE,"M,9_N v.u","Î_M‘ j

MON VILLAGE",VILLAGE,N011,Ù\,
8,Norine,Norine s’,"Norine !

Pauvre jeunesse!",ÜÜA4.P,Le soleil,brin,,,,,,
9,contente—,Monte,Î’,trente—six,mentevrai,contribù—,,,,,,
10,",“",bague,hugue—,appro—,bégueu—,F{:.-,goguenar—,,,,,
11,Doro—,glise,.|.I.IDUIŒÏË,Vaise,._,-4_,AVGb,Devise,,,,
12,ﬁère co‘ujme‘ A;rtaban,Çqu',MST-M,bâton,all I‘ll,caba—,"Î:-"".f",,,,,
13,Çh_æmvriers,.'_‘eherie,role,Riez,"JÆ’,F——Er",broiriez-vousP,,,,,,
14,hiçgt,Feuil-,.*rq,s’arra—,Pat—\,,,,,,,
15,UAJ,._.“-—4,m’,.—ÎL,er1a D1zy,,,,,,,
16,Désirée,F,IÇ,P,,,,,,,,
17,Afàl,ca,Avez,,,,,,,,,
18,m.œ:-——,I‘::*7w—:æ-r,Sortez,An--,,,,,,,,
19,deuxièmemeht,"vieux ber—
ger",ép!uché,Ver—,Vieux,4--_,,,,,,
20,Viens,Ï,vien—,bien—,nu—,Beviendront,"m1

.f_",.va_.,l.,,,
21,franciers,demi—mal,demi—franc,Ç’,la France,v.ü;ä,France,,,,,
22,sa.—,Mor—,r‘Ÿ“ŒWŒM,morali—,s«—i,Por—,dC—,,,,,
23,Sens,Tiens,Gens,w—,,,,,,,,
24,—on,de-Nom,r'=,Sitôt,Æmuie,‘_.‘\-mni\t,çoup,V0us,,,,
25,obam—,Saint—Quentin,Saint-,Craintil‘s,Poulains,.:_n:r,"mur une'îrñage
de sainteté",ﬁllettes de Saint—,S,Saint—Brupçue,fontaine Sainte—Radegonde,cainte
26,Agréez,embar—,l‘embarras,Bemblay,M’aimeras,atté—,,,,,,
27,Ch,lutaire,mairessc,"extraordi—
naire",,,,,,,,
28,m’as—tu,Maﬁdine,Devinez,graines,sède,,,,,,,
29,Palais—Royal,Palais—,-,Palais,adminis—,Palais—Îloyal,,,,,,
30,ména—,du Nord,Nord,-_'4‘1,Norri-de—Nom,Figurez,,,,,,
31,pe—,Al—,tour—,pour—,aujour—,concur—,cœur—,débour—,,,,
32,Toinon,pré Brugnon,pleu—,couvent Brugnon,,,,,,,,
33,répon—,juron—,ix,Las,Dizy,n1,,,,,,
34,—,beau—,Mah,baguénau—,Lambin,guérir-a. _,épau—,psau—,,,,
35,journelle—,débat—,Brünelle,—elle,Cellier,-!,qu’,,,,,
36,.täLﬂ—,V_.,,,,,,,,,,
37,ANT,.\,Satané,siŒotant,mitan,Vêndœ,,,,,,
38,l*épidémjg,Î_—,ÎÊ-',É,reve—,"È""{'f",M’,"f:""_ü",,,,
39,quatre—,_,quatre—vingts,Votre,,,,,,,,
40,ÎÏ,".—_.,__.4",b_—_._,W,ësflàz,.—_ML_A,.—__-_Q.,.,.:,,,
41,Jean—,Jean—Glande,Jeanneton,Jàd4n,Jean—Claude,,,,,,,
42,"i""a",péti—,"F.,—.““.—",Sure,T’,,,,,,,
43,qùelquæï,L.‘;Q.ù‘lll-,déjeu—,——._,Vénus,M_ON,A '- ',,,,,
44,entr-ea,couragement,entor—,Sent,,,,,,,,
45,dandi—,mgr—{t,indiffé—,Armandine,À Î—YÏLLZ& :-,Ëïüﬂîæi,l‘indi-,endi—,,,,
46,t,PBIÈRE,épieière,chanvrières,,,,,,,,
