cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,L’,É,Ëêü“Wwwr,Ëïüﬂîæi,,,,,,,,,
1,Savoyard,æoye_p,savoir—,,,,,,,,,,
2,juré,Bérénice,J,F,juron—,r‘Ÿ“ŒWŒM,Le curé de,,,,,,
3,".‘.:.L.‘ “'

—-.'.—",t,.l,.‘ç',l.,,,,,,,,
4,Mæsse,Basset,Base,Bassette,Basstnrez,,,,,,,,
5,Palais—,adminis—,Palais—Îloyal,Palais—Royal,Al—,Palais,,,,,,,
6,réserve des furolles,ÎÏ,M,réserve de monsieur,,,,,,,,,
7,II,III 1:5,ï L,,,,,,,,,,
8,.'2,.'£-'è—,ÎÊ-',,,,,,,,,,
9,n1,Çä,,,,,,,,,,,
10,appro—,Doro—,,,,,,,,,,,
11,Saint-,"mur une'îrñage
de sainteté",N011,Craintil‘s,cainte,ﬁllettes de Saint—,Poulains,Saint—Quentin,fontaine Sainte—Radegonde,graines,,,
12,contribù—,contente—,trente—six,entr-ea,Monte,mentevrai,,,,,,,
13,muss—,senæncieuse—,couseuses,C,.\,V0us,Houses,Vénus,,,,,
14,Maﬁdine,Armandine,Aﬁn,,,,,,,,,,
15,A '- ',"per audi—

- -«",- -,- - d,"ba- -
*biller ma",L -' r,"Ver—

- ”\-",,,,,,
16,".—_.,__.4",-!,".,",.—_ML_A,‘_.‘\-mni\t,"F.,—.““.—",.—__-_Q.,V_.,,,,,
17,hugue—,bague,goguenar—,baguénau—,obam—,,,,,,,,
18,.;__,.____,Fv.___—ÿr,f—_.____,I,".,-___",.__.___-,—,,,,,
19,qùelquæï,qu’,jusqu’,ques—,usqu’,ÜÜA4.P,Çqu',"quoi—

qu’",,,,,
20,n’,®e‘tu 'n’,@d9nç,ﬂ!tuM‘ W,Q,‘tp,,,,,,,
21,gigotteurs—,Beur,Frotte,,,,,,,,,,
22,er1a D1zy,"JÆ’,F——Er",Er,Perpétue,per labz‘a,"vieux ber—
ger",Pierre—Louis Gosseu,ler,Alger,Alerte-,M’aimeras,Ver—,serre1
23,Ï,v-w——,I‘::*7w—:æ-r,w—,v-,,,,,,,,
24,lutaire,v—,mairessc,MAIBESSE,"extraordi—
naire",maîtresse}. Pierre,,,,,,,
