cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,",“",f|—,"A,“",,,,,,,,,,,,,,,,
1,—on,Adonc,.täLﬂ—,dragon,juron—,CONSCRIPTION,bâton,v—,on.—,M_ON,,,,,,,,,
2,Norine,de-Nom,Norine s’,du Nord,Toinon,Nord,Norri-de—Nom,t,"Norine !

Pauvre jeunesse!",.d,brin,,,,,,,,
3,contente—,Écoutez,Monte,atten—,entr-ea,trente—six,couragement,mentevrai,couvent Brugnon,d’,A,contribù—,È,Sent,,,,,
4,bague,hugue—,obam—,bégueu—,baguénau—,goguenar—,,,,,,,,,,,,,
5,Viens,Sens,Tiens,vien—,bien—,Gens,Beviendront,-!,Vieux,,,,,,,,,,
6,ANT,"S
E",siŒotant,Vans,gouaillant,mitan,Êçnt,An--,"f:""_ü",dC—,montagne blanche,,,,,,,,
7,hu-,Nl”,u-1,®,,,,,,,,,,,,,,,
8,hiçgt,Î’,IÇ,125,,,,,,,,,,,,,,,
9,tîsserand,L’,Er,"vieux ber—
ger",F,Perpétue,.1-,-,per labz‘a,ler,Ver—,Alerte-,ÏÊ,r‘Ÿ“ŒWŒM,M’aimeras,"JÆ’,F——Er",Alger,er1a D1zy,serre1
10,vou—-,trou—,"P.Èg""e Boux",bou—,v;pmcgz,nu—,ajou—,çoup,boule—,boursi—,s’,,,,,,,,
11,Î,pe—,déve—,pe+,,,,,,,,,,,,,,,
12,char—,Tachons,Ch,Cachez,ép!uché,chau—,choi—,chacun—,,,,,,,,,,,
13,j’,ÜÜA4.P,J’,,,,,,,,,,,,,,,,
14,"reconnais—
o.",recon—,reconnais—,,,,,,,,,,,,,,,,
15,Tournez,tour—,pour—,m’y endur—,É,aujour—,concur—,cœur—,débour—,Tour,,,,,,,,,
16,ÎÏ,"Ver—

- ”\-",—,- -,L -' r,"per audi—

- -«",- - d,gr -»«_—.,"ba- -
*biller ma",-4_,A '- ',,,,,,,,
17,Ï,‘Î.f,næûæ‘W,"m1

.f_",J,i=?‘îËñîgîâ 3.— i,"Î:-"".f",,,,,,,,,,,,
18,—— Faut,ÎJ,Faut,,,,,,,,,,,,,,,,
19,mr—ﬁùw,Doro—,mgr—{t,Mor—,orga—,l‘or,entor—,morali—,Por—,,,,,,,,,,
20,T-:'FT”ü,.|.I.IDUIŒÏË,Saint—Quentin,Saint-,Craintil‘s,Poulains,"mur une'îrñage
de sainteté",fontaine Sainte—Radegonde,cainte,,,,,,,,,,
21,embar—,l‘embarras,b—,l‘a,s’arra—,masoarades,,,,,,,,,,,,,
22,lutaire,mairessc,"extraordi—
naire",maîtresse}. Pierre,MAIBESSE,,,,,,,,,,,,,,
23,Maﬁdine,Aﬁn,Armandine,,,,,,,,,,,,,,,,
24,Palais—Royal,Al—,Vaise,Palais—,Palais,adminis—,Palais—Îloyal,,,,,,,,,,,,
25,Satané,débat—,État,Pat—\,atté—,V’,état,,,,,,,,,,,,
26,c-.--,4-.-.,.q-._-,"-«.-.«,»w_,æw",Fùt,4--_,N-.M‘æ“\—nu,w -.-,,,,,,,,,,,
27,v-w——,v-,JŒ,w—,I,I‘::*7w—:æ-r,qü’,,,,,,,,,,,,
28,là',Voilà,Voilä,Mevoilà,"È""{'f",,,,,,,,,,,,,,
29,"Bpse,{.ÿ",appro—,.\,Rose n’,Rose,Bose,-*m,"Rose,.dit",gros—,,,,,,,,,,
30,.;‘.-î-,Wær,.-—-,murs.-,5Î-r .-,F{:.-,.-f.-,.,".--,—.",n1,,,,,,,,,
31,UAJ,quatre—,quatre—vingts,reve—,Votre,,,,,,,,,,,,,,
32,.l,".‘.:.L.‘ “'

—-.'.—",.‘ç',l.,,,,,,,,,,,,,,,
33,Jean—,Jean—Glande,Jean—Claude,,,,,,,,,,,,,,,,
34,III 1:5,II,Ç’,"V""'Wﬁw",,,,,,,,,,,,,,,
35,ësflàz,fl,,,,,,,,,,,,,,,,,
36,calomnia—,ca,calme—,caba—,,,,,,,,,,,,,,,
37,VÎLLACE,zw,Oli,Cellier,.*rq,CBLLIEB,N011,Cel-,,,,,,,,,,,
38,Mah,demi—mal,maawugaÿàæ_;ÿ,"recom—
mandé?",Maman,cama—,Maria,Manot,Jamais,,,,,,,,,,
39,".,",-—.,Y-7,l.âiïJÏ.—.Ü.Ë,"F.,—.““.—",,,,,,,,,,,,,,
40,Désirée,\,péti—,pée,Cassiopée,,,,,,,,,,,,,,
41,so—,histoire—,W,Sois,moi—-,Crois,S,Bonsoir,buis,,,,,,,,,,
42,Agréez,rendez—,répon—,pré Brugnon,ï L,répondez,Jàd4n,sède,,,,,,,,,,,
43,Afàl,Çä,oÏLl,L.‘;Q.ù‘lll-,all I‘ll,À Î—YÏLLZ& :-,B,Allez,s‘àüi‘â.îtllè,,,,,,,,,,
44,._.“-—4,._,b_—_._,Î_—,._-,._—,._'d,Ù\,,,,,,,,,,,
