cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,graverai,Durango,Avez,Reculerais-tu,Caraï,Veillerai,Rafaël,Carai,Grande,,,,
1,– Diable !,– Diable,– Pardieu !,,,,,,,,,,
2,– Rentrez,Revenant,– Excellent,Rendez,– Relevez,– Figurez,Rassurez,,,,,,
3,Pensant,Décidément,Arkansas,Vivant,Sautant,– Maintenant,,,,,,,
4,Resté,Est,– Est,Sommes,piste des jaguars,Essayez,trappes,Eshis,dételées,adoves,Ouest,,
5,Canadien,Buenas,ganado,matanza del ganado,Canadienne,,,,,,,,
6,Viens,Mocksens,Vieux-Chêne,VI,Chiens,Finissons-en,Tiens,,,,,,
7,Hermosillo,Apaches,Cher,Apacheria,chêne-liège,Och,tercushenan,Chose,– Cher,Caché,,,
8,Vert-de-gris,grotte du Vert-de-gris,Vert-de-Gris,,,,,,,,,,
9,Luz,I,alluma,Doña Luz,A,,,,,,,,
10,la Tête-d'Aigle,piste de la Tête-d'Aigle,La Tête,Tête-d'Aigle,Aigle,,,,,,,,
11,La Providence,Providence,hacienda del Milagro,,,,,,,,,,
12,voulez,Allez,Voulez,,,,,,,,,,
13,Océans,Océan,,,,,,,,,,,
14,Répondez,Bermudez,bois-chandelle,–,répondrez,,,,,,,,
15,– Bien,Combien,– Très bien,"– Bien, ma fille",– Bien !,– Rien,,,,,,,
16,Phébé,Québec,,,,,,,,,,,
17,Attendre,Attends,Prends,hatto,muette,,,,,,,,
18,Comanches,Les Comanches,manche,Charmant,œil du Comanche,piste des Comanches,Comanche,,,,,,
19,II,XII,XI,,,,,,,,,,
20,Blanc,Blancs,Châteaux Blancs,France,Blancs-Yeux,Tête-Blanche,,,,,,,
21,– Holà,– Oui,Albaceyte,– Bah,– Bah !,bah,,,,,,,
22,Utique,Mexique,Pacifique,pacifique,Ciboto,océan Pacifique,l'Afrique,,,,,,
23,l'Amérique du Nord,Amérique du Sud,Amérique,l'Amérique,Amérique du Nord,du Nord,rue du Rosaire,Cordoue,,,,,
24,tapia,États,État,États-Unis,États barbaresques,États de Durango,,,,,,,
25,– Belhumeur,Belhumeur,,,,,,,,,,,
26,Salvator Rosa,Arrivés,Tripoli,Rosario,rio Gila,Cricks,,,,,,,
27,gambusinos mexicains,gambusinos demi-sang,Gambusinos,gambusinos,,,,,,,,,
28,Gardez,Regardez,Delawares,,,,,,,,,,
29,Mexico,camp des Mexicains,Ginetes mexicains,Mexicains,Américains,Américaines,,,,,,,
30,Sept,Prompt,Rome,Prologue,,,,,,,,,
31,Le Cœur-Loyal sourit,Cœur-Loyal,Le Cœur-Loyal,Le Cœur,,,,,,,,,
32,Doña Jesusita,Jesusita,– Jesusita,Señorita,,,,,,,,,
33,Le soleil,le soleil,soleil,Soleil,le Soleil,Élevée,Le Soleil,Conseille,,,,,
34,Chinois,Noirs,Ouaktehno,Élan-Noir,Pieds-Noirs,,,,,,,,
35,péon,Allons,Bonjour,Hâtons,Trêve,Montrons,– Essayons,Ramon,Montagne,Monté,Nonchalamment,– Sont,Sermon
36,Certain,lanceros,el Cerro,Cerro,Leperos,Merced,,,,,,,
37,sierra Madre,Angleterre,Plateros,prierez,Derrière,terre,– Espérer,Bourreau,,,,,
38,jeun,besogne,Pawnees,lune,Jeunes,Lune,,,,,,,
39,Jupiter,Nègre,Nègre Jupiter,Pitic,,,,,,,,,
40,Coq,coquins,Cuivrés,,,,,,,,,,
41,Oublié,rivière Rouge,Osages,Régences d'Alger,Peaux-Rouges,Pérou,Rouges,Guadeloupe,,,,,
42,surprît,Peaux,l'Europe,vieille Europe,Acropolis,Europe,Créateur,,,,,,
43,Linnée,les Incas,Incas,Assiniboins,,,,,,,,,
44,alguazils,Babillard,Aguilar,Guadalajara,,,,,,,,,
45,Ooouh,Nehu nutah,Ooah,,,,,,,,,,
46,Eusébio,Syracuse,Poussé,San Agustin,us,Russe,,,,,,,
47,buffalos,Buffalo,,,,,,,,,,,
48,Panama,wampums,campana,,,,,,,,,,
49,pasto,Pimas,– Pas,Guaymas,ashahas,Opatas,letras,Pas,,,,,
50,Français,Anglais,Mississippi,venaison,Convaincu,Vais,Vaincue,,,,,,
51,d'Espagne,compagne,Espagnols,Espagnol,,,,,,,,,
52,L'Indien,jardin des Oliviers,Indiens,Les Indiens,Indien Osage,Indien,Indiennes,,,,,,
53,Arrêtez,Pardonnez,Partons,Cortez,Carthage,épargnez-les-moi,Rapportez,Parlez,Partez,,,,
54,– Tuez-moi,TUE,Hâte-toi,Moi-même,– Tue-moi,,,,,,,,
55,golfe de Californie,répliquai-je naïvement,cathédrale de Mexico,couvent de la Merced,Montagne de la cloche,aventure de Mexico,,,,,,,
56,Chimborazo,État de Sonora,Confédération,Bison,– Non,mignonne,Sonora,songerais-tu,,,,,
57,Prenez-le,Mettez,Écoutez,Venez,– Tenez,– Kennedy,Hâtez,Tenez,,,,,
58,– Que,– Quels,Quelles,,,,,,,,,,
