cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34
-1,Arrêtez,Avez,sierra Madre,Mexico,golfe de Californie,Arrivés,tapia,Anglais,Buenas,Osages,jardin des Oliviers,du Nord,tercushenan,Ciboto,I,Carthage,Rafaël,Charmant,Élevée,– Kennedy,Delawares,Ramon,–,Eshis,l'Afrique,Cuivrés,dételées,– Sont,Finissons-en,A,Vais,Assiniboins,Señorita,Cordoue,hacienda del Milagro
0,– Diable !,– Diable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,buffalos,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,– Belhumeur,Belhumeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,La Providence,Régences d'Alger,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,chêne-liège,Vieux-Chêne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Luz,Doña Luz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Doña Jesusita,Jesusita,– Jesusita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tripoli,Acropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jupiter,Nègre,Nègre Jupiter,Pitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Albaceyte,Trêve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Le Cœur-Loyal sourit,Cœur-Loyal,Le Cœur-Loyal,Le Cœur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Vert-de-gris,grotte du Vert-de-gris,Vert-de-Gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Och,San Agustin,Créateur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,– Holà,Oublié,– Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,II,XII,XI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sept,Linnée,Chose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Guadeloupe,Guadalajara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Pimas,Guaymas,alguazils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Eusébio,Syracuse,Poussé,us,Russe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,soleil,Soleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Le soleil,le soleil,le Soleil,Le Soleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Panama,wampums,campana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sommes,Prompt,Rome,Prologue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Phébé,Ouaktehno,Québec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Coq,coquins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Chinois,Chimborazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bonjour,Bourreau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,bois-chandelle,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mississippi,Nehu nutah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Certain,Bermudez,el Cerro,Cerro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Noirs,Élan-Noir,Pieds-Noirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,jeun,Jeunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,lune,Lune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
