cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Durango,Français,Anglais,États de Durango,Grande,,,,,,
1,l'Amérique du Nord,Amérique du Sud,Amérique,l'Amérique,Amérique du Nord,du Nord,Nehu nutah,l'Afrique,rue du Rosaire,,
2,Resté,Est,– Est,besogne,Pawnees,Sommes,piste des jaguars,trappes,Eshis,dételées,Ouest
3,Pensant,Viens,Mocksens,VI,Chiens,Tiens,,,,,
4,Hermosillo,Cher,Apacheria,Och,Chose,– Cher,Caché,,,,
5,buffalos,Buffalo,,,,,,,,,
6,Vert-de-gris,grotte du Vert-de-gris,Vert-de-Gris,,,,,,,,
7,la Tête-d'Aigle,piste de la Tête-d'Aigle,La Tête,Tête-d'Aigle,Aigle,,,,,,
8,voulez,Voulez,,,,,,,,,
9,Gardez,Bermudez,Regardez,jardin des Oliviers,Babillard,Delawares,,,,,
10,Oublié,Ooouh,Ooah,,,,,,,,
11,Océans,Océan,Arkansas,,,,,,,,
12,chêne-liège,Vieux-Chêne,,,,,,,,,
13,Répondez,Rendez,répondrez,,,,,,,,
14,– Bien,Combien,– Très bien,"– Bien, ma fille",– Bien !,– Rien,,,,,
15,Le soleil,le soleil,I,soleil,Soleil,le Soleil,Le Soleil,Conseille,,,
16,Attendre,Attends,Prends,hatto,muette,,,,,,
17,Apaches,Comanches,Les Comanches,manche,Charmant,œil du Comanche,piste des Comanches,Comanche,,,
18,Reculerais-tu,Veillerai,songerais-tu,,,,,,,,
19,II,XII,XI,,,,,,,,
20,Blanc,Blancs,Châteaux Blancs,Blancs-Yeux,Tête-Blanche,,,,,,
21,Tripoli,Trêve,Acropolis,,,,,,,,
22,– Holà,– Oui,– Bah,– Bah !,bah,,,,,,
23,golfe de Californie,Phébé,cathédrale de Mexico,aventure de Mexico,,,,,,,
24,tapia,États,État,États-Unis,États barbaresques,,,,,,
25,Luz,lune,Lune,Doña Luz,,,,,,,
26,– Belhumeur,Belhumeur,,,,,,,,,
27,Pardonnez,Partons,épargnez-les-moi,– Pardieu !,mignonne,,,,,,
28,Salvator Rosa,Arrivés,Osages,Rosario,rio Gila,,,,,,
29,Buenas,Revenant,tercushenan,venaison,Vivant,Sautant,– Maintenant,,,,
30,lanceros,Plateros,France,Leperos,,,,,,,
31,Mexico,camp des Mexicains,Ginetes mexicains,Mexicains,,,,,,,
32,Sept,Prompt,Rome,Prologue,,,,,,,
33,Utique,Mexique,Pacifique,pacifique,océan Pacifique,,,,,,
34,Écoutez,Cortez,Rapportez,Partez,Cordoue,,,,,,
35,ganado,matanza del ganado,adoves,,,,,,,,
36,répliquai-je naïvement,Décidément,Nonchalamment,,,,,,,,
37,– Diable !,– Diable,,,,,,,,,
38,Allons,Albaceyte,bois-chandelle,Allez,– Excellent,alluma,Parlez,,,,
39,Le Cœur-Loyal sourit,Cœur-Loyal,Le Cœur-Loyal,–,Le Cœur,A,,,,,
40,Américains,Cricks,Américaines,,,,,,,,
41,Doña Jesusita,Jesusita,– Jesusita,Señorita,,,,,,,
42,La Providence,Régences d'Alger,Providence,,,,,,,,
43,Chinois,Noirs,Ouaktehno,Élan-Noir,Pieds-Noirs,,,,,,
44,Essayez,– Essayons,– Espérer,,,,,,,,
45,Certain,el Cerro,Cerro,,,,,,,,
46,couvent de la Merced,Montagne de la cloche,Merced,,,,,,,,
47,sierra Madre,Angleterre,Derrière,terre,Bourreau,,,,,,
48,jeun,Jeunes,,,,,,,,,
49,Jupiter,Nègre,Nègre Jupiter,Pitic,,,,,,,
50,Peaux,rivière Rouge,Peaux-Rouges,Pérou,Rouges,,,,,,
51,Coq,coquins,Québec,,,,,,,,
52,Avez,– Rentrez,Élevée,– Relevez,,,,,,,
53,Arrêtez,Hâtons,Mettez,Hâte-toi,Hâtez,,,,,,
54,l'Europe,vieille Europe,Europe,Créateur,,,,,,,
55,gambusinos mexicains,gambusinos demi-sang,Gambusinos,gambusinos,,,,,,,
56,les Incas,Incas,,,,,,,,,
57,péon,Bonjour,Montrons,Ramon,Montagne,Monté,– Sont,Sermon,,,
58,graverai,Caraï,Carthage,Rafaël,Carai,,,,,,
59,Eusébio,Syracuse,Poussé,San Agustin,us,Russe,,,,,
60,Panama,wampums,campana,,,,,,,,
61,pasto,Pimas,– Pas,Guaymas,ashahas,Opatas,Pas,,,,
62,alguazils,Aguilar,Guadeloupe,Guadalajara,,,,,,,
63,Mississippi,Linnée,Ciboto,Finissons-en,Assiniboins,,,,,,
64,d'Espagne,compagne,Espagnols,Espagnol,,,,,,,
65,L'Indien,Indiens,Les Indiens,Indien Osage,Indien,Indiennes,hacienda del Milagro,,,,
66,– Tuez-moi,TUE,Moi-même,– Tue-moi,,,,,,,
67,Chimborazo,État de Sonora,Confédération,Bison,– Non,Sonora,,,,,
68,Canadien,– Kennedy,Canadienne,,,,,,,,
69,Prenez-le,Venez,– Tenez,Tenez,,,,,,,
70,Convaincu,Cuivrés,Vais,Vaincue,,,,,,,
71,surprît,prierez,letras,– Figurez,Rassurez,,,,,,
72,– Que,– Quels,Quelles,,,,,,,,
