cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0.0,Salvator Rosa,Osages,Rosario,rue du Rosaire,,,
1.0,l'Amérique du Nord,Amérique du Sud,Amérique,l'Amérique,Amérique du Nord,du Nord,Nehu nutah
2.0,Resté,Est,– Est,Ouest,,,
3.0,buffalos,Buffalo,,,,,
4.0,Arrêtez,Arrivés,Derrière,,,,
5.0,la Tête-d'Aigle,piste de la Tête-d'Aigle,La Tête,Tête-d'Aigle,Aigle,,
6.0,Utique,Mexique,l'Afrique,,,,
7.0,Apaches,Cher,Apacheria,– Cher,Caché,,
8.0,Durango,Français,France,Vais,,,
9.0,Océans,Océan,Arkansas,,,,
10.0,Répondez,Rendez,répondrez,,,,
11.0,Pimas,Guaymas,alguazils,,,,
12.0,Le soleil,le soleil,soleil,Soleil,le Soleil,Le Soleil,
13.0,Attendre,Attends,Prends,hatto,,,
14.0,Reculerais-tu,songerais-tu,,,,,
15.0,jeun,Jeunes,,,,,
16.0,Blanc,Blancs,Châteaux Blancs,Blancs-Yeux,Tête-Blanche,,
17.0,Tripoli,Acropolis,,,,,
18.0,– Belhumeur,Belhumeur,,,,,
19.0,– Bah,– Bah !,bah,,,,
20.0,Mexico,golfe de Californie,cathédrale de Mexico,aventure de Mexico,,,
21.0,Caraï,Carthage,Carai,,,,
22.0,États,État,États-Unis,États barbaresques,États de Durango,,
23.0,lune,Lune,,,,,
24.0,camp des Mexicains,Ginetes mexicains,Mexicains,,,,
25.0,– Tuez-moi,TUE,épargnez-les-moi,Moi-même,– Tue-moi,,
26.0,Gardez,Pardonnez,Regardez,– Pardieu !,mignonne,Cordoue,
27.0,Hâtons,Partons,Parlez,Partez,,,
28.0,gambusinos mexicains,gambusinos demi-sang,Gambusinos,gambusinos,,,
29.0,Poussé,Russe,,,,,
30.0,bois-chandelle,– Excellent,Grande,,,,
31.0,– Bien,Combien,– Très bien,"– Bien, ma fille",– Bien !,,
32.0,graverai,Veillerai,Conseille,,,,
33.0,Prompt,Rome,Prologue,,,,
34.0,Pacifique,pacifique,océan Pacifique,,,,
35.0,Anglais,Angleterre,terre,,,,
36.0,Buenas,Syracuse,Revenant,tercushenan,– Maintenant,,
37.0,chêne-liège,Vieux-Chêne,,,,,
38.0,– Diable !,– Diable,,,,,
39.0,Le Cœur-Loyal sourit,Cœur-Loyal,Le Cœur-Loyal,Le Cœur,,,
40.0,Américains,Cricks,Américaines,,,,
41.0,les Incas,Incas,,,,,
42.0,jardin des Oliviers,piste des jaguars,piste des Comanches,,,,
43.0,Doña Jesusita,Jesusita,– Jesusita,Señorita,,,
44.0,La Providence,Régences d'Alger,Providence,,,,
45.0,Essayez,– Essayons,– Espérer,,,,
46.0,sierra Madre,Certain,el Cerro,Cerro,,,
47.0,couvent de la Merced,Montagne de la cloche,Merced,,,,
48.0,Jupiter,Nègre,Nègre Jupiter,Pitic,,,
49.0,Peaux,rivière Rouge,Peaux-Rouges,Pérou,Rouges,,
50.0,venaison,Bison,– Sont,Finissons-en,,,
51.0,besogne,d'Espagne,compagne,Espagnols,Espagnol,,
52.0,Pensant,Charmant,Vivant,Sautant,,,
53.0,ganado,Opatas,matanza del ganado,adoves,hacienda del Milagro,,
54.0,Allons,Allez,alluma,,,,
55.0,Coq,coquins,,,,,
56.0,Avez,– Rentrez,Élevée,– Relevez,,,
57.0,Écoutez,Hâte-toi,Hâtez,,,,
58.0,Cortez,trappes,Rapportez,,,,
59.0,l'Europe,vieille Europe,Europe,Créateur,,,
60.0,Montrons,Ramon,Montagne,Monté,,,
61.0,répliquai-je naïvement,Sommes,Décidément,Nonchalamment,– Non,,
62.0,Confédération,Convaincu,Vaincue,,,,
63.0,voulez,Voulez,,,,,
64.0,Babillard,rio Gila,Aguilar,San Agustin,,,
65.0,Vert-de-gris,grotte du Vert-de-gris,Vert-de-Gris,,,,
66.0,Bonjour,Bourreau,,,,,
67.0,Luz,Doña Luz,,,,,
68.0,lanceros,Plateros,Leperos,,,,
69.0,Delawares,Guadeloupe,Guadalajara,,,,
70.0,Panama,wampums,campana,,,,
71.0,pasto,– Pas,Pas,,,,
72.0,Hermosillo,Bermudez,Sermon,,,,
73.0,Mississippi,Ciboto,Assiniboins,,,,
74.0,Mettez,muette,,,,,
75.0,L'Indien,Indiens,Les Indiens,Indien Osage,Indien,Indiennes,
76.0,Comanches,Les Comanches,manche,œil du Comanche,Comanche,,
77.0,Chimborazo,État de Sonora,Sonora,,,,
78.0,Canadien,Och,– Kennedy,Canadienne,,,
79.0,Prenez-le,Venez,– Tenez,Tenez,,,
80.0,surprît,prierez,letras,– Figurez,Rassurez,,
81.0,Viens,Mocksens,Chiens,– Rien,Tiens,,
82.0,Chinois,Noirs,Élan-Noir,Pieds-Noirs,,,
83.0,– Que,– Quels,Quelles,,,,
