cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,graverai,Avez,Reculerais-tu,Veillerai,Essayez,letras,songerais-tu,
1,Salvator Rosa,– Diable !,jeun,Osages,Rosario,Coq,rue du Rosaire,
2,Eusébio,,,,,,,
3,Resté,Est,Delawares,Ouest,,,,
4,Viens,Mocksens,Vieux-Chêne,Chiens,Tiens,,,
5,pasto,– Pas,Pas,,,,,
6,– Est,Pawnees,– Essayons,– Espérer,,,,
7,la Tête-d'Aigle,piste de la Tête-d'Aigle,La Tête,Tête-d'Aigle,Aigle,Québec,,
8,Utique,Mexique,l'Afrique,– Que,A,– Quels,,
9,Hermosillo,Apaches,Cher,Apacheria,péon,Élevée,– Cher,Caché
10,Oublié,trappes,–,,,,,
11,Gardez,Bermudez,Pardonnez,Regardez,Poussé,Babillard,– Pardieu !,Rome
12,Durango,Français,Anglais,France,Eshis,Grande,Vais,
13,Océans,Océan,Ooah,,,,,
14,chêne-liège,Guaymas,alguazils,piste des jaguars,ashahas,Guadeloupe,Guadalajara,
15,– Bien,Combien,– Très bien,"– Bien, ma fille",– Bien !,,,
16,surprît,– Oui,Mississippi,I,,,,
17,Attendre,Attends,hatto,muette,,,,
18,Allons,XI,Hâtons,Partons,Allez,alluma,Conseille,
19,Tripoli,jardin des Oliviers,VI,Acropolis,,,,
20,Mexico,golfe de Californie,cathédrale de Mexico,couvent de la Merced,aventure de Mexico,,,
21,l'Amérique du Nord,Amérique du Sud,Amérique,l'Amérique,Amérique du Nord,du Nord,Nehu nutah,Cordoue
22,Luz,Caraï,Carthage,Carai,,,,
23,États,État de Sonora,État,États-Unis,États barbaresques,États de Durango,,
24,– Holà,Jupiter,Nègre Jupiter,Doña Luz,Pitic,,,
25,lune,Jeunes,Lune,,,,,
26,gambusinos mexicains,camp des Mexicains,Ginetes mexicains,Mexicains,,,,
27,– Tuez-moi,TUE,épargnez-les-moi,Moi-même,– Tue-moi,,,
28,II,Ooouh,Sommes,gambusinos demi-sang,Gambusinos,Chimborazo,Opatas,gambusinos
29,– Bah,– Bah !,bah,Cuivrés,us,,,
30,Sept,Trêve,,,,,,
31,Arrêtez,Mettez,Écoutez,,,,,
32,Pacifique,Nègre,pacifique,océan Pacifique,,,,
33,Angleterre,terre,,,,,,
34,Buenas,Revenant,tercushenan,Buffalo,Merced,– Maintenant,,
35,Canadien,ganado,matanza del ganado,adoves,Canadienne,,,
36,Pimas,Albaceyte,répliquai-je naïvement,Décidément,Nonchalamment,,,
37,– Diable,,,,,,,
38,Le Cœur-Loyal sourit,Cœur-Loyal,Le Cœur-Loyal,Le Cœur,,,,
39,Répondez,Rendez,Prends,,,,,
40,XII,l'Europe,vieille Europe,Europe,,,,
41,La Providence,Régences d'Alger,Linnée,Ciboto,Providence,,,
42,Chinois,Noirs,Élan-Noir,Russe,Pieds-Noirs,,,
43,sierra Madre,Phébé,Certain,el Cerro,Derrière,Cerro,,
44,venaison,Bison,– Sont,Finissons-en,Sonora,,,
45,Le soleil,le soleil,soleil,Soleil,le Soleil,Le Soleil,,
46,besogne,d'Espagne,compagne,Espagnols,Espagnol,,,
47,Pensant,Charmant,Vivant,Sautant,,,,
48,coquins,Assiniboins,,,,,,
49,– Rentrez,tapia,– Relevez,– Rien,,,,
50,Hâte-toi,Hâtez,,,,,,
51,rivière Rouge,Peaux-Rouges,Pérou,Rouges,,,,
52,Cortez,Rafaël,Rapportez,Partez,,,,
53,Montrons,Montagne de la cloche,Ramon,Montagne,Monté,Sermon,,
54,Confédération,les Incas,Incas,Convaincu,Vaincue,,,
55,voulez,Parlez,Voulez,,,,,
56,rio Gila,Aguilar,San Agustin,hacienda del Milagro,,,,
57,Vert-de-gris,Arrivés,grotte du Vert-de-gris,Vert-de-Gris,,,,
58,– Kennedy,– Non,mignonne,,,,,
59,Doña Jesusita,Jesusita,Arkansas,– Jesusita,Señorita,,,
60,Blanc,Blancs,Châteaux Blancs,Blancs-Yeux,Tête-Blanche,,,
61,Peaux,Syracuse,Bonjour,Bourreau,,,,
62,buffalos,– Belhumeur,Belhumeur,Chose,Créateur,,,
63,lanceros,Plateros,Leperos,,,,,
64,Panama,wampums,campana,,,,,
65,L'Indien,Indiens,Les Indiens,Indien Osage,Indien,Indiennes,,
66,Comanches,Les Comanches,manche,œil du Comanche,piste des Comanches,Comanche,,
67,Prenez-le,Venez,– Tenez,Tenez,,,,
68,prierez,– Figurez,Rassurez,répondrez,,,,
69,bois-chandelle,– Excellent,Ouaktehno,dételées,Quelles,,,
70,Américains,Cricks,Américaines,,,,,
71,Och,Prompt,Prologue,,,,,
