cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,Le Cœur-Loyal,Cœur-Loyal,Le Cœur,Le Cœur-Loyal sourit,,,,
1.0,Tête-d'Aigle,piste de la Tête-d'Aigle,Tête-,La Tête,Aigle,,,
-1,J'ai,,,,,,,
3,Assis,Assiniboins,,,,,,
4,– Que,"– Quant à vous, ma nièce",– Quels,,,,,
5,Jesusita,Señorita,,,,,,
6,Acropolis,Tripoli,,,,,,
7,– Veillerai,Veillerai,selle,Opatas,Caballero,Conseille,Reculerais,
8,Gambusinos,gambusinos mexicains,gambusinos,gambusinos demi-sang,,,,
9,Ooouh,– Ooouh,,,,,,
10,– Figurez,– Rassurez,retirez,,,,,
-1,– Gardez,Accordez,Meegvoitch,Regardez,brunie,Gardez,,
-1,mignonne,– Non,Abandonnera,,,,,
12.0,Utique,Mexique,l'Afrique,,,,,
-1,Combien,Indiens,Les Indiens,Indiens Lune,L'Indien,Indien,Tiens,Indiennes
14.0,Espagnols,Espagnol,d'Espagne,,,,,
15.0,calle del Rosario,Salvator Rosa,Natosh,Osages,rue du Rosaire,,,
-1,– Pas trop bien,– Pas,– Pas moi,– Pas encore,pasto,,,
17.0,Ouest,Cordoue,de l'Ouest,,,,,
18.0,France,Français,Puissance,,,,,
-1,– Pardon,– Pardieu,– Parfaitement,– Pardieu !,,,,
20.0,océan Pacifique,Océan,pacifique,Pacifique,,,,
-1,Élan-Noir,Élan-,L'Élan-Noir,Pieds-Noirs,Noirs,,,
-1,Jupiter,Nègre Jupiter,Le Nègre,Pitic,Nègre,,,
23.0,Plateros,los Plateros,,,,,,
24.0,Providence,Régences d'Alger,La Providence,,,,,
25.0,maison du Blanc,Blanc,Blancs,Châteaux Blancs,lanceros,Tête-Blanche,,
26.0,hatto,– Aucune,– Attends,Mettez,,,,
27.0,Guaymas,alguazils,Pimas,,,,,
28.0,Guadeloupe,Guadalajara,,,,,,
29.0,Amérique,l'Amérique du Nord,du Nord,l'Amérique,,,,
30.0,camp des Mexicains,Mexico,Mexicains,cathédrale de Mexico,Flora mexicana,,,
31.0,Carthage,– Partez,Partez,Cortez,,,,
-1,– Relevez,Avez,,,,,,
33.0,juez,– Tuez,TUE,,,,,
-1,Vieux-Chêne,chêne-liège,,,,,,
-1,– Venez,épargnez-les-moi,– Tenez,,,,,
-1,Sauvée,Quarante,Sautant,Vivant,Voilà,,,
37.0,Comanches,manche,Comanche,Les Comanches,,,,
-1,venaison,Bison,,,,,,
39.0,Och,Monté,Montagne de la cloche,Montagne,golfe de Californie,,,
-1,Caché,– Caché,,,,,,
41.0,el Cerro,Cerro,Cerro de la campana,sierra Madre,,,,
42.0,Miracle,Syracuse,Chacun,,,,,
-1,Habitués,Babillard,Aguilar,la feuillée,,,,
44.0,eskennane,tercushenan,Merced,,,,,
45.0,l'Europe,Europe,,,,,,
-1,– Arrêtez,Arrêtez,Arrivés,,,,,
-1,mornes,Cornejo,– Pauvre Cornejo,– Pauvre,,,,
-1,Sommes,Hommes,Nonchalamment,– Commençons,,,,
49.0,Panama,Canadienne,Canadien,,,,,
-1,– Essayez,– Est,– Voyez,– Espérez,,,,
51.0,letras,trappes,,,,,,
52.0,Durango,sais,Anglais,sang-mêlé,Angleterre,,,
53.0,Américains,Américaines,,,,,,
54.0,hacienda del milagro,hacienda del Milagro,rio Gila,matanza del ganado,,,,
55.0,Mocksens,Cricks,,,,,,
56.0,soleil,Le Soleil,Le soleil,le soleil,volez,le Soleil,Soleil,
57.0,Vert-de-Gris,grotte du Vert-de-gris,Vert-de-gris,,,,,
-1,Sermon,Hermosillo,,,,,,
-1,– Rendez,Bermudez,Répondez,Grande,,,,
-1,Délicate,Docteur,Créateur,,,,,
61.0,État de Sonora,Sonora,Chimborazo,,,,,
62.0,Leperos,lepero,,,,,,
63.0,Incas,Confédération,Vaincue,Convaincu,,,,
64.0,alluma,San Agustin,calle San Agustin,,,,,
-1,– Écoutez !,– Écoutez,Écoutez,,,,,
66.0,États de Durango,État,États-Unis,États,États barbaresques,,,
67.0,Pérou,rivière Rouge,Peaux-Rouges,Rouges,,,,
68.0,Rome,Prologue,Prompt,,,,,
-1,Pawnees,Yankees,,,,,,
-1,Belhumeur,– Oui,"– Oui, appuya Belhumeur",,,,,
71.0,piste des Comanches,jardin des Oliviers,piste des jaguars,piste,piste des,,,
72.0,Buffalo,buffalos,,,,,,
-1,– Trêve,Chinois,– Trois,,,,,
-1,– Hâte-toi,– Holà,Hâtez,– Hâtez,,,,
75.0,Cher,Chercher,Apaches,Apacheria,,,,
76,Mississippi,,,,,,,
77,Delawares,,,,,,,
