cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,Cœur-Loyal,"Cœur
Laval",Cœur Loyal,ÈU,Le Cœur-Loyal,,,,,,,,,,,,,,,,,,
1,trouvez—-,Trêve,sauvez—,retrouve—,trou—,k19,,,,,,,,,,,,,,,,,
2,princi—,acci—,préci—,pri—-,prin—,incompréhenri—,Imprimerie Êminins‘r Maven,,,,,,,,,,,,,,,,
3,Iii—12,Iii—8,iii—S,‘2v.m—8,,,,,,,,,,,,,,,,,,,
4,Confédération,A,ln,Rations,confédéra—,néral,,,,,,,,,,,,,,,,,
5,Tête d’Aigle,Tête d’Aigle 21 no Eusébio,"Tête
d’Aigle",d’,Tête d’ Aigle,Tête,piste de la Tête d’Aigle,Tête d'Aigle,La Tête d’Aigle,,,,,,,,,,,,,,
6,sacrﬁer,sacrﬁce,sacr—,H,sacreﬁet,,,,,,,,,,,,,,,,,,
7,vieuxichef indien,Indien,souviendrai l,Diplomatie,indien—,L’Indien,Indiennes,indienne,I’indien,cienda,Indiens,A l’indienne,,,,,,,,,,,
8,prome—,prodi—,prof—,prodigué—,,,,,,,,,,,,,,,,,,,
9,l’-,l’,L’,"II

L’",Luz l’,,,,,,,,,,,,,,,,,,
10,trois—,Frauçoise,Trois,leﬂ'roi,trot,trop—,provisoire—,Sois,,,,,,,,,,,,,,,
11,occupons—,Monté,mons,consi—,Sermon,consé—,Mocksens,lons,,,,,,,,,,,,,,,
12,jeun,—je,Jeunes,un-8,,,,,,,,,,,,,,,,,,,
13,Babillard,Babillard s’,Aguilar,Babillard n’,abat—,Babil-,Habitués,Cordillères,,,,,,,,,,,,,,,
14,singe—,ge—,e—,age—,ge,juge—,,,,,,,,,,,,,,,,,
15,transi—,vrai—,prai—,prai11es,fai—-,eﬂ‘ray,bi—,,,,,,,,,,,,,,,,
16,aveu—,beau—,Eu—,répu—,lieu—,,,,,,,,,,,,,,,,,,
17,l’Europe,l'Europe,Europe,Î,Etats Europç_ens,peut—,peuple—,,,,,,,,,,,,,,,,
18,eﬁ”aprés,appr—,pressentirl’appr—,s’appr—,Cà,eû‘approche,appli—,aper—,appât,Slt,,,,,,,,,,,,,
19,Docteur,douceur1,Créateur,Oc,,,,,,,,,,,,,,,,,,,
20,Giants mexicains,.—ÆÈÊ—icæœ,Mexicains,Mexico,G,camp des Mexicains,Mezcal,Mexicaine,,,,,,,,,,,,,,,
21,Guadeloupe,Oula,déroul—,Ou,rivière Rouge,moule—,éprou—,loux,Cordoue,mouss;x,soup—,Nou,sousﬂant,Coulon,Tout,Oui,,,,,,,
22,occupa—,libéra—,abomina—,a—,ha—,ja—,priva—,végéta—,Ba—,fera—,A—,tempéra—,proba—,intra—,strata—,effroya—,atta—,voya—,Ca—,,,,
23,Ai-,ai-j e bien parlé,gaie—,Quai-,ai-j e,aiÏaire,,,,,,,,,,,,,,,,,
24,Oak,Ouaktehuo,Ouaktehno,,,,,,,,,,,,,,,,,,,,
25,mar—,martyrs—,ar-,couar—,Marlene,malheur—,débar—,r—,marmara,,,,,,,,,,,,,,
26,Rio Gila,Bio Gila,"A gui-
lar",,,,,,,,,,,,,,,,,,,,
27,feuill—,seuil—,bouil—,la feuillée,Ill—8,,,,,,,,,,,,,,,,,,
28,"circonstance—

330 LES TR","fran—

302 LES",Les Lancers,circonstance—,,,,,,,,,,,,,,,,,,,
29,geléra1,WRANGEL,sang—,Durango,,,,,,,,,,,,,,,,,,,
30,vieux chas—,audacieux—,vie?Je,chas—,Vieux Chêne,,,,,,,,,,,,,,,,,,
31,"Ca—
nadine",campana,Canadien,Canadienne,payshik artwwaay winnie tercushenan,ganado,,,,,,,,,,,,,,,,,
32,—— C’,U,C’,L——,,,,,,,,,,,,,,,,,,,
33,ESpa—,&,Espagnols,L‘Espagne,Espagne,besogne,L‘Allemagne,d’Espagne,38vçl,,,,,,,,,,,,,,
34,Scotté le'gras,letras,Scotté,,,,,,,,,,,,,,,,,,,,
35,brous—,caus—,Russe jusqu‘au Chinois,Où,causècut,réus—,sous—,refus—,australie,haus—,,,,,,,,,,,,,
36,Visages pâles ont-—,L‘ÀÎiMAGES,Usages,"sau—
Pages",Carthage,Visage,Salvator Rosa,,,,,,,,,,,,,,,,
37,caba—,hale—,Caballero,probable—,caballero—,calle del Rosario,,,,,,,,,,,,,,,,,
38,Cesse,resse—,presse—,attendrisse—,mugisse—,Pres,empresse—,ressent—,expres—,,,,,,,,,,,,,,
39,convoiîse,convaicu,Convaincu,Ml3,Vaincue,ù36,,,,,,,,,,,,,,,,,
40,class—,sifﬂa,Assis,Assiniboz‘s,Russie,suisse,impassible—,Mississipi,,,,,,,,,,,,,,,
41,avide—,timide—,rapide—,évide—,-DE,cœnavireé,,,,,,,,,,,,,,,,,
42,Bafaël jusqu’,Bafaël,Rafaël,,,,,,,,,,,,,,,,,,,,
43,manche,la manche,Romanches,Comanches s’,Romanche,Les Romanches,piste des Comanches,Comanches,Roman-,"Roman—
ches",Comanche,Les Comanches,,,,,,,,,,,
44,Les_Delawares,Les,Familles,Naples,bles—,bless—,,,,,,,,,,,,,,,,,
45,immédiate—,Diator,immédia—,,,,,,,,,,,,,,,,,,,,
46,n’,Nul n’,,,,,,,,,,,,,,,,,,,,,
47,hacienda del Milagro,"hacienda del
Milagro",,,,,,,,,,,,,,,,,,,,,
48,Albacete,Cette,hutte,Mettez,Egypte,,,,,,,,,,,,,,,,,,
49,exclamaüon,éclair—,l‘éclat,pir,clair—,Miracle,,,,,,,,,,,,,,,,,
50,la France,La France,fran—,France,Français,Puissance,esPérance,fr,ancê—,,,,,,,,,,,,,,
51,Aigle ﬁt allumer du feu,AIGLE,Aigle,J,h51,Az‘gle,aigle,,,,,,,,,,,,,,,,
52,Reculerais,bris—,Vais,insist—,visi—,devais—,maison,suis—,saisis—,remplis—-,venaison,tisfaît,Ren.nIssan,lais—,Visible,puis—,paris—,laissons—,Isa,Quisis,paisible—,sais,pis—-
53,cathédrale de Mexico,Guadalaæw*a,golfe de Cali-,"États de Durango '
et de Guadalaæw*a",États de Durango,Cerro de la campana,piste des jaguars,,,,,,,,,,,,,,,,
54,le soleil,Soleil,c0,le Soleil,Vieille,Veillerai,Le soleil,reille,soleil,role,lorque le soir,facile—,Le Soleil,,,,,,,,,,
55,mélanco—,no—,bro—,Co—,ho—,colo—,A26,,,,,,,,,,,,,,,,
56,Phébé,philo—,philoso—,so—,,,,,,,,,,,,,,,,,,,
57,Vue,suez,TUE,Turcs,Tuez,,,,,,,,,,,,,,,,,,
58,reﬂet bleuâtres,reﬂet,reti—,remet—,reto—,,,,,,,,,,,,,,,,,,
59,maître—,entiére—,dire—,re—,frêre,reve—,"mâ—
choire",contre—,quatre—vingts,arrière—,légère—,,,,,,,,,,,,
60,surpass—,su1s,rassur—,Auras,Rassurez—vous,assur—,suré,assu—,,,,,,,,,,,,,,,
61,au-,"au-
tre",L‘autre,,,,,,,,,,,,,,,,,,,,
62,sour—,pour—,tour—,tourment—,parcour—,mur—,four—,,,,,,,,,,,,,,,,
63,bon—-,prison—,renon—,péon,mignonne,pronon—,défon—,bron—,physiono—,profondé—,,,,,,,,,,,,,
64,Cessita,la fait—,j’ai dit,Caspita,Suscita,Tait,Italie,G3PITAINE,,,,,,,,,,,,,,,
65,Américains,Cric,Américaine,Américaines,"capi—
taine",,,,,,,,,,,,,,,,,,
66,État de Sonora,mayorat_s’,sonora heureuse,Nord,senora,Sonora,Ghimborazo,honora—,Sonore,,,,,,,,,,,,,,
67,quel—-,quel—,réel—,ques—,I,Quels,,,,,,,,,,,,,,,,,
68,Jupiter,lâ-,"de
Jupiter",,,,,,,,,,,,,,,,,,,,
69,chagrin—,ha.—,échan—,chan—,enchan—,La Havane,,,,,,,,,,,,,,,,,
70,éloi—,Chinois,loin—,Loin,s’éloigne,,,,,,,,,,,,,,,,,,
71,subite—,parfaite—,Faites,Parfaitement,,,,,,,,,,,,,,,,,,,
72,vigoureuse—-,Syracuse,vigoureuse—,silencieuse—,breuse,soucieuse—,,,,,,,,,,,,,,,,,
73,Belhumeurl,Belhu—,Belhumeur,ditBelhumeur,,,,,,,,,,,,,,,,,,,
74,destitu—,Est—ce,Qu‘est,Est,l‘Ouest—,SAINT-PRIEST,est—-,la postes—,,,,,,,,,,,,,,,
75,immé—,Amé—,camé—,Amalgame‘iœ,,,,,,,,,,,,,,,,,,,
76,SUBI‘S,Elzsz‘s,zz‘s —,,,,,,,,,,,,,,,,,,,,
77,améri—,l'Amérique du Sud,Pariﬁque,Utique,Afrique,Amérique,l’Afrique,nes de l’Amérique,Amérique du Sud,Amérique du Nord,l’Amérique,.,Mexique,,,,,,,,,,
78,Iéguer,guer-,guer—,imper—,guet—à—pens,vaqueras,,,,,,,,,,,,,,,,,
79,mer Noire,tète,l‘Angleterre,5rr,Derrière,Cerro,tëte,terre,Sierra Madre,Adversaire,nétrer,Angleterre,terri—,Plateros,,,,,,,,,
80,Prends,renom—,reprend—,repr—,prend—,repens—,,,,,,,,,,,,,,,,,
81,Lorsqu‘on,L‘on,l‘on,L‘lÿg,,,,,,,,,,,,,,,,,,,
82,"résis—
ter",résolu—,résis—,rési—,,,,,,,,,,,,,,,,,,,
83,Voyez,Moyen Age,Moyen,,,,,,,,,,,,,,,,,,,,
84,Voilà,volez,le Voir,vo—,vo,vos—,demi—voix,dévote—,Bravo,,,,,,,,,,,,,,
85,GRANDS CHEFS,demanda-til,Grand Chef des Auras,Grand Chef des,Grande,Répondez,demanda—,grand’peine,,,,,,,,,,,,,,,
86,Providence,La Providence,la ronde,,,,,,,,,,,,,,,,,,,,
87,con—-,reconnaî—,9.bf,conﬁnée,recon—,contem—,reconnu—,recomman—,,,,,,,,,,,,,,,
88,combat—,compléte—,Accompagnera,indompta—,compa—,com—-,impa—,Compagnon,compl—,,,,,,,,,,,,,,
89,S,Partez,arrê—,Arrêtez,rêt,,,,,,,,,,,,,,,,,,
90,appa—,océan Pariﬁ-,appara—,Parall,cara—,.0,appar—,Veloppa,,,,,,,,,,,,,,,
91,nonchalammcnt,Blancs,nonchalant—,ont—,,,,,,,,,,,,,,,,,,,
92,dé—,exté—,préoc—,ré—,retiré—,mysté—,réun—,expé—,préfé—,repré—,,,,,,,,,,,,,
93,NO Eusébio,Nô Eusébio,,,,,,,,,,,,,,,,,,,,,
94,ISRAÉL,ISR,disra—,,,,,,,,,,,,,,,,,,,,
95,Rome,Hommes,Femme,somme,Sommes,,,,,,,,,,,,,,,,,,
96,nè—,arrètè—,arrivè—,Arrivés,,,,,,,,,,,,,,,,,,,
97,s’écoula,Hâtez,écoutez—,décou—,Écoutez,,,,,,,,,,,,,,,,,,
98,Combien,Comment,Comen-,emmen—,commen—,Commençons,,,,,,,,,,,,,,,,,
99,"TRAPPEURS

— Son",trap—,äätñl,TBAPPEUPtS,TRAPPEURS,"TRAPPEURS

Dés",trappes,"TRAPPEURS

— Rien",,,,,,,,,,,,,,,
100,lit—12,m—12,lil-12,lil—12,ici—12,chili,,,,,,,,,,,,,,,,,
101,déses—,butﬁes,Peaux Rouges,Palm‘es,espè—,alïaires,Essayez,Eshis,MG,Vipères,Victimes,Es,États Barbaresques,Études,mornes,s‘cadres-,Yankees,,,,,,
102,M8,engag—,"II

LE JUGEMENT",hagen—,AUBENAS,m‘en,Simplement,SAINT—DENYS,A1’entrée,enﬁd,enïet,Ken—,s’entr’ouvrirent douce—,aven—,enten—,atten—,avaientà,Enﬁn,trente—,,,,
103,Folle,"s’écria—
t—elle radieuse",réelle—,—elle,seîl,bois—chandelle,selle,,,,,,,,,,,,,,,,
104,ilfr,surveill—,l—,oeil—,oeil,meil—,,,,,,,,,,,,,,,,,
105,Merced,Merci,D‘ici,CIÊnÇn,,,,,,,,,,,,,,,,,,,
106,Bermudez,murmu—,Armés,rm,,,,,,,,,,,,,,,,,,,
107,ﬂèches,cher—,Apaches,torche,machete,enchevê—,cher,Tâchez,chot,Hermosillo,Chercher,,,,,,,,,,,,
108,sentra,anti—,consent—,entiè—,Aiétiﬂ.lti,semblaientmet—,r. nt},gentil—,senti—,sentinel—,pressenti—,,,,,,,,,,,,
109,Ehl,m’,Eh !,Eh,,,,,,,,,,,,,,,,,,,
110,"possé—
daient",dissé—,poss—,possé—,POST-FACE,,,,,,,,,,,,,,,,,,
111,MB,Gambusinos,gambusinos mexicains,Gambusîno,ﬁ2,gambusinos,,,,,,,,,,,,,,,,,
112,"Palais et
Apaches",Anglais,"palais
qu’",Laisse,Palais,palan—,palais qu’,,,,,,,,,,,,,,,,
113,"la—

ble",consola—,celavaut,impla—,la-S.,la—,.la',,,,,,,,,,,,,,,,
114,Regardez,regard—,gal,gard,Pardieul,Gardez,,,,,,,,,,,,,,,,,
115,crit—,Antiquite,agit—,"conduit—
sit",conduit—,"quit—
ter",acquiesce—,quit—,,,,,,,,,,,,,,,
116,vie—-,VI,griève—,Vivement,viole—,préve—,Vivant,civili—,IV,vive—,Divinité,excessive—,Vivaéeté,,,,,,,,,,
117,l‘agonie,magni—,agonie,,,,,,,,,,,,,,,,,,,,
118,—- Oh !,—- Ooouhl,—- C’,—- O,lui—-,,,,,,,,,,,,,,,,,,
119,apporte—,impor—,support—,,,,,,,,,,,,,,,,,,,,
120,Tri—,"favori—
ble",favori—,,,,,,,,,,,,,,,,,,,,
121,très—,plus—,dépos—,lors—,hors—,Abbas—«ad,s—,ins—-,,,,,,,,,,,,,,,
122,s’échapper,hap—,échap—,,,,,,,,,,,,,,,,,,,,
123,—- Maintenant,fantasy—,mainte—,maianza,gigantes—,atTrayante,Quarante,mantes,,,,,,,,,,,,,,,
124,respect—,alfectueuse—,respectueuse—,,,,,,,,,,,,,,,,,,,,
125,MAUDIT,Maxi—,Pumas,alluma,détouma,uma,,,,,,,,,,,,,,,,,
126,"Cœur

DE L‘ARKANSAS",ARKA\SAS,L‘ABKANSÆ,Arkansas,DE L‘ARKANSAS,AliKARSAS,L'ABKAN3AS,ARKANSAS5,L‘ABKAN,L‘AlKKA‘SAS,L‘ARKANSAS5,L‘ARKANSAS,L‘ARkANSAS,,,,,,,,,,
127,silien—,gie,clientœres,Pieds-,Tiens,Liens,rience,,,,,,,,,,,,,,,,
128,ler,Leperos,lepero,"percepti—
bles",,,,,,,,,,,,,,,,,,,
129,mune,Luz,lune,Lune,,,,,,,,,,,,,,,,,,,
130,Avez,Venue,souVenez,Venez,,,,,,,,,,,,,,,,,,,
131,Les États—Unis,Unis,États,État,États-Unis,États—Unis s’,États—Unis,nishiunorbay gomez,,,,,,,,,,,,,,,
132,rue de I‘Ahl,rue du Rosaire,Vert de gris,grotte du vert de gris,grotte,,,,,,,,,,,,,,,,,,
133,Passé,Sebastopol,"hé-
las!","Buf-
faso",pasto,Pas,,,,,,,,,,,,,,,,,
134,pays qu’,Québec,jusqu’,qu’,,,,,,,,,,,,,,,,,,,
135,roger,liège,Hier,Alger,Vertige,Ver,281,"dan—
gers",ger,,,,,,,,,,,,,,
136,aban—,man—-,wigan—,ban—-,étran—,mélan—,plan—,avan—,ban—,n’aban—,s’arran—,Baht,,,,,,,,,,,
137,négli—,obligeât,Vali6rs,oligar—,s‘amollir,Oli—,Délicate,Oli,G“£PUBLI,solitu—,,,,,,,,,,,,,
138,j’ai l’honneur,J’,j’,,,,,,,,,,,,,,,,,,,,
139,donne—,Vienne,ﬁt Kennedy,entraîne—,événe—,enne—,,,,,,,,,,,,,,,,,
140,Gymnase,assezlourd,Leschasseurs,serleursnoms,CHASSEURS,,,,,,,,,,,,,,,,,,
141,s’,ac—,c—,s’ac—,,,,,,,,,,,,,,,,,,,
142,"Ÿ

DE L’ARKANSAS","atta—

DE L’ARKANSAS",75,"Providence

DE L’ARKANSAS","va—

DE L’ARKANSAS",,,,,,,,,,,,,,,,,,
143,gre,grave—,Congrès,égra—,Tli\5—gr0s,grigno—,gr,,,,,,,,,,,,,,,,
144,Lannée,Pé-,pép‘an,Sauvée,mée,pée,,,,,,,,,,,,,,,,,
145,innom—,inquié—,vingt—,Incas,Sins,"ha-

seine",Demain,"for—
tin",Peinture,in-l2,répin—,inté—,sein—,l‘infra-,insu—,chine,in,,,,,,
146,du gé—,plongé—,"géné—
ral",géné—,dénoû—,,,,,,,,,,,,,,,,,,
147,déter—,interrog—,conter—,l‘inter-,inter—,,,,,,,,,,,,,,,,,,
148,cou—-,sou—-,vou—,Voulu,vou—-,,,,,,,,,,,,,,,,,,
