cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127
-1,"Cœur

DE L‘ARKANSAS",Guadeloupe,ﬂèches,beau—,singe—,"la—

ble",anti—,geléra1,exclamaüon,améri—,Oak,5rr,"II

LE JUGEMENT",Frauçoise,déroul—,vieuxichef indien,souviendrai l,butﬁes,Bermudez,transi—,Reculerais,grave—,Les_Delawares,ARKA\SAS,pays qu’,Unis,Diplomatie,Cesse,Congrès,Albacete,ha.—,consent—,très—,"II

L’","Ca—
nadine",maître—,Vali6rs,Vienne,Nord,du gé—,rue du Rosaire,impla—,s‘amollir,Mexico,cathédrale de Mexico,Aigle ﬁt allumer du feu,fantasy—,espè—,d’,Phébé,besogne,couar—,Hier,ln,MAUDIT,Cà,Essayez,Turcs,mignonne,ler,loux,tourment—,préoc—,Auras,DE L‘ARKANSAS,gie,maianza,ﬁt Kennedy,végéta—,AliKARSAS,préve—,machete,assezlourd,hutte,résolu—,ho—,reve—,Peinture,Ken—,Russie,r. nt},ré—,contre—,plongé—,Coulon,Tête,"Buf-
faso",remet—,appli—,Habitués,douceur1,lorque le soir,C’,Es,serleursnoms,acquiesce—,gentil—,IV,payshik artwwaay winnie tercushenan,États Barbaresques,Études,la—,Les Lancers,Egypte,"dan—
gers",l‘infra-,chili,sang—,préfé—,r—,L‘AlKKA‘SAS,Sois,ganado,atta—,reto—,qu’,incompréhenri—,nishiunorbay gomez,I,Imprimerie Êminins‘r Maven,Ca—,A26,s’arran—,Veloppa,A l’indienne,Baht,recomman—,ù36
0,k19,ÈU,lâ-,38vçl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,h51,ﬁ2,.0,281,75,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9.bf,Ml3,H,MG,Où,S,äätñl,U,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,M8,A,&,m’,G,c0,Î,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Rio Gila,Bio Gila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jupiter,"de
Jupiter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,l‘agonie,agonie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Belhumeurl,Québec,Belhu—,Belhumeur,ditBelhumeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,J’,j’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
