cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Cœur-Loyal,m‘en,"Cœur
Laval",Cœur Loyal,Le Cœur-Loyal,Miracle,,,,,,,,
1,Belhumeurl,Belhu—,Belhumeur,ditBelhumeur,J’,,,,,,,,,
2,Voilà,Trêve,Î,le Voir,demi—voix,lâ-,,,,,,,,
3,trouvez—-,sauvez—,retrouve—,trou—,souVenez,,,,,,,,,
4,crit—,Cric,—je,agit—,pée,,,,,,,,,
5,Guadeloupe,Luz,c0,Guadalaæw*a,loux,frêre,j’,,,,,,,
6,Avez,aveu—,Eu—,ha—,lieu—,Pieds-,,,,,,,,
7,Oula,déroul—,moule—,vo—,Coulon,Voulu,,,,,,,,
8,con—-,bon—-,sifﬂa,man—-,défon—,75,,,,,,,,
9,le soleil,Soleil,le Soleil,tëte,Le soleil,gal,soleil,lorque le soir,Le Soleil,,,,,
10,Tête d’Aigle,Tête d’Aigle 21 no Eusébio,"Tête
d’Aigle",Tête d’ Aigle,Tête,piste de la Tête d’Aigle,Tête d'Aigle,L‘lÿg,La Tête d’Aigle,,,,,
11,Oak,MG,-DE,fr,,,,,,,,,,
12,Cessita,Cesse,Essayez,Suscita,excessive—,,,,,,,,,
13,sacrﬁer,sacrﬁce,sacr—,sacreﬁet,r. nt},,,,,,,,,
14,vieuxichef indien,Indien,l’,indien—,Québec,L’Indien,Indiennes,indienne,I’indien,Indiens,A l’indienne,,,
15,Monté,mons,Sermon,A—,ont—,A26,,,,,,,,
16,prome—,prodi—,ha.—,prof—,éprou—,proba—,prodigué—,profondé—,ù36,,,,,
17,donne—,mignonne,j’ai l’honneur,événe—,,,,,,,,,,
18,nonchalammcnt,nonchalant—,,,,,,,,,,,,
19,Gambusinos,gambusinos mexicains,Gambusîno,gambusinos,Amalgame‘iœ,,,,,,,,,
20,trois—,Frauçoise,Trois,abomina—,leﬂ'roi,trot,trop—,Sois,,,,,,
21,innom—,renom—,renon—,Ren.nIssan,,,,,,,,,,
