cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0.0,agonie,l‘agonie,,,,,,,,,,,
1.0,atten—,enten—,attendrisse—,,,,,,,,,,
2.0,rassur—,assur—,Rassurez—vous,assu—,,,,,,,,,
3.0,Sommes,somme,Victimes,Hommes,Femme,,,,,,,,
4.0,caus—,causècut,haus—,,,,,,,,,,
5.0,gigantes—,mantes,wigan—,la postes—,,,,,,,,,
6.0,—- Oh !,—- Ooouhl,—- O,Eh !,,,,,,,,,
7.0,aigle,AIGLE,Az‘gle,Aigle,Aigle ﬁt allumer du feu,,,,,,,,
8.0,vigoureuse—,vigoureuse—-,breuse,,,,,,,,,,
9.0,aven—,Imprimerie Êminins‘r Maven,Ken—,Avez,Venue,,,,,,,,
10.0,semblaientmet—,remet—,avaientà,,,,,,,,,,
11.0,feuill—,Ill—8,la feuillée,,,,,,,,,,
12.0,vou—-,vou—,Voulu,sou—-,cou—-,,,,,,,,
13.0,ger,roger,"dan—
gers",Alger,,,,,,,,,
14.0,répu—,Répondez,répin—,,,,,,,,,,
15.0,immédiate—,immédia—,immé—,,,,,,,,,,
16.0,Tuez,TUE,suez,,,,,,,,,,
17.0,Apaches,"Palais et
Apaches",ﬂèches,machete,,,,,,,,,
18.0,pays qu’,"palais
qu’",palais qu’,laissons—,Laisse,qu’,Anglais,Palais,,,,,
19.0,Bafaël jusqu’,Bafaël,jusqu’,Rafaël,,,,,,,,,
20.0,imper—,aper—,,,,,,,,,,,
21.0,L'ABKAN3AS,L‘ABKAN,L‘ABKANSÆ,,,,,,,,,,
22.0,Visible,impassible—,visi—,paisible—,,,,,,,,,
23.0,Belhumeur,ditBelhumeur,Belhu—,Belhumeurl,,,,,,,,,
24.0,Américaine,Américaines,Américains,,,,,,,,,,
25.0,Arrêtez,Hâtez,arrê—,rêt,,,,,,,,,
26.0,letras,entraîne—,A1’entrée,s’entr’ouvrirent douce—,intra—,sentra,,,,,,,
27.0,mysté—,inté—,exté—,,,,,,,,,,
28.0,"de
Jupiter",Jupiter,,,,,,,,,,,
29.0,Bermudez,murmu—,Études,,,,,,,,,,
30.0,Tri—,pri—-,fai—-,priva—,lui—-,,,,,,,,
31.0,Scotté,Scotté le'gras,,,,,,,,,,,
32.0,Passé,surpass—,class—,Pas,suré,,,,,,,,
33.0,"II

L’",Luz l’,Luz,,,,,,,,,,
34.0,Chinois,chine,Russe jusqu‘au Chinois,,,,,,,,,,
35.0,arrivè—,arrètè—,Arrivés,,,,,,,,,,
36.0,m‘en,Palm‘es,,,,,,,,,,,
37.0,"au-
tre",L‘autre,au-,nétrer,,,,,,,,,
38.0,soup—,sous—,sousﬂant,brous—,mouss;x,,,,,,,,
39.0,chagrin—,princi—,prin—,,,,,,,,,,
40.0,obligeât,G“£PUBLI,,,,,,,,,,,
41.0,Moyen Age,Moyen,,,,,,,,,,,
42.0,Ouaktehno,Ouaktehuo,,,,,,,,,,,
43.0,vieuxichef indien,Indien,L’Indien,indien—,Indiennes,indienne,A l’indienne,Indiens,I’indien,,,,
44.0,éclair—,l‘éclat,exclamaüon,clair—,,,,,,,,,
45.0,consé—,consi—,lons,consola—,consent—,,,,,,,,
46.0,Iéguer,guer-,vaqueras,guer—,,,,,,,,,
47.0,rue de I‘Ahl,cathédrale de Mexico,golfe de Cali-,piste des jaguars,,,,,,,,,
48.0,mornes,Jeunes,jeun,,,,,,,,,,
49.0,Yankees,atTrayante,eﬂ‘ray,Quarante,,,,,,,,,
50.0,Quisis,sais,saisis—,,,,,,,,,,
51.0,Vert de gris,grotte,grotte du vert de gris,,,,,,,,,,
52.0,Armés,marmara,mar—,martyrs—,Marlene,,,,,,,,
53.0,libéra—,tempéra—,geléra1,fera—,égra—,néral,,,,,,,
54.0,"hé-
las!","A gui-
lar",Aguilar,,,,,,,,,,
55.0,trot,Sois,Trois,leﬂ'roi,Frauçoise,trois—,trop—,,,,,,
56.0,résolu—,rési—,résis—,"résis—
ter",,,,,,,,,
57.0,vieux chas—,Vieux Chêne,chas—,,,,,,,,,,
58.0,La France,la France,France,esPérance,,,,,,,,,
59.0,bris—,paris—,océan Pariﬁ-,Pariﬁque,Pardieul,,,,,,,,
60.0,demanda-til,demanda—,Demain,,,,,,,,,,
61.0,plus—,réus—,refus—,réun—,,,,,,,,,
62.0,ac—,s’ac—,,,,,,,,,,,
63.0,Est,est—-,Est—ce,l‘Ouest—,Qu‘est,,,,,,,,
64.0,la fait—,parfaite—,Parfaitement,Faites,,,,,,,,,
65.0,indompta—,incompréhenri—,compl—,compléte—,com—-,,,,,,,,
66.0,ques—,expres—,déses—,expé—,Pres,,,,,,,,
67.0,innom—,renom—,renon—,,,,,,,,,,
68.0,ge—,juge—,age—,singe—,,,,,,,,,
69.0,role,hale—,viole—,peuple—,moule—,facile—,volez,,,,,,
70.0,s’appr—,eû‘approche,appât,appr—,,,,,,,,,
71.0,Blancs,Co—,mélanco—,mélan—,ancê—,,,,,,,,
72.0,Merci,Merced,,,,,,,,,,,
73.0,grave—,reve—,griève—,,,,,,,,,,
74.0,Rations,confédéra—,Confédération,,,,,,,,,,
75.0,peut—,trap—,TRAPPEURS,trappes,TBAPPEUPtS,serleursnoms,"TRAPPEURS

Dés","TRAPPEURS

— Son","TRAPPEURS

— Rien",,,,
76.0,sacreﬁet,sacr—,sacrﬁer,sacrﬁce,,,,,,,,,
77.0,Ba—,proba—,probable—,,,,,,,,,,
78.0,camp des Mexicains,Mexico,Mexicains,Mexicaine,Giants mexicains,,,,,,,,
79.0,États—Unis s’,États—Unis,Unis,Les États—Unis,,,,,,,,,
80.0,Loin,loin—,,,,,,,,,,,
81.0,soucieuse—,audacieux—,silencieuse—,,,,,,,,,,
82.0,Miracle,Syracuse,,,,,,,,,,,
83.0,interrog—,inter—,conter—,l‘inter-,déter—,,,,,,,,
84.0,aban—,ban—-,n’aban—,ban—,,,,,,,,,
85.0,Vertige,Ver,,,,,,,,,,,
86.0,surveill—,Vieille,Veillerai,reille,Familles,,,,,,,,
87.0,"conduit—
sit",conduit—,,,,,,,,,,,
88.0,lune,Lune,mune,,,,,,,,,,
89.0,ai-j e bien parlé,ai-j e,,,,,,,,,,,
90.0,éloi—,s’éloigne,besogne,,,,,,,,,,
91.0,Vais,devais—,lais—,,,,,,,,,,
92.0,échan—,chan—,colo—,enchan—,,,,,,,,,
93.0,apporte—,support—,,,,,,,,,,,
94.0,gaie—,vie—-,vie?Je,,,,,,,,,,
95.0,combat—,Combien,abat—,,,,,,,,,,
96.0,Sebastopol,Abbas—«ad,pasto,,,,,,,,,,
97.0,Vivaéeté,Vivant,fantasy—,,,,,,,,,,
98.0,grand’peine,sein—,"ha-

seine",abomina—,,,,,,,,,
99.0,—- C’,—— C’,,,,,,,,,,,
100.0,Hermosillo,Sermon,,,,,,,,,,,
101.0,l’Europe,Etats Europç_ens,l'Europe,Europe,,,,,,,,,
102.0,recomman—,reconnaî—,recon—,reconnu—,,,,,,,,,
103.0,reti—,retiré—,reto—,,,,,,,,,,
104.0,Pumas,alluma,détouma,uma,,,,,,,,,
105.0,réel—,Ca—,Quels,quel—,quel—-,,,,,,,,
106.0,La Havane,avan—,celavaut,,,,,,,,,,
107.0,Venez,souviendrai l,souVenez,,,,,,,,,,
108.0,disra—,ISRAÉL,ISR,,,,,,,,,,
109.0,chili,so—,philoso—,philo—,,,,,,,,,
110.0,Essayez,Cessita,Cesse,excessive—,,,,,,,,,
111.0,Divinité,vingt—,quatre—vingts,,,,,,,,,,
112.0,Prends,prend—,reprend—,,,,,,,,,,
113.0,"for—
tin",impor—,impa—,,,,,,,,,,
114.0,Italie,Suscita,Vali6rs,australie,AliKARSAS,,,,,,,,
115.0,dévote—,SUBI‘S,subite—,,,,,,,,,,
116.0,Comment,Comen-,Commençons,emmen—,commen—,,,,,,,,
117.0,sour—,mur—,malheur—,parcour—,pour—,tour—,four—,,,,,,
118.0,déroul—,éprou—,trou—,retrouve—,,,,,,,,,
119.0,Carthage,Partez,hagen—,,,,,,,,,,
120.0,Plateros,lepero,Leperos,,,,,,,,,,
121.0,MAUDIT,j’ai dit,j’ai l’honneur,,,,,,,,,,
122.0,très—,Congrès,,,,,,,,,,,
123.0,Lorsqu‘on,lors—,hors—,,,,,,,,,,
124.0,Gambusinos,gambusinos mexicains,Amalgame‘iœ,Gambusîno,gambusinos,,,,,,,,
125.0,loux,assezlourd,Guadeloupe,,,,,,,,,,
126.0,échap—,hap—,s’échapper,,,,,,,,,,
127.0,nonchalammcnt,nonchalant—,,,,,,,,,,,
128.0,l'Amérique du Sud,Amérique du Nord,améri—,Amérique du Sud,Amérique,l’Amérique,nes de l’Amérique,,,,,,
