cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,vou—-,cou—-,éprou—,k19,vou—,sou—-,,,,,,,,,,
1,subite—,Habitués,SUBI‘S,,,,,,,,,,,,,
2,mélan—,plan—,Lannée,H,Blancs,mélanco—,,,,,,,,,,
3,s’écoula,Coulon,Oula,75,U,38vçl,s’,,,,,,,,,
4,Sommes,Femme,Hommes,somme,,,,,,,,,,,,
5,respectueuse—,alfectueuse—,respect—,,,,,,,,,,,,,
6,support—,apporte—,,,,,,,,,,,,,,
7,imper—,aper—,impor—,,,,,,,,,,,,,
8,compa—,Compagnon,incompréhenri—,com—-,compl—,impa—,compléte—,Accompagnera,indompta—,,,,,,,
9,Nô Eusébio,NO Eusébio,,,,,,,,,,,,,,
10,Canadien,ganado,Canadienne,"Ca—
nadine",,,,,,,,,,,,
11,Indien,L’Indien,indienne,Indiens,Pardieul,souviendrai l,A l’indienne,I’indien,vieuxichef indien,indien—,Indiennes,,,,,
12,A—,voya—,libéra—,ha—,ja—,Ca—,a—,tempéra—,végéta—,Ba—,fera—,,,,,
13,Caballero,calle del Rosario,ler,caba—,caballero—,,,,,,,,,,,
14,"circonstance—

330 LES TR",Où,circonstance—,,,,,,,,,,,,,
15,grotte du vert de gris,.,piste des jaguars,Vert de gris,grotte,,,,,,,,,,,
16,australie,néral,strata—,Italie,Vali6rs,,,,,,,,,,,
17,so—,no—,Co—,ho—,grigno—,physiono—,dénoû—,,,,,,,,,
18,re—,légère—,gaie—,quatre—vingts,entiére—,maître—,contre—,m’,reve—,e—,dire—,,,,,
19,Arrêtez,5rr,arrê—,rêt,Partez,Hâtez,,,,,,,,,,
20,possé—,POST-FACE,"possé—
daient",poss—,dissé—,,,,,,,,,,,
21,liège,ger,geléra1,Ver,"dan—
gers",Hier,Alger,Vertige,ge,roger,,,,,,
22,Tuez,äätñl,M8,suez,Turcs,Vue,TUE,,,,,,,,,
23,lil—12,oeil—,oeil,meil—,,,,,,,,,,,,
24,échan—,chan—,ha.—,La Havane,chagrin—,enchan—,,,,,,,,,,
25,GRANDS CHEFS,grand’peine,Grand Chef des Auras,A26,Grand Chef des,Auras,Grande,,,,,,,,,
26,Docteur,Europe,Créateur,l’Europe,l'Europe,Etats Europç_ens,,,,,,,,,,
27,caus—,causècut,plus—,haus—,,,,,,,,,,,,
28,—- O,—- Oh !,—- Ooouhl,—- C’,,,,,,,,,,,,
29,proba—,probable—,hale—,facile—,,,,,,,,,,,,
30,selle,—elle,réelle—,"s’écria—
t—elle radieuse",bois—chandelle,ù36,Folle,C’,,,,,,,,
31,la—,la-S.,impla—,consola—,.la',celavaut,"la—

ble",,,,,,,,,
32,gr,griève—,Tli\5—gr0s,G,égra—,gre,Congrès,grave—,,,,,,,,
33,saisis—,sais,Isa,devais—,Quisis,ÈU,Vais,,,,,,,,,
34,"de
Jupiter",Jupiter,,,,,,,,,,,,,,
35,appa—,appara—,Veloppa,appar—,Parall,cara—,,,,,,,,,,
36,Ill—8,bouil—,feuill—,la feuillée,seuil—,,,,,,,,,,,
37,Gardez,Répondez,Regardez,regard—,gard,,,,,,,,,,,
38,"favori—
ble","percepti—
bles",favori—,,,,,,,,,,,,,
39,Palm‘es,Es,Études,Vipères,Eshis,Yankees,espè—,mornes,Essayez,acquiesce—,Peaux Rouges,États Barbaresques,butﬁes,s‘cadres-,Victimes,
40,Pé-,expé—,pée,Sauvée,pép‘an,péon,mée,,,,,,,,,
41,Ai-,ai-j e,Quai-,ai-j e bien parlé,,,,,,,,,,,,
42,AUBENAS,surpass—,Pas,"Buf-
faso",pasto,Passé,Gymnase,,,,,,,,,
43,Usages,"sau—
Pages",L‘ÀÎiMAGES,Carthage,Visages pâles ont-—,Visage,,,,,,,,,,
44,avaientà,semblaientmet—,remet—,,,,,,,,,,,,,
45,Suscita,Cessita,excessive—,h51,.0,Cesse,,,,,,,,,,
46,prodigué—,prodi—,,,,,,,,,,,,,,
47,Iéguer,guer-,guer—,S,,,,,,,,,,,,
48,éclair—,clair—,l‘éclat,pir,exclamaüon,,,,,,,,,,,
49,honora—,Ghimborazo,État de Sonora,Sonora,mayorat_s’,A,Sonore,sonora heureuse,Nord,senora,,,,,,
50,L——,—— C’,l—,,,,,,,,,,,,,
51,role,Le soleil,soleil,le Soleil,lorque le soir,Soleil,le soleil,Le Soleil,,,,,,,,
52,lui—-,prin—,pri—-,fai—-,princi—,priva—,Tri—,,,,,,,,,
53,rue du Rosaire,"mâ—
choire",Adversaire,alïaires,aiÏaire,,,,,,,,,,,
54,"TRAPPEURS

Dés",peut—,trap—,"TRAPPEURS

— Rien",TRAPPEURS,"TRAPPEURS

— Son",peuple—,trappes,TBAPPEUPtS,,,,,,,
55,MB,abat—,combat—,Combien,,,,,,,,,,,,
56,pays qu’,Québec,jusqu’,qu’,,,,,,,,,,,,
57,Î,"hacienda del
Milagro",hacienda del Milagro,cienda,,,,,,,,,,,,
58,Az‘gle,Aigle,AIGLE,Aigle ﬁt allumer du feu,aigle,,,,,,,,,,,
59,r—,mar—,martyrs—,débar—,Marlene,marmara,ar-,couar—,,,,,,,,
60,vie?Je,civili—,vie—-,VI,Vivaéeté,viole—,Vivant,cœnavireé,,,,,,,,
61,s’arran—,WRANGEL,l‘infra-,"fran—

302 LES",fran—,Français,étran—,,,,,,,,,
62,AliKARSAS,L‘AlKKA‘SAS,"Cœur

DE L‘ARKANSAS",Arkansas,L‘ARKANSAS,L‘ARkANSAS,ARKA\SAS,ARKANSAS5,DE L‘ARKANSAS,L‘ARKANSAS5,,,,,,
63,gambusinos mexicains,MG,gambusinos,Gambusîno,Gambusinos,,,,,,,,,,,
64,l'Amérique du Sud,Mexique,améri—,Amérique du Sud,l’Afrique,Amérique,Afrique,Amérique du Nord,l’Amérique,nes de l’Amérique,Utique,,,,,
65,j’,J’,j’ai l’honneur,j’ai dit,,,,,,,,,,,,
66,Parfaitement,la fait—,Faites,parfaite—,,,,,,,,,,,,
67,souVenez,Avez,Venez,Venue,,,,,,,,,,,,
68,donne—,enne—,Vienne,événe—,ﬁt Kennedy,mignonne,,,,,,,,,,
