cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,Exijo,Mostarda... Queijo,beijos,,,,,,,,,,
1,Adivinhas,Adivinha,Fonte da Vinha,Divina Comedia,Vinha,Adivinho-o,Phase,,,,,,
2,Forte,Fortunato,"Fortes
edi","Forte tola!

— B elle",Norte,Forte-,do Norte,cortezias,,,,,
3,anciosa,Ncio,affectuosa,v-,graciosa,l-,Mel,,,,,,
4,Roz,Quente,nol Quente,Campo Pequeno,Ma-,Jockey,,,,,,,
5,Prompto,SYMPTOMAS,Doe,Promptos,Rompia,,,,,,,,
6,Pozeram-me,Varreram,Creiam-me,,,,,,,,,,
7,Douro,doura,severo Douro,calembourg,sonhos dourados,Europa,,,,,,,
8,botica,mim,tica desta bureaucracia,Es,critica atrabiliaria,Poetico,Praticaria,Multic,mathematicas,,,,
9,Reconheceu-os,Reconhecera,Conhece,Foz,ER,Conheceu-a,,,,,,,
10,Diga,Diga-m'o,Codigo,veigas,Qu,Digo,,,,,,,
11,prometter,Prometterei,Prometto,commetter,Mettia,Butterfly,Promettia,,,,,,
12,Bra,braza...,Lembra-me,Coimbra,Pu,Bra-,Braga,,,,,,
13,travêssa creança,Creança,XI,creança,,,,,,,,,
14,Ande,Mand,Shandeismo,Grande,lettra grande,André,indec,,,,,,
15,victoria da primeira,victoria,Victoria!,Juizo,umá victoria,Historia,"Fei-
toria",Victoria,Emilia Victoria,,,,
16,Bretanha,acanhado,Fa,bre do alto das montanhas,Grã-Bretanha,da Bretanha,sa,,,,,,
17,Padre,Padre-nosso,joven padre,Padrão,,,,,,,,,
18,Tibre,bre,Fiambre,funebre,lugubre,Abre,,,,,,,
19,Perdão,Whis,"cre
Perde",Perdôo,permitte,Persuas,PERA,Perdia,Perdôa,,,,
20,Vista,Mist-,Boa Vista,,,,,,,,,,
21,Pois,Apoiado,Coisa,RE,,,,,,,,,
22,Expatria,Vim,patriarchal,,,,,,,,,,
23,Anda,Hollanda,andar de cima,V,Branda,,,,,,,,
24,lucta,Pa-,Lucta,"Lucta de Lammer-

mor",,,,,,,,,
25,ámanhã,Ámanhã,berne,Amanhã,levans,Pó,,,,,,,
26,"pa

Carlos",Carlos,Contas de Carlos,,,,,,,,,,
27,Vate,Bate,Bata-,,,,,,,,,,
28,lencia,Paciência,silencioóos,lenão,impaciencia,Convenci,malícia,Anciada,"re-
sciencia",Providencia,Convencida,antecedencias,Imminencia
29,d'essa,N'esse,St,Ess,Nºesse,,,,,,,,
30,N'aquelle,m'aquelle,saír d'aquelle,n'aquelle,aquelle,bairro de Cedofeita aquelle,Aquelle,Ha n'aquelle,nºaquelle,,,,
31,Cerco,"57

Exercera",Eh,,,,,,,,,,
32,ná,"di

zia",Dizia,EU,Ce,,,,,,,,
33,Pena,Pennor,"fe

Apenas",Sena,penna,,,,,,,,
34,Souto,accusou,vessou,,,,,,,,,,
35,Peste,nºeste,Vieste,Esteiro,d'este,Peso,baixo Peste,Nºeste,,,,,
36,Chegaram,dega,Chegar's Opera de Gra,Vôo,Ega,Socega,,,,,,,
37,Voltava,Volta,Volveu,,,,,,,,,,
38,Bria,Ria,"Cata-
ria",Marianna,Daria,Alexandria,,,,,,,
39,Long,Longe,Lon-,,,,,,,,,,
40,pas-,"pas-

mM.",tóza,as-,"pas-
sos precipitados",,,,,,,,
41,Folgara,Rara,Amparar,Rar,Raras,,,,,,,,
42,Santa Casa,Catharina,Santa Catharina,Vês,Jhar,agatha,"Santa Ca-
adriana",,,,,,
43,Snr,00-,snr,sc,,,,,,,,,
44,CR,Amaryllida,camara,camarim,Mara-,ce,Cam-,,,,,,
45,Cêdo,trouxe-m'os,Córou,Blz,,,,,,,,,
46,Parte,Partira,Partirem,Tira,"cisTirasos
Leva...","v-

rias particularidades",,,,,,,
47,"rua das
Flores",céo Florindo,florete,,,,,,,,,,
48,belgica,Inefficaz,SimAbicapo,Dica,,,,,,,,,
49,em Portugal,Vouga,Portugal,,,,,,,,,,
50,Des,Desbarretem-se,desviei,"deserto
pio",podérdes,,,,,,,,
51,Paulo,Pulos,ZA,Chico da Losã,"los
gar",,,,,,,,
52,Vejam,oceano arrojam,Sejam,,,,,,,,,,
53,"Eu-
chtersleben",terra,Inglaterra,terra dos meetings,Serra do Pilar,nova terra,Narrativas,,,,,,
54,Exquisito,exquisito,Exquisita,,,,,,,,,,
55,Seça,po,Ta,,,,,,,,,,
56,Éo,,,,,,,,,,,,
57,go,Mim,ES,,,,,,,,,,
58,balbuciou Crescia,Crescia,Crescia Crescia,Pois Crescia,snr.º D. Crescia,Entre Crescia,,,,,,,
59,ci,syntaxe,Jantar,Pantagruel,rua de Santa,Ponta,Garganta,"phantasia
popular",,,,,
60,Tableau,prova d'isso,casa d'isso,nova e.,Fogo,Porisso,idade d'isso,Provas,d'isso,,,,
61,Duvido,"A
Lido",,,,,,,,,,,
62,Tres,Londres,Paiz,"as-
tres",Pires,Strech,,,,,,,
63,cancella,Anel,gosar della,nella,baixo das janellas,valle das duas janellas florescia,nºella,Ellas,"|
Janella",Appellava,"a-
nella",Cellaço,
64,ora-,Ágora,Horas,,,,,,,,,,
65,Tenho,Senhor,penhore,Senhora,,,,,,,,,
66,"es
cassa luz",luzir,Mão,lua,Luz,,,,,,,,
67,v,porta do cemiterio,Mortalnemico,Jupiter,cemiterio contiguo,porta de fortaleza,,,,,,,
68,Antevejo,revelans,d'antes,mutua,Tejo,,,,,,,,
69,Dºesta,Tempestad,taes estados,Estações,st,Er,,,,,,,
70,Russia,Tossia,Rossio-Cassi,Assignado,Rossio,impossivel fa-,,,,,,,
71,appetecer,Appeteceu-me,Q,—,,,,,,,,,
72,Com-,Faço,com-,,,,,,,,,,
73,Tens,Vens,Ma,tenue,Tens-te,,,,,,,,
74,Mr.,Branca,Mr. Branca!,ni Branca applaudiu,Sa,Mr. Branca —,Mr. Branca,Porque Mr. Branca,ni Branca,,,,
75,"Cara
Jos",pi,"Cara
los",Cara,"Cara
los 0",,,,,,,,
76,almada,ramada,m”o,Estouvada,,,,,,,,,
77,Josefinha da Agua-benta,pe-,Joséfinha da Agua-benta,Quça,Agua-benta,Joséfinha,Josétinha,,,,,,
78,Porto,"Porto
e Madeira",Porto mu-,,,,,,,,,,
79,Gra,AGGRAVAM-SE,Alegrar,sta ingratidão,gracejo,"tos
biographia",Agradecida,,,,,,
80,Fumar,analyso,Humana,,,,,,,,,,
81,communs,Commigo,Communicaram,Pôe,Comtudo,,,,,,,,
82,Ahi,Diahia,ahi,D'ahi,,,,,,,,,
83,commover,"d'esta
commovente",N,Commoveu-a,,,,,,,,,
84,Ha,,,,,,,,,,,,
85,Vivia,Civilisa-te,Vil,Fiz-te,,,,,,,,,
86,scismava,Cavalinho,Cava,Luiza,Ficava,,,,,,,,
