cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,"Cara
los","A
Lido",Cara,"Cara
los 0","Cara
Jos",,,,,,,,,,,,,
1,Fa-,a-,Falta-nos,Fa,impossivel fa-,Faço,,,,,,,,,,,,
2,"mis
nha","mis
nha cara","tis
nha","mis
nisto","ti-
nha",,,,,,,,,,,,,
3,Com-,com-,,,,,,,,,,,,,,,,
4,Quça,Qu,Quçamos,ná,,,,,,,,,,,,,,
5,terra,"Eu-
chtersleben",nova terra,Serra do Pilar,interrompia,terra dos meetings,interrogadoramente,Jupiter,Inglaterra,,,,,,,,,
6,hypocrisia,iypocrisia,,,,,,,,,,,,,,,,
7,Primor,proprio Mr.,Corporal Prim,N,Mor-,acrimonia,,,,,,,,,,,,
8,Ta,taboa,la Tais,Agitam,syntaxe,Salta,Tableau,Tambem,Cedofeita,Mortalnemico,Vomitam,— Talvez,Prata,"A

Extincta",Quarta,,,
9,Aquelle,m'aquelle,aquelle,N'aquelle,Ha n'aquelle,bairro de Cedofeita aquelle,nºaquelle,n'aquelle,saír d'aquelle,,,,,,,,,
10,Peço-lhes,Lembrou-lhe,Acho-lhe,— Peço-lhe,Dê-lhe,Deem-lhe,Ya-lhe,,,,,,,,,,,
11,somma avultada,somma,Multic,,,,,,,,,,,,,,,
12,Lusiadas,Delicadas,Gadas,Applicadas,PUBLICA,Infeliz,Felice Romani,,,,,,,,,,,
13,surprendia,India,Surpreende,Incendiar,,,,,,,,,,,,,,
14,Cuida,biscuit,Cuidas,Juizo,Thebaida,Cuidei,,,,,,,,,,,,
15,Principio,Principiava,pi,Princ-,,,,,,,,,,,,,,
16,RO,Córou,oceano arrojam,Provas,Roast,S. Pedro,Barbaro,Roz,severo Douro,acrolitho,,,,,,,,
17,pa,Pano,Raspai,Paiz,pac,Pa,Europa,Pa-,Parva,,,,,,,,,
18,Mettia,Promettia,prometter,Prometto,commetter,Prometterei,Butterfly,,,,,,,,,,,
19,cença,Doença,Doe,,,,,,,,,,,,,,,
20,Conhece,Reconhecera,Reconheceu-os,Desconheço-te,Conheceu-a,,,,,,,,,,,,,
21,Escuso,accusou,sc,Escute,,,,,,,,,,,,,,
22,Cito,exercito da Saia,Brito,ci,Repito,,,,,,,,,,,,,
23,Commoveu-a,commover,"d'esta
commovente",Commigo,communs,,,,,,,,,,,,,
24,St,Mist-,st,Distin-,,,,,,,,,,,,,,
25,Vês,Vêem,v,,,,,,,,,,,,,,,
26,Admira,Pedir,Ir,adquiri,Ir'a,Virginia,,,,,,,,,,,,
27,Lisboa,de Lisboa,,,,,,,,,,,,,,,,
28,"Car-
Jos",Car-,Carolina,bar-me,"Singular-
ral oh!",Carmo,"Car-
los Whitestone",Pôe,,,,,,,,,,
29,Cêdo,Tudo,ã,Comtudo,mutua,,,,,,,,,,,,,
30,Humana,damasco,malícia,Ma,Demais,mathematicas,almada,Ma-,Fumar,Maia,,,,,,,,
31,amão,Mão,Educação,,,,,,,,,,,,,,,
