cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0.0,Forte,Fortunato,Formosa,"Fortes
edi","Forte tola!

— B elle",Norte,Forte-,cortezias,,,
1.0,anciosa,Ncio,affectuosa,graciosa,,,,,,,
2.0,Quente,nol Quente,Campo Pequeno,Ocidente,,,,,,,
3.0,Prompto,SYMPTOMAS,Promptos,,,,,,,,
4.0,Douro,doura,severo Douro,calembourg,sonhos dourados,Europa,,,,,
5.0,Bocado,Toca,Vasado,salvador,,,,,,,
6.0,Verduras,Verdade,Mouras,,,,,,,,
7.0,Tibre,bre,Fiambre,funebre,lugubre,Abre,,,,,
8.0,Reconheceu-os,Reconhecera,Whis,Conhece,Conheceu-a,,,,,,
9.0,prometter,Prometterei,Prometto,commetter,Mettia,Butterfly,Promettia,,,,
10.0,Bra,braza...,Lembra-me,Coimbra,Bra-,Braga,,,,,
11.0,travêssa creança,Creança,creança,,,,,,,,
12.0,Ande,Mand,Shandeismo,Grande,lettra grande,indec,,,,,
13.0,collo,collegio,,,,,,,,,
14.0,victoria da primeira,victoria,Victoria!,umá victoria,Historia,"Fei-
toria",Victoria,Emilia Victoria,,,
15.0,Bonito,bonito,Repito,Brito,Bonan,,,,,,
16.0,Hespanha,Bretanha,acanhado,bre do alto das montanhas,Grã-Bretanha,da Bretanha,,,,,
17.0,Vista,Mist-,Boa Vista,,,,,,,,
18.0,Pois,Apoiado,Coisa,,,,,,,,
19.0,Russia,malvasia,Tossia,,,,,,,,
20.0,Pausa,Causava,Maus,Paus,,,,,,,
21.0,Anda,Hollanda,andar de cima,Branda,André,,,,,,
22.0,lucta,Lucta,"Lucta de Lammer-

mor",,,,,,,,
23.0,ámanhã,Ámanhã,Amanhã,,,,,,,,
24.0,Vate,Bate,Bata-,,,,,,,,
25.0,d'essa,N'esse,Depressa,,,,,,,,
26.0,lencia,silencioóos,lenão,Anciada,Providencia,antecedencias,Imminencia,,,,
27.0,N'aquelle,m'aquelle,saír d'aquelle,n'aquelle,aquelle,Aquelle,Ha n'aquelle,nºaquelle,,,
28.0,"A

Extincta",Incha,Fecha,Mancha,,,,,,,
29.0,Folgara,Chegaram,Chegar's Opera de Gra,,,,,,,,
30.0,Pena,"fe

Apenas",chavena,Sena,,,,,,,
31.0,Guiné,Guichard,Jhar,bom Charles,,,,,,,
32.0,Peste,Vieste,Esteiro,d'este,Peso,baixo Peste,,,,,
33.0,Voltava,Volta,Volveu,,,,,,,,
34.0,Bria,Ria,"Cata-
ria",Marianna,Daria,Alexandria,,,,,
35.0,Long,Longe,Lon-,,,,,,,,
36.0,pas-,"pas-

mM.",as-,Mas-era,"pas-
sos precipitados",,,,,,
37.0,Hontem,Ponta,hontem,,,,,,,,
38.0,Rara,Amparar,Rar,Saraus,Raras,,,,,,
39.0,Santa Casa,Catharina,Santa Catharina,agatha,"Santa Ca-
adriana",,,,,,
40.0,Exijo,Mostarda... Queijo,Guarda-a,,,,,,,,
41.0,Delicadas,Felice Romani,Lusiadas,Applicadas,Gadas,,,,,,
42.0,Amaryllida,camara,camarim,Mara-,Cam-,,,,,,
43.0,Parte,Partira,Partirem,Tira,"v-

rias particularidades",,,,,,
44.0,"rua das
Flores",céo Florindo,florete,Desbarretem-se,,,,,,,
45.0,Juizo,Luiza,,,,,,,,,
46.0,Exquisito,exquisito,Exquisita,,,,,,,,
47.0,nºeste,Nºesse,Nºeste,,,,,,,,
48.0,Des,desviei,"deserto
pio",podérdes,,,,,,,
49.0,taboa,Tableau,,,,,,,,,
50.0,Adivinhas,Adivinha,Fonte da Vinha,Divina Comedia,Vinha,Adivinho-o,,,,,
51.0,Osjogos,Fogo,Largos,,,,,,,,
52.0,attender,DER,Ascende,,,,,,,,
53.0,"di

zia",Dizia,,,,,,,,,
54.0,"passára
alli",pallido,Duvido,saír d'alli,alli,"A
Lido",,,,,
55.0,"Si-
blia",Biblia,"si-

a.",,,,,,,,
56.0,balbuciou Crescia,Crescia,Crescia Crescia,Pois Crescia,snr.º D. Crescia,Entre Crescia,,,,,
57.0,Diga,trouxe-m'os,Diga-m'o,,,,,,,,
58.0,Tres,Londres,"as-
tres",Strech,,,,,,,
59.0,Córou,Redobrou,Credo,Arvoredo,,,,,,,
60.0,Bispo,biscuit,,,,,,,,,
61.0,Paciência,Impaciente-me,impaciencia,pac,"re-
sciencia",,,,,,
62.0,ora-,Ágora,Corporal Prim,Horas,,,,,,,
63.0,Tenho,Senhor,penhore,Senhora,,,,,,,
64.0,"es
cassa luz",luzir,Luz,,,,,,,,
65.0,porta do cemiterio,Mortalnemico,Jupiter,cemiterio contiguo,porta de fortaleza,,,,,,
66.0,Antevejo,revelans,d'antes,Tejo,,,,,,,
67.0,Cec,Cec-,,,,,,,,,
68.0,appetecer,Appeteceu-me,,,,,,,,,
69.0,Dºesta,Tempestad,taes estados,Estações,tica desta bureaucracia,,,,,,
70.0,Rossio-Cassi,Assim-Paciá,Assignado,Rossio,,,,,,,
71.0,ceremonia,acrimonia,Primor,Agonia,,,,,,,
72.0,Tens,Vens,tenue,Tens-te,,,,,,,
73.0,America do Norte,tos do vaso,do Norte,America,,,,,,,
74.0,Convenci,Convencida,,,,,,,,,
75.0,Mr.,Branca,Mr. Branca!,ni Branca applaudiu,Mr. Branca —,Mr. Branca,Porque Mr. Branca,ni Branca,,,
76.0,"Cara
Jos","Cara
los",Cara,"Cara
los 0",,,,,,,
77.0,Josefinha da Agua-benta,Joséfinha da Agua-benta,Agua-benta,Joséfinha,,,,,,,
78.0,Porto,"Porto
e Madeira",Porto mu-,,,,,,,,
79.0,Morena,Mor-,serena,Grenlei,phrenesi,,,,,,
80.0,Codigo,Digo,,,,,,,,,
81.0,Gra,AGGRAVAM-SE,sta ingratidão,gracejo,"tos
biographia",Agradecida,,,,,
82.0,Fumar,analyso,Humana,,,,,,,,
83.0,almada,ramada,Varreram,damasco,,,,,,,
84.0,communs,Commigo,Communicaram,,,,,,,,
85.0,Ahi,Diahia,ahi,D'ahi,,,,,,,
86.0,Escuso,accusou,Escute,Saíu,,,,,,,
87.0,commover,"d'esta
commovente",Commoveu-a,,,,,,,,
88.0,veigas,Curvei,Raparigas,,,,,,,,
89.0,Rebecca,na-occasião,occaso,Boccarro,,,,,,,
90.0,Vivia,Civilisa-te,Vil,Fiz-te,,,,,,,
91.0,syntaxe,Jantar,Pantheon,Pantagruel,Pano,rua de Santa,Garganta,"phantasia
popular",,,
92.0,scismava,Cavalinho,Cava,Carnaval,Ficava,,,,,,
93.0,Lembrou-lhe,Peço-lhes,Dê-lhe,Deem-lhe,— Peço-lhe,Acho-lhe,Ya-lhe,,,,
94.0,joven,Padre,Padre-nosso,joven padre,Lasciva la dona in pace,,,,,,
95.0,Cachimbo,Achilles,Cacilda,,,,,,,,
96.0,soccorro,horrorisado,Correu,,,,,,,,
97.0,Mão,amão,,,,,,,,,
98.0,Cerco,Merc,commerciaes,mercio,,,,,,,
99.0,"pa

Carlos",Pulos,Carlos,"los
gar",Contas de Carlos,,,,,,
