cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0,valle das duas janellas florescia,tos do vaso,aguas limpidas,baixo das janellas,bilhetes de beneficio,"rua das
Flores",aguas boas,Horas de Ocio,bre do alto das montanhas,,,,,,,,,,,,
1,Fa-,a-,Falta-nos,Ha-,Fa,impossivel fa-,Faço,,,,,,,,,,,,,,
2,"mis
nha","mis
nha cara","tis
nha","Chamin-
nés","mis
nisto","ti-
nha",,,,,,,,,,,,,,,
3,Com-,Comtudo,Commigo,communs,com-,,,,,,,,,,,,,,,,
4,victoria,"Fei-
toria",Historia,Victoria,Emilia Victoria,victoria da primeira,Victoria!,umá victoria,,,,,,,,,,,,,
5,terra,nova terra,lateraes,PERA,Serra do Pilar,interrompia,terra dos meetings,interrogadoramente,Interpretaram,Varreram,Verduras,Terceira,Inglaterra,,,,,,,,
6,Aquelle,m'aquelle,aquelle,aquella,N'aquelle,Ha n'aquelle,bairro de Cedofeita aquelle,nºaquelle,n'aquelle,"aquella pos
bre",saír d'aquelle,"andar uni

quella",aquella sardonisca,Aquella,apreciar n'aquella,Aquellas,,,,,
7,Peço-lhes,Acho-lhe,— Peço-lhe,Desconheço-te,Dê-lhe,Ya-lhe,,,,,,,,,,,,,,,
8,Creia,eia,passeiar,Passeiava,y,Eia,Bu,Creiam-me,,,,,,,,,,,,,
9,ade,Agradecida,Verdade,puerilidades,Adeus,Delgado,Debil,Universidade,De,Madeira,Ociosidade,Atividade,,,,,,,,,
10,Quer-me,Que-me,Cinque,Larguem-me,bar-me,Vae-me,Rasgue-a,Salve-me,,,,,,,,,,,,,
11,Cuida,sôfrega curiosidade,Cuidas,Juizo,Thebaida,Cuidei,,,,,,,,,,,,,,,
12,Principio,Principiava,proprio Mr.,Ncio,pi,Princ-,V,,,,,,,,,,,,,,
13,Espere,"Eu-
chtersleben",Er,Xerez,ER,perola,DER,suggerir,"57

Exercera",berne,Cerco,gingerbeer,Persuas,Merc,,,,,,,
14,Tremo,Reparem,Preparava-se-lhe,Repara,Reparo,Tremi,Partirem,Arvoredo,Repito,Desbarretem-se,,,,,,,,,,,
15,pa,Pano,Paiz,pac,Pa,Europa,Pa-,Parva,Parte,,,,,,,,,,,,
16,Mettia,Promettia,prometter,Prometto,commetter,Prometterei,Butterfly,permitte,,,,,,,,,,,,,
17,cença,Doença,Doe,Q,,,,,,,,,,,,,,,,,
18,Conhece,do conchego,Reconhecera,Reconheceu-os,Conheceu-a,,,,,,,,,,,,,,,,
19,Commoveu-a,commover,"d'esta
commovente",commiseração,commerciaes,,,,,,,,,,,,,,,,
20,Vês,Vêem,v,,,,,,,,,,,,,,,,,,
21,Admira,Pedir,Ir,adquiri,Ir'a,Tira,luzir,,,,,,,,,,,,,,
22,taboa,Lisboa,Boa Vista,de Lisboa,,,,,,,,,,,,,,,,,
23,Humana,malícia,somma,malvasia,Ma,Demais,proxima,Ma-,Timas,Fumar,Maia,Mano,Felice Romani,,,,,,,,
24,larão lão,amão,Mão,lenão,,,,,,,,,,,,,,,,,
25,Santa Catharina,"Santa Ca-
adriana",Catharina,Carolina,gaia casa theatro,agatha,Santa Casa,l-,,,,,,,,,,,,,
26,Lucrecia,Carecia,Grecia,Rebecca,Ereciheum club,Pôe,Decis,Pobre Cecilial,,,,,,,,,,,,,
27,Josétinha,sé,Joséfinha,Tinhamos,tinuar,,,,,,,,,,,,,,,,
28,És,"Ilha dei-
xára",Ilha,Olha,agasalha,folha,Ralhava,Ha,Talhados,Sevilha,"fi
lha",,,,,,,,,,
29,chapéo,Éo,"chapéo de
seda",,,,,,,,,,,,,,,,,,
30,do Norte,porta do cemiterio,Forte,Formosa,Forte-,florete,porta de fortaleza,"Forte tola!

— B elle",Forno Ve-,Norte,Mor-,Foz,cortezias,"Fortes
edi",,,,,,,
31,Imminencia,Anciada,ci,impaciencia,Providencia,silencioóos,Paciência,antecedencias,lencia,Cacilda,Impaciente-me,Assim-Paciá,"re-
sciencia",,,,,,,,
32,Vá!,Vá,,,,,,,,,,,,,,,,,,,
33,Ahi,D'ahi,Whis,contrahida,ahi,,,,,,,,,,,,,,,,
34,rua dos Inglezes,Inglezes,"rua
dos Inglezes",INGLEZA,Inglesa,"rua dos
Inglezes",Ingl-,,,,,,,,,,,,,,
35,UNA FAMILIA INGLEZA,"S UMA FAMILIA INGLEZA

miss",UMA-FAMILIA INGLEZA,"sé póde

 

 

 

 

   

UMA FAMILIA INGLEZA",,,,,,,,,,,,,,,,,
36,CR,Creança,creança,frança,travêssa creança,França,,,,,,,,,,,,,,,
37,saír d'alli,"A
Lido",pallido,B,capellinha do Padrão,"passára
alli",alli,Duvido,,,,,,,,,,,,,
38,cemiterio contiguo,hontem,Hontem,Continue,,,,,,,,,,,,,,,,,
39,Porto,Fortunato,Portugal,em Portugal,"Porto
e Madeira",Porto mu-,,,,,,,,,,,,,,,
40,00-,aía,Mim,Smithfield,Sim,mim,,,,,,,,,,,,,,,
41,"go

Jenny",Jenny,"pr

Jenny",,,,,,,,,,,,,,,,,,
42,Exijo,XXI,XI,,,,,,,,,,,,,,,,,,
43,Lucta,Luz,lucta,"Lucta de Lammer-

mor","A

Extincta",,,,,,,,,,,,,,,,
44,—,"Mat-
tos",Mattos,"di
tos",,,,,,,,,,,,,,,,,
45,Pó,póde,,,,,,,,,,,,,,,,,,,
46,Vejam,Sejam,,,,,,,,,,,,,,,,,,,
47,America do Norte,Inefficaz,Iyricos,Praticaria,Rica,SimAbicapo,Africa,America,Dica,belgica,PUBLICA,,,,,,,,,,
48,analyso,Enganar,Est of Enganar,Enganas-te,Ensinando-me,,,,,,,,,,,,,,,,
49,d'isso,casa d'isso,prova d'isso,idade d'isso,,,,,,,,,,,,,,,,,
50,anciosa,Racine,"tos
biographia",graciosa,Gra,"insaci

dos",nossa atmosphera,gracejo,,,,,,,,,,,,,
51,Triste,christão,tristeza,Tristeza,io tristeza,Justeza,,,,,,,,,,,,,,,
52,quaes,Ta,cereaes,habituaes,taes,punhaes,taes estados,taes momentos,caes,Taes,— Talvez,,,,,,,,,,
53,Thereza,Luiza,Cinza,ZA,tóza,defeza,,,,,,,,,,,,,,,
54,nºum,Assumpto,Assumptos,assumptos,assumpto,,,,,,,,,,,,,,,,
55,Jockey,"Car-
Jos",Jos,Cos,Josophico,Cujos,beijos,Osjogos,"Cara
Jos",,,,,,,,,,,,
56,"as-
tres",Raspai,Mas-era,Cosme Villas-boas,pas-,"pas-
sos precipitados","pas-

mM.",as-,Passos,,,,,,,,,,,,
57,Achilles,Excellentissima,balbuciou elle,Mel,Excellente,Subia elle,elle,eflicacia delle,casa delle,nºelle,velleidades,elle bebe,casa d'elle,ran-ville,elleês,d'elle,collegio,levans,,,
58,Mancha,Guichard,Marcha,chamma,Fecha,Jhar,patriarchal,,,,,,,,,,,,,,
59,Yorkshire,Pires,Grenlei,Reino,Fevereiro,Ribeira,Irei,Queira,poleiro,Terreiro,Marino Ligeiro,Freixo,Verei,Rua Ferreira Borges,Rua dos Caldeireiros,Rego Lameiro,,,,,
60,céo Florindo,surprendia,illudia,Dizia,India,"di

zia",Diahia,Incendiar,Distin-,Divina Comedia,,,,,,,,,,,
61,áquillo,tranquillisar,collo,aquilio,Aquillo,ná,,,,,,,,,,,,,,,
62,Salta,Volta,Voltava,Vomitam,Volveu,,,,,,,,,,,,,,,,
63,Lusiadas,veigas,damasco,Delicadas,Obrigado,Obrigada,Pedra Salgada,almada,Gadas,Applicadas,Vasado,,,,,,,,,,
64,"Cara
los",Car-,Contas de Carlos,"Cara
los 0",Carlos,"pa

Carlos",Pulos,"Car-
los Whitestone","los
gar",,,,,,,,,,,,
65,Quça,Quçamos,Vamos,Mos-,,,,,,,,,,,,,,,,,
66,Vae,"cisTirasos
Leva...",Responde-me...,Vae...,Mostarda... Queijo,nova e.,braza...,,,,,,,,,,,,,,
67,Bate,d'antes,Tens-te,Fiz-te,te,Avintes,tenue,Vate,Jupiter,Tens,Tejo,Antevejo,,,,,,,,,
68,Multic,beatifica idiotia,Ecce Deus qui letificat,botica,sta ingratidão,justificará,,,,,,,,,,,,,,,
69,Lembrou-lhe,— Olhe,Escolheu,Polyphemo,Olhem,Olhe,Deem-lhe,,,,,,,,,,,,,,
70,Diga-m'o,Digo,go,Fogo,Codigo,Diga,,,,,,,,,,,,,,,
71,jury,Cêdo,Tudo,Mouras,doura,sonhos dourados,Douro,severo Douro,Vou,,,,,,,,,,,,
72,es|,es=,Estroinices,Escuso,Tres,Es-,Audaces,desviei,Peso,"Mes
lho",Es,es,phrenesi,Escute,Lumes,Especie,ES,Yimes,Estações,Desconfio,Des
73,Julgo,Julgára,julgára,F,Julga-me,Julguei,"|
viára",Tomára,,,,,,,,,,,,,
74,Milton,Cito,Brito,bonito,Bonan,Bonito,,,,,,,,,,,,,,,
75,bom retiro,Valbom,somno,bom gentleman,Bom,bom Charles,Bom Jesus,,,,,,,,,,,,,,
76,Agitam,Batamos,mathematicas,Matam,Tambem,PERPATAmaO,Bata-,Prata,,,,,,,,,,,,,
77,"phantasia
popular",oceano arrojam,syntaxe,Guntando,Tanto-,Jantar,Garganta,Pantagruel,rua de Santa,,,,,,,,,,,,
78,Base,Sebastopol,Balas,Basto,ba,Basta,Roast,Contrastava,Basta-me,Vista,,,,,,,,,,,
79,sílios,io,peior,Giorno,mercio,Leio-o,Cários,,,,,,,,,,,,,,
80,Depressa,Precisei,pre,RE,Cumpre-me,Sempre,Pr,Prezado,,,,,,,,,,,,,
81,v-,Misericordia,Mortalnemico,misericordia,,,,,,,,,,,,,,,,,
82,Adivinha,Vinha,Adivinho-o,Coitadinhos,Adivinhas,acanhado,,,,,,,,,,,,,,,
83,Fiambre,funebre,Abre,Pobre Paulo,bre,Pobre,Redobrou,lugubre,Tibre,,,,,,,,,,,,
84,tilissimas,Russia,"as-
sos levissimos",Rossio-Cassi,Rossio,Tossia,Assignado,"si-

a.",,,,,,,,,,,,,
85,Estouvada,somma avultada,exercito da Saia,cida do baile,estrada do Padrão,Lados da Cruz da Rasteira,vigilia da vespera,estrada de cima,estrada da Foz,Chico da Losã,alto da folha,rio da Villa,,,,,,,,,
86,Folgara,Fartura,Cara,Rara,Raras,Alegrar,Rar,Jecturar,"Singular-
ral oh!",Barbaro,Mara-,Saraus,Partira,Amparar,Narrativas,Chegar's Opera de Gra,Chegaram,,,,
87,"Se=
hor Jesus Christo",morada d'aquella senhora,Senhor,Tenho,Senhora,despenseira,penhore,Horas,,,,,,,,,,,,,
88,penna,Sena,pe-,Pennor,Morena,Campo Pequeno,"fe

Apenas",Pena,Menina,,,,,,,,,,,,
89,Exquisita,biscuit,Exquisito,exquisito,,,,,,,,,,,,,,,,,
90,Cec-,Receio,Appeteceu-me,Cec,Parece-me,ce,appetecer,Ceil,Ce,,,,,,,,,,,,
91,hypocrisia,Marianna,critica atrabiliaria,Daria,Alexandria,vozeria,Saberia,Bria,Ria,"Cata-
ria",Expatria,Diario,Etegeria,acrimonia,iypocrisia,,,,,,
92,Areinho,Minho,dóminó,lix de vinho,Carinhos,nhou,"ca-
minho",Espinho,Caminho,,,,,,,,,,,,
93,Furioso,Primor,horrorisado,soccorro,sorrisos,Morria,orém,Correu,sorri,Porisso,,,,,,,,,,,
94,Souto,accusou,alameda do Repouso,Repouso,,,,,,,,,,,,,,,,,
