cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
0,leresle,gsle,les letlres,Tuileries,Angleterre,inlerels do l'Est,lez-vo ir,fleuree,Augleterre,colere,leslevres,volers,Champmesle,turelles,lAnglelerre,Lendres,,,,,,,,,,,,,
1,got,Gothard,gota,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Dauphin,Phi-,da,Dauphine,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vandenesse,Wandenesse,Vande-,la Havane,send ssne st l piiei,comtesse de Vande-,bandenne,Yandenesse,Vandenessse,Io monet rexr ao vndenese30,gondesse,,,,,,,,,,,,,,,,,,
4,Suisse,XI,suis-,Suisses,,,,,,,,,,,,,,,,,,,,,,,,,
5,gr  eoereee s mr y-s y-,Ee,ae ien aire eee,gaee,oecupee,eiee  aest yvggntsuee,zee g-,ridee,"g;,eeeee].GGa",mol mystee I,Poppee,deentree,Ilrmee,sss-eeeg,ieeye,youee,jouee,gseegir,eeee,ePseeee,e,deenir,lnee,aspeet,2:2::EECI,Bee,cheminee,"g:,eeg1","gAgg,;;;eevee e"
6,Celte severe,Celte,severe,atee  e semut re,,,,,,,,,,,,,,,,,,,,,,,,,
7,LG.I,Ei5G.IG,.:,g.F,"g.,g",,,,,,,,,,,,,,,,,,,,,,,,
8,aaitbdALBERT,Albertauraitgimile,ALBBRT.y,Albeit,haiter,Aa,enthousiasmeALBERT,,,,,,,,,,,,,,,,,,,,,,
9,S,Jura,Duraht,traijusqu,travaileur,jurisprudenee,,,,,,,,,,,,,,,,,,,,,,,
10,Thetre,Thettre,Thetre-Francais,He,Theatre,thelres,Rhetore,Thetre-,peult-etre,,,,,,,,,,,,,,,,,,,,
11,Lae Majeur,--Je,lac Majeur,sajeu-,E:;:e,,,,,,,,,,,,,,,,,,,,,,,,
12,Leonarde,jardih,Ga1,gard,Regardez,Ga,tour dujardin,bard6,Espard,Argaiolo,Hasard,Lombardie,egaree,Lomhardie,,,,,,,,,,,,,,,
13,Solas,irola,Soulas,solr,Massol,terrasso,lasoirde,Leopola,,,,,,,,,,,,,,,,,,,,,
14,sot vis-i-vis,Is,voyis,shis,is,atisve,Jallklis,Tris-,isiG,misre,credis,vis-h-vis,Pais,Assis,l1,uis,iruiste,,,,,,,,,,,,
15,ge,egee ge btlu los ebz],"ge,;g",Ge-,Songe,Gersau,Bugey,,,,,,,,,,,,,,,,,,,,,,
16,corpe,le Corso,iorsl iir,Corso,trsos,daecord,,,,,,,,,,,,,,,,,,,,,,,
17,menl,cenl,momens,Jr0me,autremenl,hdme,enlrer,denle,veemeni,avaienl,condimens,Nl,,,,,,,,,,,,,,,,,
18,Eternel,ner,Nevers,Medilerranee,binel d'Alhert,scne,Rhne,Gouvernement,Nerlve,trne,point deraneer,- Ilne,Lucerne,,,,,,,,,,,,,,,,
19,lac des Quatre-Cantons,lac des Quatre-Cantonsa,Quatre-Can-,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Neue-es-,rue Neuve-des-,rue Feydeau,rue de Ne-,Neuve,i nrue,Neuve-des-Ma-,,,,,,,,,,,,,,,,,,,,,,
21,egee e,ggee,gggegee,geegggeegee,geggh,"g.leeggegg,,g,-,g,]L","eeegg,,gg",eigge,.'f,g.gge,gAgegeeg2,,,,,,,,,,,,,,,,,,
22,Nucingen,Lindulgence,succinet,benu,Nuciogen,Nucingon,cingen,Nucinge,,,,,,,,,,,,,,,,,,,,,
23,Bourg,Bourgeois,Bourse,I,Strasbourg,,,,,,,,,,,,,,,,,,,,,,,,
24,tceys,Riceys,Scey,,,,,,,,,,,,,,,,,,,,,,,,,,
25,aoul,Raoul,Raonl,Iaoul,Raooul,Raouil,craoye,,,,,,,,,,,,,,,,,,,,,,
