cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0.0,Laisse,Laissez-,ivartisseent,Palais,,,,,,,,,,,
1.0,poliuique,Pouiqui,poliliquo,Napolilain,,,,,,,,,,,
2.0,malheres,Alhel,spheres,Ireres,binel d'Alhert,riviberes,,,,,,,,,
3.0,Suisse,Suisses,suis-,suii,jouissailt,uis,,,,,,,,,
4.0,ILlo,coquilloges,,,,,,,,,,,,,
5.0,Voil,Voilh,Mafoil,Pouvoir,,,,,,,,,,,
6.0,eeee,"g;,eeeee].GGa",sss-eeeg,ePseeee,,,,,,,,,,,
7.0,Lovelace,aelaon,lacen',,,,,,,,,,,,
8.0,Lomhardie,tomhe,Gothard,Lombardie,,,,,,,,,,,
9.0,Watteville,Watteille,Wattevillo,deWatteville,watteville,Iadame do Watteville,watteile,Walteville,Watlteville,Wutteville,Wattleville,maison Watteville,Wattevill,wattoille,
10.0,Thetre,peult-etre,Thetre-Francais,Thetre-,etres-unis,Thettre,,,,,,,,,
11.0,aGG1:::EA2EE,"G1:::,%",2:2::EECI,,,,,,,,,,,,
12.0,Floria,"aulorite
 dea",point-Florine,Flori-,Florineet,ecria,Florence,Florine,,,,,,,
13.0,oecupee,Poppee,occupes,vecu,aspeet,,,,,,,,,,
14.0,Neufchatel,hate,Neufchlel,,,,,,,,,,,,
15.0,tortune,tunel,,,,,,,,,,,,,
16.0,lomene,Philomene,Pbilomene,Philomeno,Philomen,Philomene]. - A,Hhilomene,Philomee,,,,,,,
17.0,LG.I,Ei5G.IG,,,,,,,,,,,,,
18.0,jardih,tour dujardin,bard6,Jardin des Plantes,,,,,,,,,,,
19.0,chapitr,Ghapitre,,,,,,,,,,,,,
20.0,epoque,Leloquence,harque,,,,,,,,,,,,
21.0,lui1,luiont,luil,,,,,,,,,,,,
22.0,ninie,6nini,Virginie,Wyiriciinie,Fnai niosiiininaanieetne,,,,,,,,,,
23.0,Eternel,Lucerne,trne,Gouvernement,Frauce,,,,,,,,,,
24.0,atlend,elendie,"lende-
des monceaux",acsa,Lendres,,,,,,,,,,
25.0,brossee,Rmssee,Rossni,,,,,,,,,,,,
26.0,inlerels do l'Est,do l'Est,,,,,,,,,,,,,
27.0,ples,Naples,nohles,do Niples,,,,,,,,,,,
28.0,sa]- Oui,EIle nest ouiouirs pss nee,- Oii,,,,,,,,,,,,
29.0,varon,chnaroneourt,baronno,Rivarol,,,,,,,,,,,
30.0,Camps,campogne,pognie,aceompogne,Lamporaui,,,,,,,,,,
31.0,Bresse,mres,etle tndresse,duehesse,Chlthbre,lumieressur,trattresse,Presse,caresse6,,,,,,
32.0,Augleterre,terrasso,aeugle,Angleterre,lAnglelerre,,,,,,,,,,
33.0,Tre Monasteri,mystere,Interets,mol mystee I,Ministere,,,,,,,,,,
34.0,Solas,solr,Massol,,,,,,,,,,,,
35.0,meltre,eltj',meltra,Mely,,,,,,,,,,,
36.0,aeil,eoleil,Leil,teil,soleil,leil,Soleil,,,,,,,,
37.0,thelres,les letlres,aulres,peul-elre,prelre,,,,,,,,,,
38.0,Irisee,mepriseras:- Ble,euaisee,slg2irit,c0mprises,,,,,,,,,,
39.0,tiennes7,comedienne,vienne,liennes,Sicilienne,Parisiennes,Etienne,Vienne,nnes,ltaliennes,Quotidienne,Italiennes,,,
40.0,i nrue,piresrue,Bruel,,,,,,,,,,,,
41.0,confratermte,Terme,caratere d'in yjoe,,,,,,,,,,,,
42.0,nnsie,NSIEUR,Asilotinsie,"mensieuri0

DE ALZAC",,,,,,,,,,,
43.0,volers,colere,Alert lla,Gersau,,,,,,,,,,,
