cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Berkshire,Jeremiads,Blankshire,Lancashire,Hertfordshire,Yorkshire,Leicestershire,Irish Secretaryship,Ladyship,,,,,
1,Africa,America,Cambridge,DEDICATION,Tamerlane,Mexico,Jamaica,Notice Africa,Victoria,,,,,
2,Hanover,Anon,Lawgiver,Sovereigns,,,,,,,,,,
3,Ermengarde,Aldermen,Scarlet Gardens,,,,,,,,,,,
4,Salt Hill,"Salt
Hill",,,,,,,,,,,,
5,Nemesis,New,Jew,Newcastle,Nebuchadnezzar,Sydney,Phryne,Melbourne,New General-,,,,,
6,Pembroke,brook,Rome,,,,,,,,,,,
7,the United State,the United Kingdom,the United Provinces,The Kingdom of France,,,,,,,,,,
8,Ill.,MILLBANK,"Walked
Millbank",Millbank of Millbank,Millbank,Millbankites,,,,,,,,
9,Jerusalem,Us,Russia,us,Music,Isthmus,Sussex,Caucasus,Austria,,,,,
10,Clarendon,Babylon,Colonies,LoNdon,LONDON,Barcelona,Byron,Monte,Richmond,Wimbledon,London,,,
11,Naples,Toledo,Wellesley,Temple,Principle,Colleges,Hellingsley,Wesleyans,Wavelets,,,,,
12,litera,Opera,Europe,Taper,Persia,,,,,,,,,
13,Chudleigh,Charta,Christchurch,Christian-,Sacha,China,,,,,,,,
14,Slough,Borough,Egypt,Louis Qua-,,,,,,,,,,
15,Learning,inn,Kingdom,Yielding,King,Spain,Moorish kingdom,Coningsby,Daring,Kissing,Spinoza,,,
16,Westminster,Esq,West,Westmoreland,Palestine,Western Europe,Estates,West India,,,,,,
17,Regent,Frenchwomen,Friendship,Frenchmen,,,,,,,,,,
18,Willesden,Leontium,Phoenix,Millennium,dishabille,Belgium,Nile,Seville,Villebecque,,,,,
19,St. Petersburg,Edinburgh,Augsburg,Canterbury,St. Paul,"St.
Petersburg",,,,,,,,
20,midland county,the Rue Tronchet,the County Chronicle,Munich,the County of,Throne,,,,,,,,
21,Lancaster,East,Castle,Studcaster,Study,Palmerston,,,,,,,,
22,Saxon,Say,Saxony,,,,,,,,,,,
23,Waterloo,Watteau,Gazette,,,,,,,,,,,
24,Coldness,Embassy,Rossendale,Desert,Marquess,Masses,Ambassa-,,,,,,,
25,Seaton,Sedgwick,Realm,Sea,Sepr,Learnt,,,,,,,,
26,white bait,Nuneham,Alps,Hall,Whitehall,Italy,,,,,,,,
27,the British Isles,Oriel,Froissart,Park,Pagan,Married,Paradise,Paris,Prison,Sparta,Valparaiso,,,
28,"Barn
von H",Downing Street,Iington,Berlin,Greece,Arlington Street,Wellington,,,,,,,
29,the green mountains,Athens,"the San
Bent",the San Absent,the Spanish Peninsula,the Moslems Arabs,,,,,,,,
30,St. Geneviéve,Geneva,St. Gone-,St. Genevieve,Vienna,,,,,,,,,
31,Vengeance,Hansard,Carriage,Mediterranean,Arabia,Arrange,,,,,,,,
32,Inferno,Tamworth,North,the Northern Sea,Thebes,Northamptonshire,Northern,,,,,,,
33,Bacchantes,Duchess,Manhood,Germany,the Manchester Guide,Heroes,Manchester,,,,,,,
34,Hyde Park,the Persian Empire,the Lower Park,the Upper Park,"the Upper
Park",,,,,,,,,
35,Nottingham,Infirmary,Birmingham,Everingham,,,,,,,,,,
36,Scotland,Walpole,Ireland,Liverpool,Languedoc,Roxalana,England,Highland,woodland,Monkey Island,midland,Neapolitan,Poland,Poets
37,St. James’ Street,"St. James’s
Square","St. James’s
Street",St. James’s,St. James,Thames,,,,,,,,
38,Rigbyites,Brighton,Sprigs,Rigby,,,,,,,,,,
39,Hades,Providence,Derby,Laid,Maidenhead,Adelaide,Cellars,,,,,,,
40,Trautsmandorff,Grand Cairo,Grand,Astrachan,Strand Coffee-,Ferdinand,France,Strand,Hindostan,Lyndhurst,Frankfurt,Ministry,,
41,Hippocrates,Philip,Aquatics,Piccadilly,Phillippics,,,,,,,,,
42,Club,Culloden,Luxembourg,Lucca,Lucullus,Lucretia,,,,,,,,
43,Windsor rang,"Windsor
Park",Swine,Uwins,Windsor,wi,,,,,,,,
44,Brazils,Oxford,Torquamada,Bradford,Darlford,,,,,,,,,
45,Monmouth,Author,Southern Italy,South,,,,,,,,,,
46,Melton,Shabbyton,Loretto,Cottage,Wotton,,,,,,,,,
47,the Holy Sepulchre,the Lanca-,the Lock Pool,"the Rue
Revolt",the Holy Land,,,,,,,,,
48,the green district,Representative,Venice,Venetian Republic,Blenheim,the Republic of Paris,the Venetian Republic,,,,,,,
49,Monsieur Sidonia,Bigonia,Naples Sidonia,Mauritania,Siponta,Siponia,Lazaroni,Mental Sidonia,Sidonias,Sidonia,Monsieur Sidonia’s,,,
50,St. John,n’t,St.,St. John’s,St. Mary’s,,,,,,,,,
