cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Venice,Munich,Phoenix,,,,,,,,
1,Studcaster,Study,Lancaster,,,,,,,,
2,"Salt
Hill",Salt Hill,,,,,,,,,
3,Embassy,Ambassa-,Luxembourg,Masses,,,,,,,
4,Saxon,Say,Saxony,,,,,,,,
5,Regent,Egypt,Representative,,,,,,,,
6,Married,Oriel,Carriage,Infirmary,Marquess,,,,,,
7,MILLBANK,Millbankites,Millbank of Millbank,Millbank,"Walked
Millbank",,,,,,
8,Barcelona,LONDON,London,Colonies,Richmond,Babylon,Byron,Clarendon,LoNdon,,
9,Slough,Louis Qua-,Borough,,,,,,,,
10,Lancashire,Berkshire,Hertfordshire,Leicestershire,Yorkshire,Blankshire,,,,,
11,Watteau,Waterloo,Gazette,,,,,,,,
12,Ermengarde,Aldermen,Scarlet Gardens,,,,,,,,
13,Hippocrates,Phillippics,Philip,Piccadilly,Aquatics,,,,,,
14,Sparta,Charta,Spain,Froissart,Paris,,,,,,
15,Arlington Street,Downing Street,Wellington,Iington,Berlin,,,,,,
16,woodland,midland,Ireland,Scotland,Languedoc,Highland,England,midland county,Roxalana,Monkey Island,Poland
17,Monsieur Sidonia’s,Sidonia,Mental Sidonia,Sidonias,Mauritania,Bigonia,Naples Sidonia,Monsieur Sidonia,Siponia,,
18,Hall,Nuneham,Whitehall,white bait,,,,,,,
19,Belgium,Wavelets,Poets,,,,,,,,
20,Lucretia,the Venetian Republic,the Republic of Paris,Venetian Republic,,,,,,,
21,Taper,the Persian Empire,Opera,Persia,Jeremiads,,,,,,
22,Seaton,Sea,Desert,Rossendale,Sedgwick,Realm,Sepr,,,,
23,Kingdom,Daring,King,Yielding,inn,Spinoza,Kissing,Moorish kingdom,,,
24,"the Rue
Revolt",the Holy Land,the Lock Pool,the Lanca-,the Holy Sepulchre,,,,,,
25,Europe,Western Europe,,,,,,,,,
26,Irish Secretaryship,Ladyship,Friendship,,,,,,,,
27,Liverpool,Hansard,Hanover,Anon,Sovereigns,Lawgiver,,,,,
28,Wimbledon,Blenheim,Toledo,,,,,,,,
29,France,Vengeance,The Kingdom of France,Frankfurt,,,,,,,
30,Russia,Austria,Music,Us,Jerusalem,Sussex,Isthmus,us,,,
31,Italy,Southern Italy,Author,South,,,,,,,
32,Darlford,Bradford,Torquamada,Oxford,Brazils,,,,,,
33,Coldness,Phryne,Sydney,New,Nebuchadnezzar,Jew,New General-,Melbourne,,,
34,Principle,Everingham,Birmingham,Nottingham,,,,,,,
35,the Moslems Arabs,the San Absent,"the San
Bent",the Spanish Peninsula,,,,,,,
36,Duchess,Manchester,Germany,Manhood,the Manchester Guide,,,,,,
37,St. Gone-,St. Genevieve,Geneva,St. Geneviéve,Vienna,,,,,,
38,Coningsby,Learning,"Barn
von H",Learnt,,,,,,,
39,Jamaica,DEDICATION,Notice Africa,Africa,America,Mexico,,,,,
40,Heroes,Athens,Tamworth,Thebes,North,Northern,the Northern Sea,Inferno,Northamptonshire,,
41,Providence,the United State,the United Provinces,the United Kingdom,,,,,,,
42,the green mountains,Victoria,Greece,the green district,the British Isles,,,,,,
43,Windsor rang,wi,Swine,Windsor,"Windsor
Park",Uwins,,,,,
44,Rigbyites,Rigby,Brighton,Sprigs,,,,,,,
45,Cambridge,brook,Pembroke,,,,,,,,
46,Bacchantes,Canterbury,Monmouth,Monte,Leontium,Siponta,,,,,
47,Ferdinand,Ministry,Hindostan,Grand,Grand Cairo,Strand,Strand Coffee-,Trautsmandorff,Astrachan,,
48,Estates,Westmoreland,Esq,Palestine,Westminster,West,West India,,,,
49,Colleges,Cellars,Hellingsley,Wesleyans,Naples,Wellesley,Temple,,,,
50,Shabbyton,Loretto,Melton,Cottage,Palmerston,Wotton,,,,,
51,East,Castle,Caucasus,Newcastle,,,,,,,
52,St. Paul,"St.
Petersburg",Augsburg,St. Petersburg,Edinburgh,,,,,,
53,Chudleigh,China,Christian-,Christchurch,Lyndhurst,Sacha,,,,,
54,St. James’ Street,Thames,"St. James’s
Street",St. James’s,St. James,Nemesis,"St. James’s
Square",,,,
55,Culloden,Club,Lucca,Lucullus,,,,,,,
56,Nile,Willesden,Millennium,Ill.,dishabille,Seville,Villebecque,,,,
57,Prison,Walpole,Alps,Paradise,Arabia,Valparaiso,,,,,
58,the Lower Park,Hyde Park,Park,the Upper Park,"the Upper
Park",,,,,,
59,Pagan,Arrange,Tamerlane,litera,Neapolitan,Mediterranean,,,,,
60,n’t,St. John’s,St. John,St. Mary’s,St.,,,,,,
61,Throne,Lazaroni,the Rue Tronchet,the County of,the County Chronicle,,,,,,
62,Laid,Maidenhead,Hades,Derby,Adelaide,,,,,,
63,Frenchmen,Rome,Frenchwomen,,,,,,,,
