cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0.0,Venice,Munich,Phoenix,,,,,,,,,
1.0,Studcaster,Study,Lancaster,,,,,,,,,
2.0,Kingdom,King,The Kingdom of France,Moorish kingdom,,,,,,,,
3.0,Principle,Prison,Naples,Temple,Sprigs,,,,,,,
4.0,Embassy,Ambassa-,,,,,,,,,,
5.0,Saxon,Saxony,,,,,,,,,,
6.0,"the Rue
Revolt",the Moslems Arabs,the Rue Tronchet,the British Isles,,,,,,,,
7.0,Barcelona,Cellars,Colonies,Babylon,"Barn
von H",,,,,,,
8.0,Ferdinand,China,Inferno,,,,,,,,,
9.0,Liverpool,the Lock Pool,Lawgiver,,,,,,,,,
10.0,Slough,Louis Qua-,Borough,,,,,,,,,
11.0,Estates,Hippocrates,Waterloo,,,,,,,,,
12.0,Ermengarde,Aldermen,Scarlet Gardens,,,,,,,,,
13.0,Phillippics,Philip,Piccadilly,,,,,,,,,
14.0,Sparta,Charta,Spain,Froissart,Paris,,,,,,,
15.0,Arlington Street,Downing Street,Wellington,Iington,Berlin,,,,,,,
16.0,Shabbyton,Melton,Seaton,Sea,Wotton,Brighton,,,,,,
17.0,Hall,Nuneham,Whitehall,white bait,,,,,,,,
18.0,Lucretia,the Venetian Republic,the Republic of Paris,Venetian Republic,,,,,,,,
19.0,Taper,the Persian Empire,Opera,Persia,,,,,,,,
20.0,the Holy Land,the Lanca-,the Holy Sepulchre,,,,,,,,,
21.0,Irish Secretaryship,Ladyship,Friendship,,,,,,,,,
22.0,Hansard,Hanover,Anon,Sovereigns,,,,,,,,
23.0,woodland,midland,Ireland,Scotland,Languedoc,Highland,England,Chudleigh,Tamerlane,Roxalana,Monkey Island,Poland
24.0,Wimbledon,Blenheim,Toledo,,,,,,,,,
25.0,Yielding,Oriel,Kissing,,,,,,,,,
26.0,Bacchantes,Canterbury,Derby,,,,,,,,,
27.0,France,Vengeance,Frankfurt,,,,,,,,,
28.0,Desert,Representative,Sepr,,,,,,,,,
29.0,Lancashire,Berkshire,Hertfordshire,Leicestershire,Yorkshire,Blankshire,,,,,,
30.0,Coldness,Sydney,Nebuchadnezzar,,,,,,,,,
31.0,Heroes,Italy,Southern Italy,Author,Monmouth,South,,,,,,
32.0,Darlford,Bradford,Oxford,Brazils,,,,,,,,
33.0,Jamaica,Victoria,Torquamada,Aquatics,Marquess,,,,,,,
34.0,Married,Cottage,Carriage,,,,,,,,,
35.0,Rigbyites,Rigby,,,,,,,,,,
36.0,Daring,Everingham,Birmingham,Nottingham,,,,,,,,
37.0,"St.
Petersburg",Augsburg,St. Petersburg,Edinburgh,,,,,,,,
38.0,Duchess,Jeremiads,Manchester,the Manchester Guide,,,,,,,,
39.0,Coningsby,Learning,Learnt,Vienna,,,,,,,,
40.0,Athens,Thebes,,,,,,,,,,
41.0,DEDICATION,Notice Africa,Africa,America,,,,,,,,
42.0,Tamworth,North,Northern,the Northern Sea,Northamptonshire,,,,,,,
43.0,Palestine,Swine,Uwins,,,,,,,,,
44.0,Throne,Lazaroni,Byron,,,,,,,,,
45.0,Monsieur Sidonia’s,Sidonia,Mental Sidonia,Sidonias,Naples Sidonia,Monsieur Sidonia,,,,,,
46.0,Providence,the United State,the United Provinces,the United Kingdom,,,,,,,,
47.0,the green mountains,Austria,Greece,the green district,,,,,,,,
48.0,Windsor rang,Windsor,"Windsor
Park",,,,,,,,,
49.0,Christian-,Christchurch,,,,,,,,,,
50.0,Germany,Manhood,Trautsmandorff,,,,,,,,,
