cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,Grenoble,Nobles,,,,,,,,,,,
1,Chaire,Ordinaire,Loire,Père-Lachaise,,,,,,,,,
2,fier,Arcier,Tuileries,Pothier,,,,,,,,,
3,Dauphine,Philomènes,Dauphin,Magdeleine,Gandolphini,,,,,,,,
4,Frère ALBERT,Votre ALBERT,– A,,,,,,,,,,
5,Française,Françaises,Français,Italienne de la Française,,,,,,,,,
6,Toulouse,Héloïse,Mulhouse,bois de Boulogne,Soulas,,,,,,,,
7,Mariniers,Modinier,Industrie,– Mariette,Gersau,Virginie,,,,,,,
8,Scey,Grâce,Riceys,Thecel,Bugey,,,,,,,,
9,Comité-Chavoncourt,Cour,Chavoncourt,Cour royale,Sidonie de Chavoncourt,,,,,,,,
10,Saint-Germain,Saint-Gothard,Saint-Vier,Sainte-Hélène,plain-pied,Intérêts,Saint-Merry,Sainte-Alliance,,,,,
11,de Besançon,diocèse de Besançon,Chapitre de la cathédrale de Besançon,A Besançon,Besançon,,,,,,,,
12,hôtel de Rupt,Hôtel National,Rupt,,,,,,,,,,
13,brodequins,États-Romains,Rome,Romains,État,,,,,,,,
14,Eaux-Vives,Est,de l'Est,Indes,Légitimistes,Alpes,,,,,,,
15,du Doubs,auberge du Cygne,Doubs,A,,,,,,,,,
16,Berne,Ferney,Lucerne,Gouvernement,canton de Lucerne,– Vers Lucerne,,,,,,,
17,Pharès,Varèse,,,,,,,,,,,
18,Suisse,Suisses,Russes,,,,,,,,,,
19,Lac Majeur,lac Majeur,l'Europe,,,,,,,,,,
20,Patriote,Charivari,Partez,Parisien,Parisiens,Paris,Parisienne,Parisiennes,,,,,
21,Granvelle,Nouvelle,Nouvelles,Vauchelles,la Nouvelle,Nouvelle éclose,,,,,,,
22,Novembre,Bresse,Presse,,,,,,,,,,
23,la Havane,Savarus,Savaron,,,,,,,,,,
24,Grande Chartreuse,Grande-Chartreuse,Chartreux,femme-de-chambre,Chartreuse,De la Grande-Chartreuse,Granet,,,,,,
25,Bisontins,Florence,Florentine,Tinti,,,,,,,,,
26,Vue,Fluelen,Revue,,,,,,,,,,
27,Emilio,Milan,Hollande,Voilà,Milanais,Pilate,,,,,,,
28,Balthasar,la Scala,Sardaigne,Lombardie,Girardet,Calard,,,,,,,
29,Vienne,Sicilienne,Sicile,,,,,,,,,,
30,Moyen-Âge,lac de Constance,lac de Genève,Genève,,,,,,,,,
31,Opéra,Méditerranée,la France,Grancey,Franche-Comté,Brabant,– Francesca,Francesca,Jung-Frau,de France,France,Est de la France,
32,Vevay,Avez,Savez,,,,,,,,,,
33,Chapitre,– Pauvre,Étude,Théâtre,Diantre,Préfecture,Autriche,Étre,Barreau,,,,
34,– Chère,Ministère,Monastère,,,,,,,,,,
35,Belgirate,Vue de Belgirate,de Belgique,Belzébuth,Belgique,,,,,,,,
36,Lovelace,Providence,la Provence,,,,,,,,,,
37,Chartreuse des Rouxey,îles Borromées,terre des Rouxey,lac des Rouxey,Les Rouxey,les Rouxey,Rouxey,,,,,,
38,de Saxe,Saxe,,,,,,,,,,,
39,Neufchâtel,Neuve,Brunet,rue Neuve,rue du Perron,,,,,,,,
40,Anglaise,voyais,Palais,Angleterre,Anglaises,– Laissons,Anglais,,,,,,
41,L'Espagne,Espagne,Espagnols,,,,,,,,,,
42,Watteville,Bâle,Versailles,maison Watteville,Villa-Diodati,tromper madame de Watteville,la Ville,Conseillers,Gentillet,Marseille,Hôtel-de-Ville,Ville,Dôle
43,Italie,Italiens,Droit,Italien,Napolitain,Italiennes,ITALIE,l'Italie,Italienne,d'Italie,Salins,,
44,Comté,Sois,Genevois,Comtois,la Comtoise,,,,,,,,
45,pic de Vilard,Godenars,Dent,Dent de Vilard,base de la Dent de Vilard,,,,,,,,
46,Écoutez,Sachez-le bien,Portsmouth,Gazette,ajoutez-les,,,,,,,,
47,caquetages,l'Afrique,Afrique,,,,,,,,,,
48,Naples,baie de Naples,rue de Grenelle,,,,,,,,,,
49,Jura,Strasbourg,Comité-Boucher,Retournez,Bourg,,,,,,,,
50,Mont-Cenis,Clermont-Mont-Saint,Nantua,Saint-Jean,Clermont-Mont-Saint-Jean,,,,,,,,
51,Cachons,lac des Quatre-Cantons,Élections,Lyon,Visconti,Piémont,Beauffremont,Montons,Gramont,Dijon,,,
52,Rhétoré,le Rhin,Rhône,Archinto,Rhin,,,,,,,,
53,Madre,jardin Bergmann,Amédée,Maman,,,,,,,,,
54,château des Colonna,Argaiolo,Lons-le-Saunier,Sidonie,Colonna de Rome,Barcelone,La Colonie,Colonie,,,,,
55,Simplon,Londres,Replongé,,,,,,,,,,
