cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Estimez,Mesdemoiselles,mademoiselle,Payez-les-moi,,,,,,,
1,ar-,"char-

- gée du ménage",Ê,s’,,,,,,,
2,Jo-,"Jo-
séphine",So-,José-,,,,,,,
3,Coupez,eoup,Co,occupez,I,Écoutez,licou,râpe,,,
4,seraiont,scrai,sèvrerai,Contole-toi,Jusserand,humi‘iont,,,,,
5,Saint-Jean,Jeanue,Où,Jeax,"Saint-
Jean",@t,Jeantié,,,,
6,"au-
tres","au-
trefois",au-,,,,,,,,
7,Isaure,endureît,Isauro,,,,,,,,
8,brune,Meunet,e’,lune,Meunet-sur-,"jeuné

—",,,,,
9,sou,Issoudun,M,Inourables d'Issoudun,,,,,,,
10,KNFANCE,ENFANCR,,,,,,,,,
11,Berrÿ,Berry,,,,,,,,,
12,attondu,tôte,Attends,Entends-tu,tempr,,,,,,
13,a6,Monge,Jugez,ge,rige,vendange,SL,,,,
14,Kh,Jui,juil,Guillaumt,,,,,,,
15,Nannotte,Nannetie,Nannette,Ettu,Nannetto,Mettez,,,,,
16,Luisse-le done faire,le-profit -de la vigne,porte de la eure,gâtenux de ta femme,porto,,,,,,
17,En Bretagne,Bretagne,Apprenez,,,,,,,,
18,cüré,rougeur,euré,Prévôt,monsieur,beurrée,,,,,
19,Solango,Solange,Sainte-So-,sainte-Solange,sainte,Sainte-Solange,Solango ost là-bas,,,,
20,Îà,cupées,pée,,,,,,,,
21,crois-tu,Crois-tu,Crois,,,,,,,,
22,n'’aidait,Regardez,Aidez,,,,,,,,
23,JRANNE,Joanne,do Joanne,Ü,,,,,,,
24,Ormenux,ferme des Ormeaux,tairie des Ormeaux,Ormeaux,kermesse,,,,,,
25,ca,Ca,,,,,,,,,
26,Ainai,"se-
maine",aimais,Sylvain,Île capitaine,maine,Maitro Tixior,,,,
27,guerito,la Périnnerie,Périnnerie,Bordinerie,meprie,,,,,,
28,Astu,Pauves,Pas,,,,,,,,
29,Etchacun,chandes,charrue,chand,Flandre,,,,,,
30,SERVICE,servieo,,,,,,,,,
31,blämer,Merci,MERE,forez,,,,,,,
32,Ïl,choirs,mounière,éorire,compugnie,nir,garniront,,,,
33,Combien,Tiens,Conviens,miens,,,,,,,
34,Bi,BI,,,,,,,,,
35,avea,Savez,Avez,mall Aves,,,,,,,
36,Is,jamüis,Voie,Vois,Sois,,,,,,
37,noux,gonoux,,,,,,,,,
38,aimais-tu,Es-tu,Sais-tu,Saistu,Sais-,,,,,,
39,tout.—C',pou,Louisc,buis,nuigre,Oui,Iui,ÉPQOUSE,,,
40,Jeanno,champ de Jeanne,"PETITE JEANNE

LE DEVOIR",grenier;-car Jeanne,etil,petite Jeanue,éveailla Jeanne de bon matn,Petite Jeanne,petite Jeanne,"ai

Jeanne",JEANNE VEUVE
41,Margue-,Mudamè,Madome,maman,Maman,L’,,,,,
42,Mapauvrefille,clle,ellen',E,élle,EE,bâle,eelle,el,,
43,Vatan,vatre,veux-tu dtre.ma,,,,,,,,
44,réchauff,Tréchanderin,Tréchauderie,,,,,,,,
45,Pppris,la Grise,église n’,Grise,Paris,,,,,,
46,Saint-Pierre,"Pierres-
Folles",Pares,Pierres-,Tixier,,,,,,
47,Voulez,croyez,j’,Voyez,,,,,,,
48,viluin,Gathorino,psine,Séatino,"or-
- dinaire",nankin,provins,Cinquante,In,veines,
49,porsonne,"93

Sennne",Je,Jeunne,vienne,Jennne,,,,,
50,Los io,J loin,Ù,los vendre,Allons,Lompes,Lo,,,,
51,qu’,Afrique,,,,,,,,,
52,Siû,QUATRIÈNE PARTIR,A,TROISIÈME PARTIR,PARTIE,,,,,,
53,Durand,Grand-Bai,F,Grand Bail,Grand,"Chétif-
Bail","Grand-
Bail",Grand-Bail,Grand-Bal,,
54,S,hôpital de Bourges,Iubourer,Bourges,,,,,,,
55,J1,la somme,de France,frant,la France,bracelst,,,,,
56,Ri-haut,Hautes-,UT,broc,Roches,Tes,Hautes-Roches,|,,,
57,Laisse,valût,AL,n'’ôtais,valais,,,,,,
58,votra,Embrasse,meitras,,,,,,,,
59,cher,yerx,huche,"département du
Cher",ler,Blanche,du Cher,chosc,Achetez,lesempêcher,Cher
