cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,n'’aidait,Solango,Solange,Monge,Isauro,Pauves,sainte-Solange,Ca,Sainte-Solange,vendange,Solango ost là-bas
1,Durand,Grand,Flandre,Jusserand,,,,,,,
2,Etchacun,Ù,charrue,"char-

- gée du ménage",,,,,,,
3,Coupez,Siû,Écoutez,licou,,,,,,,
4,a6,blämer,yerx,Merci,MERE,,,,,,
5,Ïl,"au-
tres","au-
trefois",Jui,tôte,mounière,au-,Pares,BI,vatre,veux-tu dtre.ma
6,Voulez,Isaure,endureît,Los io,Attends,los vendre,pée,,,,
7,sou,Issoudun,Inourables d'Issoudun,Lompes,Apprenez,,,,,,
8,psine,"Jo-
séphine",veines,,,,,,,,
9,S,Aidez,maman,s’,,,,,,,
10,Mapauvrefille,clle,élle,Guillaumt,,,,,,,
11,e’,crois-tu,provins,Crois-tu,UT,Crois,Ü,SL,,,
12,viluin,Gathorino,Séatino,forez,,,,,,,
13,"or-
- dinaire",Luisse-le done faire,éorire,I,,,,,,,
14,J loin,Berrÿ,Berry,bâle,,,,,,,
15,J1,Mudamè,valût,Prévôt,@t,porto,,,,,
16,seraiont,scrai,sèvrerai,Madome,Allons,,,,,,
17,Laisse,Embrasse,rige,kermesse,,,,,,,
18,hôpital de Bourges,porte de la eure,gâtenux de ta femme,Iubourer,Bourges,,,,,,
19,Mesdemoiselles,ellen',Maman,eelle,mademoiselle,,,,,,
20,tout.—C',ge,,,,,,,,,
21,SERVICE,servieo,Iui,,,,,,,,
22,ar-,Jo-,Ainai,Is,Sylvain,,,,,,
23,Nannotte,Regardez,Nannetie,Nannette,nankin,Ettu,Nannetto,Mettez,,,
24,Ri-haut,Hautes-,Tes,Hautes-Roches,,,,,,,
25,Louisc,buis,So-,,,,,,,,
26,Ormenux,ferme des Ormeaux,tairie des Ormeaux,Ormeaux,In,,,,,,
27,"se-
maine",Île capitaine,occupez,maine,Maitro Tixior,,,,,,
28,cher,"département du
Cher",du Cher,nir,lesempêcher,Cher,,,,,
29,guerito,la Périnnerie,E,Périnnerie,Bordinerie,meprie,meitras,,,,
30,Saint-Jean,Sainte-So-,"Saint-
Jean",sainte,chosc,,,,,,
31,votra,Kh,AL,rougeur,euré,jamüis,monsieur,beurrée,,,
32,chandes,Où,chand,Tréchanderin,Oui,,,,,,
33,brune,Meunet,eoup,cüré,lune,Meunet-sur-,"jeuné

—",,,,
34,le-profit -de la vigne,En Bretagne,Pas,Bretagne,qu’,,,,,,
35,Estimez,Co,Contole-toi,garniront,humi‘iont,,,,,,
36,Combien,Tiens,Conviens,miens,,,,,,,
37,Vatan,JRANNE,Joanne,do Joanne,Lo,el,,,,,
38,Voie,EE,Vois,Sois,,,,,,,
39,"PETITE JEANNE

LE DEVOIR",etil,petite Jeanue,Petite Jeanne,petite Jeanne,tempr,,,,,
40,aimais-tu,j’,Es-tu,Sais-tu,Afrique,Saistu,Entends-tu,Sais-,,,
41,Astu,Jugez,noux,gonoux,,,,,,,
42,avea,Savez,compugnie,Avez,mall Aves,,,,,,
43,réchauff,F,Tréchauderie,,,,,,,,
44,Pppris,la Grise,nuigre,José-,église n’,Grise,Paris,,,,
45,Jeanno,champ de Jeanne,attondu,grenier;-car Jeanne,ca,éveailla Jeanne de bon matn,"ai

Jeanne",JEANNE VEUVE,,,
46,huche,Blanche,broc,Roches,Achetez,,,,,,
47,Saint-Pierre,"Pierres-
Folles",Pierres-,Ê,Tixier,,,,,,
48,croyez,juil,Bi,Voyez,bracelst,Payez-les-moi,,,,,
49,Jeanue,Jeax,Cinquante,Jeantié,,,,,,,
50,choirs,porsonne,"93

Sennne",Jeunne,vienne,ÉPQOUSE,L’,Jennne,,,
51,pou,cupées,râpe,,,,,,,,
52,Margue-,Grand-Bai,ler,Grand Bail,M,"Chétif-
Bail","Grand-
Bail",Grand-Bail,Grand-Bal,,
53,Je,QUATRIÈNE PARTIR,A,TROISIÈME PARTIR,PARTIE,,,,,,
54,Îà,KNFANCE,la somme,ENFANCR,de France,frant,la France,,,,
55,aimais,n'’ôtais,valais,|,,,,,,,
