cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,Jo-,I,"Jo-
séphine",So-,José-,,,,,,,,,,
1,cher,yerx,huche,"département du
Cher",ler,Blanche,E,du Cher,chosc,Achetez,lesempêcher,Cher,,,
2,Coupez,eoup,S,Co,occupez,Écoutez,licou,râpe,,,,,,,
3,seraiont,Embrasse,Jusserand,humi‘iont,,,,,,,,,,,
4,Saint-Jean,Jeanue,Jeax,"Saint-
Jean",Jeantié,,,,,,,,,,
5,"au-
tres","au-
trefois",Où,au-,vatre,,,,,,,,,,
6,n'’aidait,Ainai,"se-
maine",scrai,"or-
- dinaire",aimais,Sylvain,Île capitaine,Aidez,maine,Maitro Tixior,,,,
7,Tiens,Voie,Conviens,miens,M,Tixier,,,,,,,,,
8,champ de Jeanne,"PETITE JEANNE

LE DEVOIR",Luisse-le done faire,hôpital de Bourges,le-profit -de la vigne,porte de la eure,j’,petite Jeanue,éveailla Jeanne de bon matn,Petite Jeanne,petite Jeanne,,,,
9,a6,endureît,attondu,tôte,Attends,Entends-tu,tempr,,,,,,,,
10,Ïl,Pppris,Isaure,Issoudun,Is,Isauro,la Grise,jamüis,buis,Vois,Crois,église n’,Grise,n'’ôtais,Sois
11,Monge,Jugez,ge,rige,vendange,"char-

- gée du ménage",Bourges,,,,,,,,
12,J1,viluin,Jui,juil,etil,Guillaumt,,,,,,,,,
13,Nannotte,Nannetie,JRANNE,Nannette,Joanne,do Joanne,Ettu,Nannetto,Mettez,,,,,,
14,En Bretagne,Bretagne,Apprenez,,,,,,,,,,,,
15,cüré,rougeur,euré,Prévôt,F,monsieur,beurrée,,,,,,,,
16,Regardez,ar-,Mapauvrefille,Pauves,Pares,Pas,Paris,Payez-les-moi,,,,,,,
17,Solango,Solange,Sainte-So-,sainte-Solange,sainte,Contole-toi,Cinquante,Sainte-Solange,Solango ost là-bas,|,,,,,
18,brune,Meunet,Je,lune,Jeunne,Meunet-sur-,"jeuné

—",JEANNE VEUVE,,,,,,,
19,cupées,pée,,,,,,,,,,,,,
20,Estimez,Ormenux,ferme des Ormeaux,gâtenux de ta femme,tairie des Ormeaux,Ormeaux,kermesse,,,,,,,,
21,guerito,la Périnnerie,Périnnerie,Bordinerie,meprie,Tréchauderie,,,,,,,,,
22,réchauff,Etchacun,chandes,Vatan,charrue,chand,Tréchanderin,Flandre,,,,,,,
23,SERVICE,servieo,@t,,,,,,,,,,,,
24,blämer,sèvrerai,Merci,MERE,Iubourer,forez,meitras,,,,,,,,
25,choirs,mounière,éorire,compugnie,nir,A,garniront,,,,,,,,
26,ca,Ca,SL,,,,,,,,,,,,
27,Combien,Ù,Bi,BI,,,,,,,,,,,
28,avea,Savez,Avez,mall Aves,,,,,,,,,,,
29,Margue-,Mudamè,Madome,maman,Maman,veux-tu dtre.ma,,,,,,,,,
30,e’,noux,Inourables d'Issoudun,gonoux,,,,,,,,,,,
31,Astu,crois-tu,Crois-tu,aimais-tu,Es-tu,Sais-tu,Saistu,Sais-,,,,,,,
32,sou,Kh,tout.—C',pou,Louisc,nuigre,Oui,Iui,ÉPQOUSE,,,,,,
33,Mesdemoiselles,clle,ellen',élle,EE,bâle,eelle,el,mademoiselle,,,,,,
34,Berrÿ,Saint-Pierre,"Pierres-
Folles",Berry,Pierres-,,,,,,,,,,
35,votra,Voulez,croyez,Voyez,,,,,,,,,,,
36,Gathorino,psine,J loin,Séatino,nankin,provins,In,Ê,veines,,,,,,
37,Jeanno,porsonne,Îà,"93

Sennne",grenier;-car Jeanne,vienne,L’,"ai

Jeanne",Jennne,,,,,,
38,Los io,los vendre,Allons,Lompes,Lo,,,,,,,,,,
39,qu’,Afrique,,,,,,,,,,,,,
40,Siû,QUATRIÈNE PARTIR,porto,TROISIÈME PARTIR,s’,PARTIE,,,,,,,,,
41,Durand,Grand-Bai,Grand Bail,Grand,"Chétif-
Bail","Grand-
Bail",Grand-Bail,Grand-Bal,,,,,,,
42,KNFANCE,la somme,ENFANCR,de France,frant,la France,bracelst,,,,,,,,
43,Ri-haut,Hautes-,UT,broc,Roches,Tes,Hautes-Roches,,,,,,,,
44,Laisse,valût,AL,valais,,,,,,,,,,,
45,Ü,,,,,,,,,,,,,,
