cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0,Santa Virgem,Parto da Santa Virgem,Virgens,Santa Virginia...,Santa Virginia,,,,,,,,,,,,,,,
1,succedia,Succedeu,bom successo,Accendia,Accendiam,succumbiu,,,,,,,,,,,,,,
2,cafésinho,Fé,És,gotinha de café,,,,,,,,,,,,,,,,
3,V. s.^a,v. s.^a Sinto,S. Sebastiões,U.S.,,,,,,,,,,,,,,,,
4,charuto accêso,accêso,Chafariz,Achava-o,Charuto,,,,,,,,,,,,,,,
5,Critica,tisica,Ricoça,Critica do Brazil,botica,Politica,Title,significativa--«não,Sacrificaria,Brito apopletico,,,,,,,,,,
6,taes,pardaes,Poyaes,frontaes,locaes,pedestaes,Taes,cardeaes,,,,,,,,,,,,
7,Louvores,Eternidade dos Louvores,taciturnidade dos santos,"cosia
de luneta",Fraternidade dos Povos,Eternidade,,,,,,,,,,,,,,
8,Senhora da Encarnação,Encarnação,cova da enxerga,Senhora da Incarnação,São da Encarnação,"sala branca do
senhor conde de",Senhora da Piedade,Senhora da Alegria,,,,,,,,,,,,
9,Gorda,d'ordens,gallinha gorda,Gomorrha,Taborda,suor,,,,,,,,,,,,,,
10,balbuciou,Abalou,balbuciou elle,,,,,,,,,,,,,,,,,
11,"Habana
Valga-me",Algarve,"Habana
Valga-me Dios",,,,,,,,,,,,,,,,,
12,Deixal-a,Deixal-as,Tel-a-heis!,Casal-a,,,,,,,,,,,,,,,,
13,Praça ás Ave-Marias...,Roma...,Praça ás Ave-Marias,,,,,,,,,,,,,,,,,
14,borracho,Gamacho,pachorra,Rabicho,Laboranti,,,,,,,,,,,,,,,
15,homem.--Então,bem.--Contou,Homens.--E,benta!»--E,homem--_não,carne!--Então,,,,,,,,,,,,,,
16,Mande,Gethesemani,Fernandes,understand,Grande,Many,"Santissima
Trindade,--quando ella",Manon,ámanhã,mana,,,,,,,,,,
17,Tenho-lh'o,Tenho,d'olho,Puz-lh'os,,,,,,,,,,,,,,,,
18,affecto póde,affectando,afflicto,,,,,,,,,,,,,,,,,
19,comprehendia,comprehendia!,comprehendo,,,,,,,,,,,,,,,,,
20,Beata,Tambem,platafórma,patarata,bebedo,Beati,Matta,Benedicat,,,,,,,,,,,,
21,"Nossa
Senhora",Casamento de Nossa Senhora,Nossa Senhora,santa senhora,"boa
senhora",minha senhora,Senhora Mãi,"Nossa Senhora te
valha!","Nossas
Senhoras",Senhora,Senhora do Rosario,Nosso Senhor,Ordenou-se,Nossa Senhora do,"Nosso
Senhor",boa senhora,Nossa Senhora do Lourdes...,Nossa Senhora da Boa Viagem,Nossa Senhora da Saude,
22,guardachuvas,cabo do guardasol,cabo dos guardachuvas,"d'isso D. Maria
da Assumpção voltára",cabo da faca,guardasol,passo d'obeso,Poço do Borratem,escandalo do jornal,Caes do Sodré,,,,,,,,,,
23,Sabem,Sabe,l'Abbé,Chumbem,Cabeça,,,,,,,,,,,,,,,
24,Devia-lhe,Ia-lhe,Riam-se-lhe,Coma-lhe,Bufa-lhe,Conhecia-a,Cantava-lhe,Dá-lhe,Pesava-lhes,,,,,,,,,,,
25,Salve-Rainhas,Rainhas,Salve-Rainha,,,,,,,,,,,,,,,,,
26,Antonia,Santo Antonios,Santo Ignacio,Leia Santo Ignacio,santos,legião dos santos,Santo Ildefonso,Santo Officio,convivencia dos santos,Santo Ambrosio,Santo Thyrso,Sinto,Santos,tonturas,,,,,,
27,Silverio,bom Silverio d'aquelle,bom paio,bom Silverio,silvas,,,,,,,,,,,,,,,
28,Tavoras,pavor,Espavorida,Pavonio,,,,,,,,,,,,,,,,
29,Lethes,collete,molles,petroleo,Rigoleto,molle,Jalette,collegas,collete branco,collegio,colleccionar,,,,,,,,,
30,Communicado,Communa,incommodar,Excommunhão,mugiu,commovida,Una,commetter,Comité,Começára,,,,,,,,,,
31,Quero,Quereria,Preferiria,suggerira,Universo,ceremonia,Queres,Queria,,,,,,,,,,,,
32,de Lisboa,Lisboa de Amaro Vieira,Bois,Lisboa,Lisboa...,estrada de Lisboa,aguas de Lisboa,,,,,,,,,,,,,
33,Hotel de Ville,Delecluze,escrevia elle,"...

Elle",impelle,n'elle,falle,elle,d'elle,Telles,Pobre Telles,Versailles,Belem,Pelletan,pelle,,,,,
34,sociedade.--Então,Piedade,Sociedade,,,,,,,,,,,,,,,,,
35,Estado,córado,bêsta,d'Estado,Estupido,Peccado,Assustado,Trovador,,,,,,,,,,,,
36,Campos-Elyseos,Campos,Elyseos,,,,,,,,,,,,,,,,,
37,estrepito,pressa,resonar,Tres,Trento,Esfregava,Successores,arvores,Buenos-Ayres,Corrego das Tristes,Nobres,Pires,,,,,,,,
38,Natureza,herva,Thereza,"work
with the phrase",Therezas,There,Marselheza,,,,,,,,,,,,,
39,Mulheres,"a
Mulher",herejes,Tulherias,,,,,,,,,,,,,,,,
40,Vá,uff!_--Vá,,,,,,,,,,,,,,,,,,
41,bom Deus!,côrte de Deus,Deus,injustificavel offendeu,"Deus,--é Deus",Thus,Adeus,Debalde,Deus-Padre,,,,,,,,,,,
42,snr,Snr,,,,,,,,,,,,,,,,,,
43,philosophar,Josepha,Sophia,conego philosophicamente,Philistinos,,,,,,,,,,,,,,,
44,Coitadita,Coitadinha,Introito,coitadinha,,,,,,,,,,,,,,,,
45,Fumaça,botica da Praça,Praça...,Praça,Provença,Graça,França,Espaçava,Praça Nova,Graça!,Praça:--«Então,,,,,,,,,
46,428|,425|,,,,,,,,,,,,,,,,,,
47,Parece-me,Tremer,torre gemeu,Padre-Mestre,Treme-me,Case-me,Metto-me,Lembre-me,Perdôe-me,Repita-me,Jure-me,meum,Traz-me,Faz-me,Tremei,mexe-te,,,,
48,Instinctivamente,Insensivel,Infame,Infelimente,instincto romantico,,,,,,,,,,,,,,,
49,Districto,Historia,Christo,tristeza,Corpus-Christi,Pobre de Christo!,Epístola,christão,Commendador de Christo,Custou,Bristol,,,,,,,,,
50,Joãosinho,Joli,Japão,João,João Eduardo,Job,"S. João da
Foz",,,,,,,,,,,,,
51,Donations,don,Fatigou,Additional,National,,,,,,,,,,,,,,,
52,parochia,Amparosinho,Amparo,Europa,"Amparo da
botica",Amparo da botica,lampeão,Parto,appareeeu,,,,,,,,,,,
53,Ouf,Ourem,Redemptor,Emfim,Emmagreceu,Pimentel d'Ourem,d'Ourem,,,,,,,,,,,,,
54,solemnidade,Auctoridade,Caridade,Madrid,aquella caridade,Arcada,Immobilidade,Brutalidades,Nutrida,Universidade,adormecida,,,,,,,,,
55,XI,XXIV,,,,,,,,,,,,,,,,,,
56,Sahiu,sahiu d'emboscada,p'r'áhi,d'ahi,Sahia,ahi,Ahi,Cahia-me,sahiu,sahir,Cahiu,bahú,Bahia,sahia,D'ahi,,,,,
