cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0.0,Estado,bêsta,Assustado,d'Estado,,,,,,,,,,
1.0,porta da taberna,Porta de Ouro,Porta do inferno,banco da taberna,,,,,,,,,,
2.0,Chumbem,Tambem,,,,,,,,,,,,
3.0,palrava,Moravam,Nepal,Encontrava,Costurava,palmas,,,,,,,,
4.0,terra,terra molle,Terreiro,serra,aterrado,Inglaterra,,,,,,,,
5.0,lha,Olha,Milhares,Batalha,Olhavam-n'o,Esguelhas,s'orgulhar,chocalhava,,,,,,
6.0,Gertrudes,aquella Gertrudes,deserta,Gertrudinhas,,,,,,,,,,
7.0,cortezia,Cortegassa,Dizia,,,,,,,,,,,
8.0,Metto-me,promettia,commetter,,,,,,,,,,,
9.0,Ponte,hontem,posponto,Charonte,Defronte,Ponte Nova,,,,,,,,
10.0,Necessitava,necessita,,,,,,,,,,,,
11.0,Joãosinho,cafésinho,Gangosinhos,Amparosinho,João,,,,,,,,,
12.0,Vidalti,commovida,Covilhã,incommodar,,,,,,,,,,
13.0,"Nossa Senhora
das Dôres",Nossa Senhora das Dôres,Senhora das Dôres,"Nossa
Senhora das Dôres",,,,,,,,,,
14.0,Castello,Castaldus,Traste,viella do castello,Tel-a-heis!,monte do Castello,,,,,,,,
15.0,Abalou,Debalde,Baldeschi,,,,,,,,,,,
16.0,sacristães,sacristão,acre,Sacrificaria,Acudam,,,,,,,,,
17.0,Julia,Juliana,Biblia,,,,,,,,,,,
18.0,Arco João Eduardo,João Eduardo,"S. João da
Foz",,,,,,,,,,,
19.0,Chiado,Cumiada,parochia,Proletariado,,,,,,,,,,
20.0,Gansoso,Gansosinhos,Gansosos,,,,,,,,,,,
21.0,aqui!--E,é!--E,Aquillo,,,,,,,,,,,
22.0,ecclesiastica,cartorio da camara ecclesiastica,,,,,,,,,,,,
23.0,bebedeira,bebedo,Madeira,,,,,,,,,,,
24.0,escóla,Ólaré,Escorpião,,,,,,,,,,,
25.0,Critica,Critica do Brazil,Politica,,,,,,,,,,,
26.0,bocejo,bocejando,socega,Tejo,,,,,,,,,,
27.0,Title,Tito-Livio,,,,,,,,,,,,
28.0,impenitencia,Penitencia,,,,,,,,,,,,
29.0,tisica de larynge,tisica,Jardim de Lazaro,,,,,,,,,,,
30.0,Jure-me,Case-me,Parece-me,Lembre-me,,,,,,,,,,
31.0,Alcobaça,serra de Alcobaça,d'Alcobaça,Brito de Alcobaça,,,,,,,,,,
32.0,Santa da Arregassa,"santa da
Arregassa",,,,,,,,,,,,
33.0,Communicado,encommendar,Communa,Excommunhão,,,,,,,,,,
34.0,aquelle hombro santo,Aquelle,aquelle arsenal beato,aquelle,N'aquelle,n'aquelle,n'aquelle buraco,Aquelles,,,,,,
35.0,Nervoso,herva,hervas altas,hervas humidas,,,,,,,,,,
36.0,cardeaes,pardaes,Cardoso,,,,,,,,,,,
37.0,casa da S. Joanneira,S. Joanneira!,S. Joanneira,S. Joanneira e elle,S. Joanneira na Vieira,S. Joanneira comprehendeu,"S. Joanneira
tagarellava",,,,,,,
38.0,Cala-te,Fazia-te,Caligula,Calafates n.^o,Calas-te,,,,,,,,,
39.0,Arcada,anasarca,Carcavellos,,,,,,,,,,,
40.0,barra da cama,barra da cama:--_Amelia,barraca,,,,,,,,,,,
41.0,balbuciou,balbuciou elle,,,,,,,,,,,,
