cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,anda,Anda,Outra-Banda,Job,Anda-me,escandalo do jornal,Suspenda,,,,,,,,,,,,
1,Dois,l'Abbé,Bois,,,,,,,,,,,,,,,,
2,alegre,Vista-Alegre,telegrammas,legua,,,,,,,,,,,,,,,
3,Charonte,Ponte,Ponte Nova,posponto,UT,poz,Defronte,hontem,,,,,,,,,,,
4,d'Ourem,Ourem,Pimentel d'Ourem,côxo,,,,,,,,,,,,,,,
5,estrada da,estrada da Figueira,fazenda da,,,,,,,,,,,,,,,,
6,Succedeu,Successores,succumbiu,bom successo,succedia,Redemptor,,,,,,,,,,,,,
7,Divagava,Esfregava,socega,sôfrega,Tótó,,,,,,,,,,,,,,
8,Officio,Santo Officio,injustificavel offendeu,Officios do Moraes,,,,,,,,,,,,,,,
9,Hespanha,Espaçava,Japão,d'Hespanha,,,,,,,,,,,,,,,
10,Ella,Cancella Velha,Pobre d'ella,n'ella,Syllabus,Estrella,Janellas,Bella,Bruxellas,Ellas,,,,,,,,,
11,425|,Bonito,Diu,U.S.,bonito,Introito,Bonita,,,,,,,,,,,,
12,"santa da
Arregassa",Santa da Arregassa,Cortegassa,,,,,,,,,,,,,,,,
13,Padre,Ir,Madrid,Padre-Nossos,Padre-Mestre,Deus-Padre,,,,,,,,,,,,,
14,Peccado,sêcca,,,,,,,,,,,,,,,,,
15,Voltava,Gostava,Repastava,Instava,"cost and with
almost",,,,,,,,,,,,,,
16,"Habana
Valga-me",Repita-me,Algarve,Valsa,"Habana
Valga-me Dios",,,,,,,,,,,,,,
17,Deixal-a,Tel-a-heis!,Deixal-as,Casal-a,,,,,,,,,,,,,,,
18,Agasalha-te,Fazia-te,Agasalho,,,,,,,,,,,,,,,,
19,Sahia,sahia,Cahia-me,Bahia,,,,,,,,,,,,,,,
20,d'Evora,Evora,Sé d'Evora,,,,,,,,,,,,,,,,
21,rua do Norte,rua dos Condes,Snr,XXIV,tectos dos curraes,Mendes,rua da,Condes,rua dos Calafates,,,,,,,,,,
22,hostia redonda,hostias,don,hostia,cara redonda,Credo,Capujá,,,,,,,,,,,,
23,Redistribution,lêr,Districto,,,,,,,,,,,,,,,,
24,Estado,bêsta,d'Estado,Sêbo,Assustado,,,,,,,,,,,,,,
25,reliquia,Religião,Reliquia,,,,,,,,,,,,,,,,
26,Gertrudes,deserta,Gertrudinhas,aquella Gertrudes,,,,,,,,,,,,,,,
27,Ordenou-se,Cordeiro Paschal,d'ordens,,,,,,,,,,,,,,,,
28,Extremoz,Extrema-Unção,"La
Tremouille",mugiu,d'Extremoz,,,,,,,,,,,,,,
29,Baldeschi,Debalde,escóla,,,,,,,,,,,,,,,,
30,suffoca,suffocada,uff!_--Vá,petroleo suffocava,,,,,,,,,,,,,,,
31,Repetiu,petroleo,Republica,,,,,,,,,,,,,,,,
32,Morgadinho,Morgadinhos,Morgados,Morgadinho dos Poyaes,Morgado,Morgaditos,din,,,,,,,,,,,,
33,legião dos santos,Legião d'Honra,convivencia dos santos,,,,,,,,,,,,,,,,
34,Christo,christão,tristeza,Corpus-Christi,Bristol,Thus,Pobre de Christo!,réo,Commendador de Christo,,,,,,,,,,
35,Porta de Ouro,porta da taberna,banco da taberna,snr,Porta do inferno,"PORTO

LIVRARIA INTERNACIONAL DE ERNESTO CHARDRON",,,,,,,,,,,,,
36,Crime do Padre Amaro,padre Amaro,"Crime do
Padre Amaro","CRIME

DO

PADRE AMARO","CRIME

DO

PADRE AMARO




Obras","CRIME

DO

PADRE AMARO




I",CRIME DO PADRE AMARO *,,,,,,,,,,,,
37,gavetão,platafórma,latão,,,,,,,,,,,,,,,,
38,"National
Library of Portugal",Biblioteca Nacional de Portugal,em Portugal,Porto,importunára,Portugal,,,,,,,,,,,,,
39,Tremei,Treme-me,Tremer,Nemeia,,,,,,,,,,,,,,,
40,capellinha da Barrosa,Sobros,Barrosa vêr,Barrosa,Rosa,arrojando tunicas,Barrosa fallar á,Barroca,,,,,,,,,,,
41,Ameliasinha da S. Joanneira!,Ameliasinha da S. Joanneira,Ameliasita da S. Joanneira,saleta da S. Joanneira,Ameliasita da S. Joanneira mettida,Ameliasita,,,,,,,,,,,,,
42,Arcada,Cumiada,anasarca,Carcavellos,,,,,,,,,,,,,,,
43,Espero,Lausperenne,buxo,Especie,vesperas,,,,,,,,,,,,,,
44,bocejando,Vejam,Sejam,,,,,,,,,,,,,,,,
45,vinho de alto,Bairro Alto,baiuca,Bairro de David,chapéo alto,Bairrada,,,,,,,,,,,,,
46,terra,aterrado,Inglaterra,terra molle,serra,Tertiò,,,,,,,,,,,,,
47,"S.
Joanneira pacificadora","S.
Joanneira","S.
Joanneira!","S.
Joanneira:--Muito","S.
Joanneira.--Estás","Amelia da S.
Joanneira",Ouf,Joanna,"casa da S.
Joanneira!",,,,,,,,,,
48,Calvario,Calvario:--«,Breviario,canario,sacrario,alva,,,,,,,,,,,,,
49,homem.--Então,carne!--Então,Homens.--E,homem--_não,,,,,,,,,,,,,,,
50,Pinheiro,Vimeiro,Pinheiro deu-as,rouba,cueiro,,,,,,,,,,,,,,
