cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,Cemiterio,cemiterio da Villa,Cemitério,,,,,,,,,,,,,,,,
1,Capital,Capitulo,Hospital,Capitanea,Pitta,,,,,,,,,,,,,,
2,anda,Linda,vianda,Andar,Andamos,,,,,,,,,,,,,,
3,Douro,lucta d'ouro,Douro e Minho,Futuro,"alto pu-
nho dourado","d'Entre
Minho-e-Douro",Europa,,,,,,,,,,,,
4,Honra de Parede,Honra,Reden,,,,,,,,,,,,,,,,
5,Córtes,Côrtes,Córte,Córte do Ceu,Certesa,,,,,,,,,,,,,,
6,Aleaçova,Alcaçova,Aleac,leaçova,Alcaçova procurar,,,,,,,,,,,,,,
7,Melhor,ahiú vermelho,melhorára,,,,,,,,,,,,,,,,
8,Sor,Peitos,Feitos,Jeito,Acceitei,Vim,Heitosa,Denemeritos,,,,,,,,,,,
9,"cabeca
alta",Malta,,,,,,,,,,,,,,,,,
10,Hespanha,Hespanhas,Hespanhoes do Conde de Venavente,Ricos-Homens d'Hespanha,Companh,d'Hespanha,Espantado,,,,,,,,,,,,
11,Assembléa,Sem-,Desembucha,Assem-,Assembleia,cóas,botõe,"Assembleia da

Villa",,,,,,,,,,,
12,Josamente,Realmente,"ava

tensamente",Immediatamente,arrebatadamente,Infamemente,Languidamente,Jos,,,,,,,,,,,
13,Primo,"ro-

imo 5",opprime,,,,,,,,,,,,,,,,
14,Valverde,Verde,Cabo Verde,vergel,vermo,,,,,,,,,,,,,,
15,Vicente,Licença,S. Vicente,,,,,,,,,,,,,,,,
16,Domingo,Dominava,"Domin-
go",Poço de S. Domingos,Domingues,mingoa,Torre aos Domingos,,,,,,,,,,,,
17,Russo,Russia,d'Imperatriz da Russia,,,,,,,,,,,,,,,,
18,Sorte,Portella,Cortes,Norte,Flôr,Monforte,Côrte,Morte,,,,,,,,,,,
19,monte,Monte-,Estontea-,bre Montemor,Echo de Traz-os-Montes,Ponte,Hontem,Monte,Ponte...,Montemor,soccorro de Monte-mór,Defronte,Monte-Agora,,,,,,
20,Canta-Pedra,Cantapedra,ta-Pedra,pedregulhos d'oiro,,,,,,,,,,,,,,,
21,Ca-,Alca-,Calcanhar,,,,,,,,,,,,,,,,
22,Teixeira de Carredes,"Teixeira de
Carredes",Mamã,"r
ca",Carredes,urze,,,,,,,,,,,,,
23,Snr.º D. Rosa,Snr.º D. Maria,Snr.º,Snr.º D. Arminda,Snr.º D. Graça,,,,,,,,,,,,,,
24,Bisca,Biscainho,Durlesca,,,,,,,,,,,,,,,,
25,Diferen,Differença,Alferes,Alferes-Mór,Serena,pu,,,,,,,,,,,,,
26,Avellar,cabeço d'Avellan,Novella,Novelta,Novela,Novellasinh,s Capitulos da Novella,Cotovelo,vella,velludo,Novellas,Novella...,,,,,,,
27,Estado,Estacou,Deputado,Instado,,,,,,,,,,,,,,,
28,Accendeu,Tende,Tens,Arrendei,Mendes,vende,,,,,,,,,,,,,
29,Comedia,Sud-,Medieval,sc some,Gomes,comezaina,,,,,,,,,,,,,
30,arremettida,mette,metteu,Sé,Mette,,,,,,,,,,,,,,
31,boa velha,rua das Velhas,upa,"rua das so-
brancelhas",rua das Vendas,Rua,rua Velha,,,,,,,,,,,,
32,Cahe-,Aão,braão,d'Aão,pelaão,,,,,,,,,,,,,,
