cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,Cemiterio,cemiterio da Villa,Ministerio,Cemitério,Loteria,,,,,,,,,,,,,,
1,Capital,Capitulo,Hospital,Capitanea,Italia,Italianos,Pitta,,,,,,,,,,,,
2,anda,Linda,Landim,vianda,Candida,Andar,Miranda,Andamos,,,,,,,,,,,
3,arremettida,mette,metteu,Poemeto,Mette,,,,,,,,,,,,,,
4,botica,Justica,"botica
do Pires",botõe,,,,,,,,,,,,,,,
5,Sul,"Claro-
Sul",Sud-,Sur,do Sul,,,,,,,,,,,,,,
6,Aleaçova,Alcaçova,Aleac,leaçova,,,,,,,,,,,,,,,
7,Peitos,Feitos,Jeito,Brito,Ditosos,sequito,Heitosa,Gottoso,Denemeritos,,,,,,,,,,
8,Hespanha,Hespanhas,Hespanhoes do Conde de Venavente,Ricos-Homens d'Hespanha,Companh,d'Hespanha,"Espa-
nha n'uma pandega",Espa-,Espantado,,,,,,,,,,
9,Josamente,"ava

tensamente",Immediatamente,Vá,Effectivamente o Casco,Infamemente,Lamego,Languidamente,Jos,,,,,,,,,,
10,Cas,Magicas,Bocas,Cas-,Caso,Maricas,Pedagogicas,Casimiras,,,,,,,,,,,
11,Gago,Vidago,Gonzaga,Hospedaria do Gago,agonisava,"rapasola do
Gago",,,,,,,,,,,,,
12,Valverde,Verde,Verdade,Cabo Verde,vergel,vermo,,,,,,,,,,,,,
13,Domingo,Dominava,ing-,"Domin-
go",Poço de S. Domingos,Domingues,Inglez,Mi,mingoa,Torre aos Domingos,,,,,,,,,
14,Russo,Russia,d'Imperatriz da Russia,,,,,,,,,,,,,,,,
15,Sor,Sorte,Portella,Cortes,Norte,Monforte,Morte,,,,,,,,,,,,
16,monte,Monte-,Estontea-,bre Montemor,Echo de Traz-os-Montes,Monsieur,Ponte,"Carnet-Mon-
dan",Hontem,Monte,Montemor,soccorro de Monte-mór,Defronte,Monte-Agora,,,,,
17,lucta d'ouro,lucta,Club,,,,,,,,,,,,,,,,
18,Canta-Pedra,Cantapedra,ta-Pedra,,,,,,,,,,,,,,,,
19,Sr-,"ir-
mã",Ir-,Sr,,,,,,,,,,,,,,,
20,Honra de Parede,ladeira de S. Bento,Teixeira de Carredes,"Teixeira de
Carredes",Carredes,,,,,,,,,,,,,,
21,Governo Civil,"Go-

verso Civil","Governo
Civil","Governo

 

 

ado",Governo,Mover-,Governo Civil de bracos,"Go-

 

verso Civil",Governo Ci-,,,,,,,,,,
22,Snr.º D. Rosa,Snr.º D. Maria,Snr.º D. Arminda,Snr.º D. Graça,,,,,,,,,,,,,,,
23,do Japão,Japão,,,,,,,,,,,,,,,,,
24,Pharmacia,Nympha,D. Garcia,Diplomacia,pharol,,,,,,,,,,,,,,
25,Avellar,cabeço d'Avellan,Novella,Novelta,Novela,Novellasinh,Novecenios,s Capitulos da Novella,Cotovelo,vella,"Nove-

    

la",Nove-,velludo,Novellas,Novella...,,,,
26,Estado,Estirado,Estacou,Deputado,Instado,,,,,,,,,,,,,,
27,pas-,Bas-,As-,"pas-

nada",pasmava,Pas-,"pas-
sadas semanas",Has-de,,,,,,,,,,,
28,Snr,Snr.º,"lagar do
Snr",Sna,10 Snr,,,,,,,,,,,,,,
29,boa velha,rua das Velhas,"rua das so-
brancelhas",rua das Vendas,Í,rua Velha,,,,,,,,,,,,,
30,Aão,Souão,Fuião,d'Aão,pelaão,,,,,,,,,,,,,,
31,Branca,Francezes,Brancaór,Brincando,Lancava,Hotel Branca,Brancas,Franca,candura branca,,,,,,,,,,
32,melania,lanôa,zenia,!,melancholia,Lusitania,,,,,,,,,,,,,
33,Ladeado,esgaseado,Esgaseado,Sea,,,,,,,,,,,,,,,
34,Sem-,Desembucha,Semana,Assem-,—,Semsabor,Nem,,,,,,,,,,,,
35,"ra-
pina",Fina,Final-,ponta fina,China,Etelvina,comezaina,,,,,,,,,,,,
36,Imagin,vindima,lagrimas,Imagina,Imagens,,,,,,,,,,,,,,
37,valle estreito,valle,valle de Oriente,Medieval,"valle
da Rosa","Valle ess

esso",Val-,valla,Valle de Josaphat,"valle
de",fresco valle,valle surde,valle muito fundo,,,,,,
38,Abalou,balou-,abalára,balburdia,,,,,,,,,,,,,,,
39,santos,Santo,Santos,Santo-,Santo Deus,sa antiga,Villa Real de Santo Antonio,Ai Santo,Santo Estevam,,,,,,,,,,
40,Accusa,Céo accusa,Alegrias Accusa,,,,,,,,,,,,,,,,
41,Pinheiro,souto de azinheiros,Bufarinheiro,Conselheiro,"sequito

louvaminheiro",,,,,,,,,,,,,,
42,graveêa,AVE,Avenida,Avers,Traves,Avesinha,Ave-Maria,Ave-,d'Haveria,,,,,,,,,,
43,Cura,Ura,Procurador,urze,Curamba,Alcaçova procurar,Mouras,,,,,,,,,,,,
44,Santa,"Santa Rosa
de Lima",Santa Inteira,"Santa Ma-
ria",Santa Thereza,"Santa Al-

 

donça",Constantinopla,Santa Recebia,"Santa
Parecia",Santa Theresa,Santa Aindaça,Santa Irm,Santa Íreneia,"pos-
santa do Titó",phantasia,Santa Clara,"Santa
Cha",Santa Ma-,Santa Parecia
45,Leonez,Leoneses,Baroneza,,,,,,,,,,,,,,,,
46,Tres,Trez,patrõa Pires,Tremidos,Mares,resoou,Londres,,,,,,,,,,,,
47,Diferen,Differença,Alferes,Alferes-Mór,,,,,,,,,,,,,,,
48,Almoiovar,Almocei,Almodovar,Almofada,varzea,,,,,,,,,,,,,,
49,Ataque,Aquellas,aquella romantica,"Caval-
Aquella guedelha de trovador",Aquella,jaquetão,n'aquelle,Aquelle,n'aquelle medo d'outubro,n'aquella beira,N'aquelle,d'Aquilat,aquella rumorosa,n'aquella nova,aquella grande fidalga,aquelle,aquella Fé,,
50,vilhena de seára,boina de marfim,Officina de s. José,pera de S. João,Officina,,,,,,,,,,,,,,
51,claustro,Claustro,AUSTERA,,,,,,,,,,,,,,,,
52,"cabeca
alta",Cascaes,Cahe-,Bisca,Casca,Moscatel,carrascão,Casco,sc,"r
ca",Toca,Durlesca,"tauxeado

Mascara",U Casco,,,,,
53,d'Historia,"Minist-
rio Historico",Historia,d'Arte Historica,rio Historico,"quasi
prehistorica","Historia
«Herculano",gloria,His-,ava a velhissima historia da castellã,quasi historica,,,,,,,,
54,Marcelina do Independente,Marcelina do INDEPENDENTE,Independente d'Oliveira,,,,,,,,,,,,,,,,
55,Jornaes,Annaes,jornaes,,,,,,,,,,,,,,,,
56,Porta-,Porto,"Porta-

guedes","Porta-
sal",Condado Porta-,,,,,,,,,,,,,,
57,Urgia,Santa Energia,Andar de Santa Energia,Perras de Santa Energia,"Santa
Energia",Santa-energia,Castello de Santa Energia,Torre de Santa Energia,"Honra
de Santa Energia","em Portugal
Perras de Santa Energia!",,,,,,,,,
58,pac,upa,acaci,Pacien-,Paiz,,,,,,,,,,,,,,
59,Novembro,Setembro,Dezembro,,,,,,,,,,,,,,,,
60,Gazeta,Banqueta,"tanque-
te",tanque redondo,,,,,,,,,,,,,,,
61,Côrtes,Flôr,Certesa,Côrte,,,,,,,,,,,,,,,
62,Pagem,Paços d'Margem,Margem,"Mariquinhas
Margem",Jã,Margens,,,,,,,,,,,,,
63,Reino,"be-
guino",Reinos,Bernardino,Reino p,,,,,,,,,,,,,,
64,Es,Es-,Paes-,es,ES,alpes,Escute,Jesuita,vessou,Esteves,Cloves,Gomes,esguio,Clêves,Silves,,,,
65,Douro,Douro e Minho,"Governador das Armas d'Entre-
Douro e Minho","alto pu-
nho dourado","d'Entre
Minho-e-Douro",,,,,,,,,,,,,,
66,canço,Can-,Canh,Calcanhar,cannaviaes,,,,,,,,,,,,,,
67,Tambem,Zambezia,Tam-,"Vidrinhos
tambem",,,,,,,,,,,,,,,
68,moeiros,Désteiro,Mosteiro,Reposteiro-Mór,Fronteiro,Mosteiro de Risadas,Mosteiro de Craquêde,"Mosteiro de
Recadoães",mosteiro de Lordão,mosteiro de Recadoães,lameiros,,,,,,,,
69,Fleurs de L,bocas de sanguesugas,guesugas,Ninguem,Minas de Salomão,,,,,,,,,,,,,,
70,casal do Miranda,Oh,"Casal do
Miranda",carvalheiras do Casal No-,,,,,,,,,,,,,,,
71,Açôo,Aço,Paço,Paço com o Snr,Açor,buço,"Açor ne-
gra","Paço
manuelino",Açodado,,,,,,,,,,
72,Torre Videirinha,Videirinha,bocirinha,Mibeirinha,Immediatamente Videirinha,Videirinha...,Videirinha adeantou,,,,,,,,,,,,
73,Bravae,tufava,Vae,Bravissimo,Bravacs,Bravaes,Levava,Bravas,José Casco dos Bravaes,bravio,,,,,,,,,
74,Panoplia,Pano,Panorcuna,Panorama,Hymno,"Pano-
rama",,,,,,,,,,,,,
75,Bispo de Coimbra,Coimbra,Coimbra...,Alcaçar de Coimbra,Coimbra Antoninho Morena,,,,,,,,,,,,,,
76,mascula,ascumas,damasco,Umas,,,,,,,,,,,,,,,
77,tro da Bica-Santa,Bica-Santa...,Bica-Santa,Bica Santa,"Bica

 

Santa",,,,,,,,,,,,,,
78,Cordão,Perdão,Além-Cordão,Lordão,,,,,,,,,,,,,,,
79,Egreja das Meninas,Minas,Meninas,menineira,Athenas,Jamparinas,Pequenina,,,,,,,,,,,,
80,Moçtabique,Manrique,Explique,Henriques,Ourique,,,,,,,,,,,,,,
81,"Penedo

 

da Saudade",Penedo,Ajudado,Saudade,Deão da Sé,,,,,,,,,,,,,,
82,Córtes,Córte,Córte do Ceu,cóxa,,,,,,,,,,,,,,,
83,Sôólha,Sólha,Soólha,Sóôlha,,,,,,,,,,,,,,,
84,socega,Socega,socego,Socegae,,,,,,,,,,,,,,,
85,Palacete,palacete dos Barrólos,Palacio,Palacete dos fidalguissimos Barrólos,Palaeio,Palacete inaccessivel,Palavras,,,,,,,,,,,,
86,Rebate,Bater,arrebatadamente,,,,,,,,,,,,,,,,
87,Juizo,A Reliquia,aguiar,Guiomar,Aguiar,Guimarães,,,,,,,,,,,,,
88,Imperatriz,Imperio,Limpa,peri,Imperioso,,,,,,,,,,,,,,
