cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,Cemiterio,cemiterio da Villa,permitte,Temerario,Ministerio,Cemitério,Denemeritos,,,,,,,,,,,,,,,
1,Capital,"cabeca
alta",Capitulo,Hospital,Capitanea,Italia,Pitta,Fita,,,,,,,,,,,,,,
2,anda,Linda,Landim,Animada,"Carnet-Mon-
dan",Jejando,vianda,Candida,Andar,Miranda,Andamos,Lenda,fenda,Jouvando,,,,,,,,
3,Il,Silvas,Ceilão,Galiléa,familia,d'Abril,Tiló,,,,,,,,,,,,,,,
4,Córtes,Cortes,Côrtes,Córte,Córte do Ceu,cóxa,Certesa,F,,,,,,,,,,,,,,
5,botica,Justica,"botica
do Pires",botõe,,,,,,,,,,,,,,,,,,
6,Sul,"Claro-
Sul",Sud-,Sur,MULTID,do Sul,,,,,,,,,,,,,,,,
7,Aleaçova,Alcaçova,leaçova,Alcaçova procurar,varzea,,,,,,,,,,,,,,,,,
8,Peitos,Feitos,Jeito,Brito,Ditosos,sequito,Heitosa,,,,,,,,,,,,,,,
9,Hespanha,Hespanhas,Ricos-Homens d'Hespanha,punhaes,d'Hespanha,"Espa-
nha n'uma pandega",Espa-,Cunhaes,,,,,,,,,,,,,,
10,Josamente,"ava

tensamente",Immediatamente,Effectivamente o Casco,arrebatadamente,Infamemente,Languidamente,Jos,,,,,,,,,,,,,,
11,Praga,agarrára,Gago,goa,Gonzaga,fraga,Go-,Agonias,agonisava,"rapasola do
Gago","Pagar-
rou",,,,,,,,,,,
12,Valverde,Verde,Verdade,Mover-,Cabo Verde,Herdal,derriba,veridico,Paços de Severim,vermo,,,,,,,,,,,,
13,Vicente,Recesvinto,Violante,Hotel Central,Nascente,Licença,Vicio-,S. Vicente,,,,,,,,,,,,,,
14,Domingo,Dominava,ing-,"Domin-
go",Poço de S. Domingos,Domingues,Inglez,mingoa,Torre aos Domingos,Ninguem,,,,,,,,,,,,
15,monte,Monte-,Estontea-,bre Montemor,Monforte,Ponte,Hontem,Monte,Montemor,soccorro de Monte-mór,Defronte,Monte-Agora,,,,,,,,,,
16,Terreiro da Louv,lomba do cerro,Terreiro do Paço,terreiro da Honra,Terreiro da Louco,chão do Terreiro,João ferreiro,Terreiro,Terreiro da Louça,"sequito

louvaminheiro",Terreiro da Loucas,,,,,,,,,,,
17,Canta-Pedra,Cantapedra,ta-Pedra,,,,,,,,,,,,,,,,,,,
18,Sr-,"ir-
mã",Ir-,Sr,for-,,,,,,,,,,,,,,,,,
19,Governo Civil,"Go-

verso Civil","Governo
Civil","Governo

 

 

ado",Governo,Governo do S. Fui-,Governo Civil de bracos,"Go-

 

verso Civil",Governo Ci-,,,,,,,,,,,,,
20,Craquêde,Crêde,Craquéde,Craquéêde,Mosteiro de Craquêde,Craquede,,,,,,,,,,,,,,,,
21,Diferen,Differença,Alferes,Alferes-Mór,,,,,,,,,,,,,,,,,,
22,Avellar,Novella,Novelta,Novela,Novellasinh,Novecenios,s Capitulos da Novella,Cotovelo,vella,"Nove-

    

la",Nove-,velludo,Novellas,Novella...,,,,,,,,
23,Estado,Estirado,Pestana,d'estanho,Deputado,Bastardo,Espantado,Instado,,,,,,,,,,,,,,
24,pas-,Bas-,"pa

 

Mas",As-,"pas-

nada",Paes-,pasmava,Pas-,"pas-
sadas semanas",Has-de,Paschoal,Paiz,,,,,,,,,,
25,Accendeu,Tende,Tens,Marcelina do Independente,Te-Deum,Dentes,Arrendei,Mendes,vende,Marcelina do INDEPENDENTE,Independente d'Oliveira,,,,,,,,,,,
26,"S. Fui-

 

genio",S. Fulgeneio,"Governo do S. Fui-

genio",S. Fui-,,,,,,,,,,,,,,,,,,
27,Snr,Snr.º,Sna,10 Snr,,,,,,,,,,,,,,,,,,
28,boa velha,rua das Velhas,la-Velhas,"rua das so-
brancelhas",rua das Vendas,"Milhares da
Sophia",chamma alta da vela,rua Velha,Duas Mil Virgens,Capelas da Batalha,,,,,,,,,,,,
29,Aão,Souão,Fuião,braão,d'Aão,pelaão,,,,,,,,,,,,,,,,
30,Branca,Can-,Francezes,Brancaór,Brincando,Arrancou,canceira d'ensinar,Hotel Branca,Brancas,Franca,candura branca,,,,,,,,,,,
31,Ladeado,esgaseado,Esgaseado,guesugas,,,,,,,,,,,,,,,,,,
32,"ra-
pina",Fina,Officina de s. José,Final-,ponta fina,China,Etelvina,Officina,Cortina,Bernardino,collina,,,,,,,,,,,
33,Magicas,Imagin,vindima,lagrimas,Imagina,Imagens,,,,,,,,,,,,,,,,
34,valle estreito,valentias,valle,valle de Oriente,"valle
da Rosa","Valle ess

esso",Val-,valla,Valle de Josaphat,"valle
de",Alerta,fresco valle,valle surde,valle muito fundo,,,,,,,,
35,Abalou,Choupal,balou-,abalára,balburdia,,,,,,,,,,,,,,,,,
36,santos,Santo,Santos,Santa,Santo-,Santo Deus,sa antiga,Sinto,Ai Santo,Santo Estevam,"Santa
Cha",,,,,,,,,,,
37,Accusa,Sacudia,Céo accusa,Alegrias Accusa,,,,,,,,,,,,,,,,,,
38,graveêa,AVE,Avenida,Avers,Traves,Ave-Maria,Ave-,d'Haveria,,,,,,,,,,,,,,
39,Vagarosas,agua limosa,Murtosa,Rosa,"Santa Rosa
de Lima",Temerosa,rossio,Rossilho,Pros-,Prosa,,,,,,,,,,,,
40,io Duarte,Poemeto do Tio Duarte,cérca do Seminario Novo,Tio Duarte,Vocabulario de Bluteau,"alto pu-
nho dourado",Poemeto,Bazar do Asylo Novo,,,,,,,,,,,,,,
41,Ataque,Aquellas,aquella romantica,"Caval-
Aquella guedelha de trovador",Aquella,jaquetão,n'aquelle,Aquelle,n'aquelle medo d'outubro,n'aquella beira,N'aquelle,d'Aquilat,aquella rumorosa,n'aquella nova,aquella grande fidalga,aquelle,aquella Fé,,,,,
42,bom Regenerador,Regenerador,Centro Regenerador,Enfiado,Regeneradores,generadores,Regedor,Centro Regenerador da Couraça,los Regeneradores,,,,,,,,,,,,,
