cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0.0,Bispo,Bispos,Paço do Bispo,Bispo...,"Emfim

 

do Bispo",,,,,,,,,,,,,,,
1.0,Costa,Costa Oriental,Resposta,,,,,,,,,,,,,,,,,
2.0,Estado,Instado,Estacou,Deputado,,,,,,,,,,,,,,,,
3.0,Barrolo,Barrolinho,Barroólo,marroquim,Barrolica,,,,,,,,,,,,,,,
4.0,Ramires,"Torre de
Ramires",Lourenço Ramires,"Hoste Real
Lourenço Ramires",Casa de Ramires,Altoça Ramires,Paio Ramires,RAMIES,"RAMIRES

Belleza",Prado dos Ramires,Velha casa de Ramires,Tructezindo Ramires,"Paio Ramires

Põe",Gramilde,,,,,,
5.0,Gonçalo,"l

Gonçalo",d'onde Gonçalo,"Camaras

 

Gonçalo",D. Gonçalo,"Torre

 

Gonçalo",Conçalo,Gonçalão,"Gonça-
lo",Gonçalo optimo,"Gonça-
Tenho",,,,,,,,,
6.0,"pa

impaciencia",Limpa,Pacien-,pac,,,,,,,,,,,,,,,,
7.0,carapu,caracolando,Carcere-Rebro,Caramba,"tauxeado

Mascara","Carnet-Mon-
dan",Caro,,,,,,,,,,,,,
8.0,Joaquim da Porta,"Joaquim da
Copa",Joaquim da Horta,ponte da Portella,Joaquim da Porta noticias dos senhores,,,,,,,,,,,,,,,
9.0,Fidalgo da Torre,Fidalgo da Torre des,"Fidalgo da Torre es
tella","Es

ção do Fidalgo da Torre",Olha o Fidalgo da Torre,"Fidalgo da
Torre","Fidalgo
da Torre",Deão da Sé,"Fidalgo da Torre es
tella de repente",Flor da Torre,Fidalgo da Torre chegára,Poço da Esquecida,"Fidalgo da Tor-
re",jardim da Torre,,,,,,
10.0,Santa Maria de Craquéde,Santa Maria de Craquede,Santa Maria de Craquêde,"Santa
Maria de Craquéde",Santa Maria de Cra-,Santa Maria,"cabo de
Santa Maria",,,,,,,,,,,,,
11.0,Margem,Margens,Paços d'Margem,"Mariquinhas
Margem",Pagem,,,,,,,,,,,,,,,
12.0,Santa Direita,"Santa
Direita!",Santa Direita!,Direita,Paço de Santa Direita,Torre de Santa Direita,Alcova de S.ta Direita,Paços de Santa Direita,"Santa
Direita",Solar de Santa Direita,Senhor de Santa Direita,Castello de Santa Direita,Senhorio de Santa Direita,Santa-Direita,Honra de Santa Direita,,,,,
13.0,veigas,veigas do Monêgo,,,,,,,,,,,,,,,,,,
14.0,Córte,Córte do Ceu,Córtes,,,,,,,,,,,,,,,,,
15.0,Sud-,Sud-Express,,,,,,,,,,,,,,,,,,
16.0,quasi historica,d'Arte Historica,Quasi,"quasi
prehistorica",rio Historico,Rhetorica,,,,,,,,,,,,,,
17.0,Cavado,Riba-Cavado,derriba,Riba-Cõa,"Riba-
Cavado",,,,,,,,,,,,,,,
18.0,Manches Lucena,"Snr.º
D. Anna Lucena",Lucena,Sanches Lucena,Manches Lucena!,"Manches
Lucena",,,,,,,,,,,,,,
19.0,Pharmacia,Diplomacia,pharol,Nympha,,,,,,,,,,,,,,,,
20.0,"Rico-
Homem",Rico Homem,"Nosso Se-
hor",,,,,,,,,,,,,,,,,
21.0,V'além castello Landim,Castello,Castello de Santa Prendia,Castello Affonso,castellão,Castela,Castello de Peronne,"castello de
Duello",Castelhano,castello de prôa,"Castello
serviçaes",Castella,castellã,Castellos,"castello
formoso",Castello de Santa Inteiro,,,,
22.0,Fínis,Tunis,,,,,,,,,,,,,,,,,,
23.0,nellas,Della,es della,"Honra de
Canellas",canellas,Ha n'ella,bagatellas,nella,,,,,,,,,,,,
24.0,Concelho,Concelhos,Concelho da Villa,,,,,,,,,,,,,,,,,
25.0,pudicicia,Policia,Vicio-,caricias,,,,,,,,,,,,,,,,
26.0,do Japão,Japão,,,,,,,,,,,,,,,,,,
27.0,agarrára,pagára,"Pagar-
rou",Gonzaga,"lagar do
Snr",,,,,,,,,,,,,,,
28.0,rabear,Arabes,cear,,,,,,,,,,,,,,,,,
29.0,Almodovar,Almofada,Almoiovar,Almocei,,,,,,,,,,,,,,,,
30.0,Pas-,pasmava,"pas-
sadas semanas","pas-

nada",pas-,Paschoal,,,,,,,,,,,,,,
31.0,Gra-,grata,"ra-
pina",Ra-,,,,,,,,,,,,,,,,
32.0,mette,Mette,arremettida,metteu,,,,,,,,,,,,,,,,
33.0,Bisca,Biscainho,Pintainho,Durlesca,,,,,,,,,,,,,,,,
34.0,tanque redondo,escadaria redonda,"tanque-
te",Torre Redonda,Banqueta,,,,,,,,,,,,,,,
35.0,Imperio,Imperioso,Imperatriz,peri,,,,,,,,,,,,,,,,
36.0,"Conselhos do
Banco Hypothecario",pedregulhos d'oiro,Banco Hypotheca-,,,,,,,,,,,,,,,,,
37.0,Arcada,lajedo da Arcada,Encharca,,,,,,,,,,,,,,,,,
38.0,Pereira Brazileiro,Brazil,Pereira Brasileiro,Brazileiro,,,,,,,,,,,,,,,,
39.0,Tende,Accendeu,vende,Tens,Arrendei,Mendes,,,,,,,,,,,,,,
40.0,Vossa,Vossê,Vossé,Crassa,ssa,,,,,,,,,,,,,,,
41.0,Bom Samaritano...,Bom Samaritano,,,,,,,,,,,,,,,,,,
42.0,Branca,Brancas,Hotel Branca,Brancaór,Lancava,Francezes,candura branca,Franca,,,,,,,,,,,,
43.0,bengalão,Ceilão,bengalinha,,,,,,,,,,,,,,,,,
44.0,Villa-Clara,Villa Clara,"Villa-
Clara",Deputado de Villa-Clara,la-Clara,Hospital de Villa Clara,,,,,,,,,,,,,,
45.0,Affonso,Affonsina,Affon-,,,,,,,,,,,,,,,,,
46.0,Dona,Donas,Rica-Dona,,,,,,,,,,,,,,,,,
47.0,claustro,AUSTERA,Claustro,,,,,,,,,,,,,,,,,
48.0,As-,Bas-,Has-de,Cas-,,,,,,,,,,,,,,,,
49.0,lapides,desola,resoou,Camisola,"rapasola do
Gago",Mertola,Solar,,,,,,,,,,,,,
50.0,"banco de
pedra",banco de pedra,,,,,,,,,,,,,,,,,,
51.0,Pará,Paris,Jamparinas,Parou,,,,,,,,,,,,,,,,
52.0,Ainda de Santa,Convento de Santa,convento de S. Bento,Convento de Santa Bra-,Senhor de Santa,Convento de Santa-Brigida de Oliveira,convento de Santa Thereza,Convento de Franciscanos,"convento de Santa
Cha",convento de S. Domingas,Conviviam,"U Bento de
wazida",,,,,,,,
53.0,Precis-,Precis,pre,,,,,,,,,,,,,,,,,
54.0,Tripoli,Politico,"Politi-
ca",Politica,Politica Colonial,Cavaleiro dentro da Politica,Criticos,,,,,,,,,,,,,
55.0,Principe,Princeza,Principes da Christandade,,,,,,,,,,,,,,,,,
56.0,Matheus,Torre de S. Matheus,Athenas,,,,,,,,,,,,,,,,,
57.0,Duas,Duas Mil Virgens,,,,,,,,,,,,,,,,,,
58.0,Fidalgo,Ai o Fidalgo,fidalguia,"Fi-
dalgo",Ai meu Fidalgo,Algés,chapéo do Fidalgo,Fidalguia,,,,,,,,,,,,
59.0,Primo,opprime,"ro-

imo 5",lagrimas,,,,,,,,,,,,,,,,
60.0,Jerusal,Jer,Sala,,,,,,,,,,,,,,,,,
61.0,Ponte,monte,Monte,Echo de Traz-os-Montes,Defronte,Monte-,Montemor,Monte-Agora,Hontem,bre Montemor,Estontea-,soccorro de Monte-mór,Ponte...,,,,,,,
62.0,baptisado,Sensibilisado,,,,,,,,,,,,,,,,,,
63.0,Palestina,Estive,Pelestina,Estirado,,,,,,,,,,,,,,,,
64.0,Mendonça,Tremendo,Marias Mendonças,Mendonças,alo Mendo,Mendonç,,,,,,,,,,,,,,
65.0,Arcos,Barco,D. Garcia,,,,,,,,,,,,,,,,,
66.0,perola,Perola,,,,,,,,,,,,,,,,,,
67.0,"Ent

Pallido",Pallido,,,,,,,,,,,,,,,,,,
68.0,Sancharia,Sanches,Winchester,Manchester,Arronches,Manches,,,,,,,,,,,,,,
69.0,Couraça,Mouras,Centro» da Couraça,,,,,,,,,,,,,,,,,
70.0,Libertava,labutava,Alerta,Praça da Liberdade,,,,,,,,,,,,,,,,
71.0,Andar,anda,Linda,vianda,Andamos,,,,,,,,,,,,,,,
72.0,Aquelle,d'Aquilat,n'aquelle,n'aquella beira,aquelle,N'aquelle,n'aquella nova,n'aquelle medo d'outubro,,,,,,,,,,,,
73.0,Transe-,transpoz,,,,,,,,,,,,,,,,,,
74.0,d'Imperatriz da Russia,Russia,Russo,,,,,,,,,,,,,,,,,
75.0,Manhã,Alemanha,úmanhã,ámanhã,Manh,Amanhã,áúmanhã,,,,,,,,,,,,,
76.0,tristeza,Ouviste,Tristio da Cunha,triste:—«As,,,,,,,,,,,,,,,,
77.0,Sr. Doutor,S. Do-,Doutor,,,,,,,,,,,,,,,,,
78.0,"Governador
dré Cavalleiro",U Cavalleiro,Cavalleiro,braço do Cavalleiro,cavalleiro,Cavaleiro,André Cavaleiro,Natal o Cavalleiro,Cavalleiros,Cavalleiros de Santa,"Ca-
cavalleiro!",Cavalleiro-,"Ca-

ralleiro","Ca-
cavalleiro",d'este Cavalleiro,,,,,
79.0,Peccadores,Pecado,Recadoães,Pec,,,,,,,,,,,,,,,,
80.0,"Egreja dos Bra-
vaes",Egreja,"Egreja de S.
Bento",Egreja de S. Christoão,Egre-,alegre,Egrejinha,Egreja da Belleza,,,,,,,,,,,,
81.0,Rebolava,Rebolou,,,,,,,,,,,,,,,,,,
82.0,canço,Can-,"An-
dré",cannaviaes,man-,Canh,,,,,,,,,,,,,,
83.0,Thessalonica,arcebispo de Thessalonica,Chronica,,,,,,,,,,,,,,,,,
84.0,Ribeira-,Ribeira,Ribeira sobre a rude,Ribeira do Coice,Ribeirinha,"Ribeira
do Coiee",RIBEIRO,"ribeira de
Crêde",,,,,,,,,,,,
85.0,Barrólo,Barrólos,bom Barrólo,róla,Barrólinho,,,,,,,,,,,,,,,
86.0,Excellencias,são delle,"a
elle!",elle,vae elle,ria elle,Belleza,d'elle,,,,,,,,,,,,
87.0,boina de marfim,Officina de s. José,Paiz,pera de S. João,Officina,vilhena de seára,ladeira de S. Bento,,,,,,,,,,,,,
88.0,"anci

ge do Largo",Larga,lages,lages do Largo,"lages do
pateo",Largo,,,,,,,,,,,,,,
89.0,Titulo,Beatitude,Virtude,,,,,,,,,,,,,,,,,
90.0,Fabrica de Vidros,Fabrica,d'Abril,,,,,,,,,,,,,,,,,
