cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
-1,us,"L.60,000",Henry,Dovetap,Manon,Leeds,Queensferry,Oxford,Glanville,natureé,Tattersall,GLASGOW,wi,Fife,Jacob,the arbour,Itself,Geranium,Monsieur D’Ambereau
0,Limerick,rich~,,,,,,,,,,,,,,,,,
1,Canada,quad-,,,,,,,,,,,,,,,,,
2,Holyrood,Holyrood House,,,,,,,,,,,,,,,,,
3,june-,United,,,,,,,,,,,,,,,,,
4,London,LONDON,,,,,,,,,,,,,,,,,
5,Agnes,Agnes.,,,,,,,,,,,,,,,,,
6,"Agnes
Dunbar",Agnes Dunbar,,,,,,,,,,,,,,,,,
7,Dunbar,Unbar,,,,,,,,,,,,,,,,,
8,"room,—a",Romeo,,,,,,,,,,,,,,,,,
9,Agrippina,Caroline,Spain,Providence,Finden,Edinburgh,inn,china,,,,,,,,,,,
10,Rosemount Villa,Rosemount,,,,,,,,,,,,,,,,,
11,Melton,Portobello,,,,,,,,,,,,,,,,,
12,IRRITATION,Great Britain,Britain,,,,,,,,,,,,,,,,
13,Paris,Kilmarnock,Marion,,,,,,,,,,,,,,,,
14,Laugh,Saul,,,,,,,,,,,,,,,,,
15,"earth,—by",Dearest,"heart,—and",,,,,,,,,,,,,,,,
16,Charles,Bibles,,,,,,,,,,,,,,,,,
17,Argyleshire,Yorkshire,Argyloshire,,,,,,,,,,,,,,,,
18,Beaujolie,beaux,Seabeach,,,,,,,,,,,,,,,,
19,Abbey,Hebe,,,,,,,,,,,,,,,,,
20,ST,"St
John’s Lodge",,,,,,,,,,,,,,,,,
21,St Cecilia,Australia,,,,,,,,,,,,,,,,,
22,Scorn,Corner,,,,,,,,,,,,,,,,,
23,"Louis De
Crespigny","Corner De
Crespigny",,,,,,,,,,,,,,,,,
24,Louis de Cries-,Louis,,,,,,,,,,,,,,,,,
25,Highland,England,Ireland,,,,,,,,,,,,,,,,
26,Shetland,SCOTLAND,Scotland,,,,,,,,,,,,,,,,
