cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
0.0,Agrippina,china,,,,
1.0,Caroline,Beaujolie,beaux,Seabeach,Monsieur D’Ambereau,
2.0,St Cecilia,Australia,,,,
3.0,IRRITATION,Great Britain,Britain,Spain,rich~,
4.0,London,"earth,—by",Finden,Dearest,"heart,—and",
5.0,"room,—a",Holyrood,Holyrood House,,,
6.0,Shetland,SCOTLAND,Scotland,,,
7.0,Highland,England,Glanville,GLASGOW,Ireland,
8.0,Providence,"Louis De
Crespigny",Louis de Cries-,Louis,,
9.0,Dunbar,Agnes,Agnes.,"Agnes
Dunbar",Unbar,Agnes Dunbar
10.0,Scorn,"Corner De
Crespigny",Corner,,,
11.0,Argyleshire,Yorkshire,Argyloshire,,,
12.0,Charles,Bibles,,,,
13.0,Limerick,Rosemount Villa,Tattersall,Rosemount,,
14.0,LONDON,Paris,Kilmarnock,Marion,,
