cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,wi,"L.60,000",,,,,,,
1,Marion,Kilmarnock,Manon,Paris,,,,,
2,Argyleshire,Bibles,Argyloshire,Charles,Yorkshire,,,,
3,Limerick,Romeo,rich~,,,,,,
4,Britain,IRRITATION,Spain,Great Britain,Itself,,,,
5,Corner,Geranium,Scorn,Jacob,Oxford,Tattersall,,,
6,quad-,Queensferry,Leeds,Henry,,,,,
7,Melton,London,Dovetap,LONDON,,,,,
8,us,Holyrood House,Holyrood,,,,,,
9,England,Scotland,Highland,SCOTLAND,Ireland,GLASGOW,Shetland,,
10,Finden,Providence,Fife,,,,,,
11,Canada,Edinburgh,Agrippina,china,Caroline,inn,natureé,,
12,Louis,"Louis De
Crespigny","Corner De
Crespigny",Louis de Cries-,,,,,
13,Monsieur D’Ambereau,Beaujolie,Hebe,Laugh,Portobello,Saul,beaux,Seabeach,Abbey
14,"St
John’s Lodge",Dearest,ST,St Cecilia,Australia,,,,
15,Agnes.,Agnes,june-,,,,,,
16,"earth,—by","room,—a",the arbour,"heart,—and",,,,,
17,Rosemount,Glanville,Rosemount Villa,,,,,,
18,Unbar,United,"Agnes
Dunbar",Agnes Dunbar,Dunbar,,,,
