cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,Charles,Jacob,"St
John’s Lodge",Bibles,Canada,,,
1,Finden,quad-,Queensferry,St Cecilia,Kilmarnock,china,,
2,England,GLASGOW,Highland,Ireland,Glanville,,,
3,Holyrood,"room,—a",Fife,Leeds,us,Holyrood House,,
4,Saul,Providence,Caroline,Melton,Agrippina,London,,
5,Louis de Cries-,the arbour,rich~,"Louis De
Crespigny",Louis,,,
6,"Agnes
Dunbar",Marion,Agnes.,Unbar,Dunbar,Agnes Dunbar,ST,Agnes
7,Spain,Britain,Geranium,IRRITATION,Great Britain,,,
8,Tattersall,Rosemount,Romeo,"L.60,000",,,,
9,"heart,—and",inn,Dearest,"earth,—by",Rosemount Villa,,,
10,Oxford,LONDON,Abbey,Hebe,wi,United,,
11,Limerick,Manon,june-,Dovetap,,,,
12,Itself,Paris,Australia,,,,,
13,SCOTLAND,Shetland,natureé,Scotland,,,,
14,Argyleshire,Edinburgh,Argyloshire,Yorkshire,,,,
15,Seabeach,Portobello,beaux,Beaujolie,Monsieur D’Ambereau,,,
16,Henry,Scorn,"Corner De
Crespigny",Laugh,Corner,,,
