cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Charles,Argyleshire,Dearest,Bibles,Argyloshire,"L.60,000",Yorkshire,,
1,Holyrood,"room,—a",Caroline,Romeo,Holyrood House,,,,
2,LONDON,Melton,London,,,,,,
3,Henry,quad-,Queensferry,Fife,Leeds,,,,
4,Limerick,Marion,Manon,IRRITATION,Paris,Kilmarnock,,,
5,Itself,Spain,Britain,Great Britain,Dovetap,,,,
6,"heart,—and","earth,—by",the arbour,wi,,,,,
7,"Agnes
Dunbar",Unbar,Dunbar,Agnes Dunbar,United,,,,
8,St Cecilia,Australia,ST,us,,,,,
9,Seabeach,Saul,Abbey,Hebe,Portobello,Laugh,beaux,Beaujolie,Monsieur D’Ambereau
10,Providence,Rosemount,Rosemount Villa,Glanville,,,,,
11,Tattersall,Oxford,Jacob,Scorn,Geranium,Corner,,,
12,Louis de Cries-,"St
John’s Lodge","Corner De
Crespigny","Louis De
Crespigny",Louis,,,,
13,Agnes.,june-,Agnes,,,,,,
14,England,GLASGOW,Highland,Ireland,SCOTLAND,Shetland,Scotland,,
15,Edinburgh,Finden,inn,Agrippina,rich~,natureé,china,Canada,
