cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
-1,Caroline,june-,"L.60,000",Henry,Dovetap,Leeds,United,Queensferry,Laugh,Oxford,Glanville,Edinburgh,natureé,Dearest,Saul,Tattersall,GLASGOW,wi,Fife,Melton,Jacob,the arbour,Portobello,Itself,Geranium,Monsieur D’Ambereau
0,Agrippina,Spain,inn,china,,,,,,,,,,,,,,,,,,,,,,
1,Providence,Finden,,,,,,,,,,,,,,,,,,,,,,,,
2,IRRITATION,Great Britain,Britain,,,,,,,,,,,,,,,,,,,,,,,
3,Manon,Paris,Kilmarnock,Marion,,,,,,,,,,,,,,,,,,,,,,
4,Beaujolie,beaux,Seabeach,,,,,,,,,,,,,,,,,,,,,,,
5,Abbey,Hebe,,,,,,,,,,,,,,,,,,,,,,,,
6,Highland,England,Ireland,,,,,,,,,,,,,,,,,,,,,,,
7,Shetland,SCOTLAND,Scotland,,,,,,,,,,,,,,,,,,,,,,,
8,Rosemount Villa,Rosemount,,,,,,,,,,,,,,,,,,,,,,,,
9,"earth,—by","heart,—and",,,,,,,,,,,,,,,,,,,,,,,,
10,ST,"St
John’s Lodge",,,,,,,,,,,,,,,,,,,,,,,,
11,us,St Cecilia,Australia,,,,,,,,,,,,,,,,,,,,,,,
12,Charles,Bibles,,,,,,,,,,,,,,,,,,,,,,,,
13,Argyleshire,Yorkshire,Argyloshire,,,,,,,,,,,,,,,,,,,,,,,
14,Scorn,Corner,,,,,,,,,,,,,,,,,,,,,,,,
15,"Louis De
Crespigny","Corner De
Crespigny",,,,,,,,,,,,,,,,,,,,,,,,
16,Louis de Cries-,Louis,,,,,,,,,,,,,,,,,,,,,,,,
17,"room,—a",Romeo,,,,,,,,,,,,,,,,,,,,,,,,
18,London,LONDON,,,,,,,,,,,,,,,,,,,,,,,,
19,Holyrood,Holyrood House,,,,,,,,,,,,,,,,,,,,,,,,
20,"Agnes
Dunbar",Agnes Dunbar,,,,,,,,,,,,,,,,,,,,,,,,
21,Dunbar,Unbar,,,,,,,,,,,,,,,,,,,,,,,,
22,Agnes,Agnes.,,,,,,,,,,,,,,,,,,,,,,,,
23,Canada,quad-,,,,,,,,,,,,,,,,,,,,,,,,
24,Limerick,rich~,,,,,,,,,,,,,,,,,,,,,,,,
