cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,Capital,"cabeca
alta",Capitulo,Hospital,Pittas,Capitanea,Italia,Italianos,Pitta,,,,,,,,,,,,,,,,
1,anda,Fandar,randa,Linda,Védor da Fazenda,Animada,bandós on-,Jejando,vianda,Andar,Miranda,Andamos,Lenda,fenda,Jouvando,,,,,,,,,,
2,Córtes,Cortes,Córte,Córte do Ceu,Certesa,,,,,,,,,,,,,,,,,,,,
3,mette,metteu,Mette,,,,,,,,,,,,,,,,,,,,,,
4,Sul,"Claro-
Sul",Sud-,do Sul,,,,,,,,,,,,,,,,,,,,,
5,Aleaçova,Alcaçova,Aleac,leaçova,Alcaçova procurar,Jide leal,,,,,,,,,,,,,,,,,,,
6,Pinhal,"vi-
sinhança",azinhaga,nhal,Môrzinha,Rôtinhas,sedinha,Calçadinha,"pi

rigão de malha",ecaldinho de gallinha,Calcadinha,Alboins,,,,,,,,,,,,,
7,Hespanha,Hespanhas,Ricos-Homens d'Hespanha,d'Hespanha,"Ilespa-
nha n'uma pandega heroica",Ilespa-,d'Fespanha,,,,,,,,,,,,,,,,,,
8,Valverde,Verde,Valverde a Craquéde,Verdade,Cabo Verde,Vaiverde,erever,vermo,,,,,,,,,,,,,,,,,
9,Vicente,Violante,Poente,Nascente,Licença,Esente,Enternecido,intencão,S. Vicente,,,,,,,,,,,,,,,,
10,Domingo,Dominava,"Domin-
go",Poço de S. Domingos,Domingues,Inglez,mingoa,Torre aos Domingos,Gom,,,,,,,,,,,,,,,,
11,monte,Monte-mór,Monte-,Estontea-,bre Montemor,Monforte,Monge,Ponte,Hontem,Monte,Montemor,soccorro de Monte-mór,Defronte,,,,,,,,,,,,
12,Canta-Pedra,Cantapedra,valle de Canta-Pedra,ta-Pedra,,,,,,,,,,,,,,,,,,,,,
13,Sr-,"ir-
mã",Sr,,,,,,,,,,,,,,,,,,,,,,
14,Teixeira de Carredes,"Teixeira de
Carredes","ribeira de
Crêde",Tecedeiras,Carredes,,,,,,,,,,,,,,,,,,,,
15,Governo Civil,"Governo
Civil","Governo

 

 

ado",Governo,Governo do S. Ful-,"Go-

verno Civil","Governo
bafou",Governo Civil de bracos,Governo Ci-,,,,,,,,,,,,,,,,
16,lucta,sta,Resposta,Pestana,d'estanho,Bastardo,Costa,Désta,Costa Oriental,,,,,,,,,,,,,,,,
17,Craquêde,Crêde,Craquéde,Craquéêde,Mosteiro de Craquêde,Craquede,,,,,,,,,,,,,,,,,,,
18,Novella,Novela,Novellasinh,Novel-,Avellans,Novecenios,s Capitulos da Novella,vella,Vellas,Novellas,Novella...,,,,,,,,,,,,,,
19,Estado,Estirado,Affoutado,tauxeado,Escusados,Deputado,Espantado,Instado,,,,,,,,,,,,,,,,,
20,entre,Entra,Hotel Central,& Central,Centro,genchra,Centro» da Couraça,Entrudo,,,,,,,,,,,,,,,,,
21,Accendeu,Tende,Samoras de Cendute,Tens,Te-Deum,Hotel Mondego,Vendeia,Denzia,Arrendei,Mareolino do INDEPENDENTE,Mendes,Marcolino do Independente,Independente d'Oliveira,,,,,,,,,,,,
22,Corin-,Acor,Monaco,Corõa,Acolá,F,Cortiga,,,,,,,,,,,,,,,,,,
23,sachristão,Egreja de S. Christovão,Christo,Christãos,Principes da Christandade,triste:—«As,tristeza,Nida de Christo,Christovam,Christãs,,,,,,,,,,,,,,,
24,Realmente,"ava

tensamente",Real,Egualmente,Hoste Real,Naturalmente,Regimento,,,,,,,,,,,,,,,,,,
25,Magicas,Imagin,vindima,lagrimas,Imagina,Imagens,,,,,,,,,,,,,,,,,,,
26,valle estreito,valentias,valle,Fallam,Val-,valla,"valle
da Riosa",Gallo,Valle de Josaphat,"valle
de",Alerta,valle surde,"jale-
ca",luva,Calle,valle muito fundo,,,,,,,,,
27,"Açor ne-
gro",n96,Açor negro,,,,,,,,,,,,,,,,,,,,,,
28,alegre,Egre-,gre,Egreja,"re-
cuae",Re-,Arega,,,,,,,,,,,,,,,,,,
29,AVE,Avenida,Alcaide d'Aveyras,Aveyras,Ave-Maria,Ave-,Sacavem,,,,,,,,,,,,,,,,,,
30,santos,Murtosa,Santo,Santos,Jantámos,Nevtosa,Ai Santo,Duzentos,Deanto,,,,,,,,,,,,,,,,
