cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0.0,Capital,Hospital,Capitanea,,,,,,,,,,,,,,,,,,,
1.0,anda,Fandar,randa,vianda,Andar,Andamos,,,,,,,,,,,,,,,,
2.0,Douro,Douro e Minho,Futuro,"alto pu-
nho dourado","d'Entre
Minho-e-Douro",luncta d'ouro,Europa,"peor
desdouro",,,,,,,,,,,,,,
3.0,Córtes,Córte,Córte do Ceu,Certesa,,,,,,,,,,,,,,,,,,
4.0,mette,metteu,Mette,,,,,,,,,,,,,,,,,,,
5.0,Corin-,theori,Corinde,,,,,,,,,,,,,,,,,,,
6.0,Galliza,Galiléa,Gallo,idyllio,ecaldinho de gallinha,,,,,,,,,,,,,,,,,
7.0,Aleaçova,Aleac,leaçova,,,,,,,,,,,,,,,,,,,
8.0,"cabeca
alta",Malta,cabeliei,,,,,,,,,,,,,,,,,,,
9.0,gorda,Geral da Corda,Gor,,,,,,,,,,,,,,,,,,,
10.0,Hespanha,Hespanhas,Hespanhoes do Conde de Venavente,Ricos-Homens d'Hespanha,Companh,d'Hespanha,d'Fespanha,Espantado,,,,,,,,,,,,,,
11.0,Videir,Jeir,Vide,Videira,Videi,Duvido,,,,,,,,,,,,,,,,
12.0,Josamente,singelament,"ava

tensamente",Immediatamente,Effectivamente o Casco,arrebatadamente,Infamemente,"Torre

 

 

vagar

 

samente",Languidamente,Hirtamente,Jos,Supplementar,,,,,,,,,,
13.0,MLESTRE,Trez,ULESTRE,,,,,,,,,,,,,,,,,,,
14.0,Cas,Acaso,Brocas,Drancas,,,,,,,,,,,,,,,,,,
15.0,Condado Portu-,"Condado Portu-
calense",,,,,,,,,,,,,,,,,,,,
16.0,Chefe do Districto,Aucloridade do Districto,Districto do,Chefe,Districto,Chete do Districto,,,,,,,,,,,,,,,,
17.0,Valverde,Verde,Cabo Verde,Manhi ea Verde...,Vaiverde,vermo,,,,,,,,,,,,,,,,
18.0,Vicente,Poente,Licença,Esente,Enternecido,S. Vicente,,,,,,,,,,,,,,,,
19.0,Domingo,Dominava,"Domin-
go",Poço de S. Domingos,Domingues,Inglez,mingoa,Torre aos Domingos,,,,,,,,,,,,,,
20.0,Sor,Sorte,Portella,Cortes,Norte,Monforte,Morte,,,,,,,,,,,,,,,
21.0,Canta-Pedra,Cantapedra,pedra d'uma,valle de Canta-Pedra,ta-Pedra,,,,,,,,,,,,,,,,,
22.0,Teixeira de Carredes,"Teixeira de
Carredes",Carredes,,,,,,,,,,,,,,,,,,,
23.0,Governo Civil,"Governo
Civil","Governo

 

 

ado",Governo,Governo do S. Ful-,"Go-

verno Civil","Governo
bafou",Governo Civil de bracos,Governo Ci-,,,,,,,,,,,,,
24.0,Snr.º D. Rosa,João,Snr.º D. Maria,Snr.º,Snr.º D. Arminda,Snr.º D. Graça,,,,,,,,,,,,,,,,
25.0,do Japão,Japão,,,,,,,,,,,,,,,,,,,,
26.0,Molle,terra molle,ponta molle da orelha,molle,,,,,,,,,,,,,,,,,,
27.0,Peitosa,Murtosa,Jeito,Nevtosa,Acceitei,Vomito,Feitosa,Feitosn,Heitosa,,,,,,,,,,,,,
28.0,cabeço d'Avellan,Novella,Novela,Novellasinh,Novel-,Avellans,Novecenios,s Capitulos da Novella,vella,Novellas,Novella...,,,,,,,,,,,
29.0,Estado,Affoutado,Deputado,Instado,,,,,,,,,,,,,,,,,,
30.0,incendio do Pala-,Crime do Padre Amaro,"incendio do Pala-
cio",,,,,,,,,,,,,,,,,,,
31.0,entre,Entra,Hotel Central,& Central,Entrudo,,,,,,,,,,,,,,,,,
32.0,"Conselhos do
Banco Hypothecario",Banco Hypotheca-,Conselheiro,,,,,,,,,,,,,,,,,,,
33.0,Esposende,Accendeu,Tende,Tens,Vendeia,Arrendei,Mendes,intencão,,,,,,,,,,,,,,
34.0,remocava,Lancava,Toca,Beliscava,Polyphemo,,,,,,,,,,,,,,,,,
35.0,canaviaes,ciaes,Offorccia,Setiaes,,,,,,,,,,,,,,,,,,
36.0,Snr,"lagar do
Snr",10 Snr,,,,,,,,,,,,,,,,,,,
37.0,"loriga de ma-
lha","toa-
lha","pi

rigão de malha",bozina de marfim,,,,,,,,,,,,,,,,,,
38.0,Mordomo-mór da Curia,"Notarios
da Curia",Mordomo-Mór,eomo,Clerigo da Curia,,,,,,,,,,,,,,,,,
39.0,arcebispo de Thessalonica,Thessalonica,,,,,,,,,,,,,,,,,,,,
40.0,Acor,Corõa,Acolá,Paco,,,,,,,,,,,,,,,,,,
41.0,Transfe-,Trans-,Coronel Trancoso,,,,,,,,,,,,,,,,,,,
42.0,sachristão,Egreja de S. Christovão,Christo,Chro-,Christãos,Nida de Christo,Christovam,Christãs,,,,,,,,,,,,,,
43.0,Realmente,Real,Egualmente,Naturalmente,,,,,,,,,,,,,,,,,,
44.0,Imagin,Imagina,Paiz,Imagens,,,,,,,,,,,,,,,,,,
45.0,valle estreito,valle,"Calle ess

esso",Val-,"valle
da Riosa",Valle de Josaphat,"valle
de",valle surde,Calle,valle muito fundo,,,,,,,,,,,,
46.0,Vocemecê,Vocês,,,,,,,,,,,,,,,,,,,,
47.0,Cama-,Ma-,camalho,"Cama-
ras",,,,,,,,,,,,,,,,,,
48.0,santos,Santo,Santos,Santo Estevam de Gu-,Santo Deus,Villa Real de Santo Antonio,Ai Santo,Deanto,,,,,,,,,,,,,,
49.0,"Afri-
ca...",Ri-,"r
ca","jale-
ca",,,,,,,,,,,,,,,,,,
50.0,Choupal,upa,,,,,,,,,,,,,,,,,,,,
51.0,Ulha,Julho,bulhas,mergulhava,,,,,,,,,,,,,,,,,,
52.0,"Açor ne-
gro",Açor negro,Açor,cova negra,,,,,,,,,,,,,,,,,,
53.0,AVE,Avenida,Ave-,Sacavem,,,,,,,,,,,,,,,,,,
54.0,Moreno,"Anto-
ninho Moreno",Serra Morena,,,,,,,,,,,,,,,,,,,
55.0,Santa Aidonça,Santa,"Santa Rosa
de Lima","Santa Ma-
ria","Santa Al-

 

donça",Bica Santa,"Bica

 

Santa",Santa Barbara,phantasia,Santa Clara,"Santa
Cha",Santa Ma-,"Santa
Irencia",,,,,,,,,
56.0,Leonez,Leoneses,Baroneza,,,,,,,,,,,,,,,,,,,
57.0,Vagarosas,Rosa,Temerosa,Severosa,Bruxas,Prosa,tenebrosa,hRosa,,,,,,,,,,,,,,
58.0,D. Garcia,Urcia,,,,,,,,,,,,,,,,,,,,
59.0,Semanario,Semana,Extraordinario,canar,Seminario,,,,,,,,,,,,,,,,,
60.0,Graca,Gra-,graca tatal,acaci,Praca,abraca,"graca dos
tremitos d'aza",,,,,,,,,,,,,,,
61.0,Crispola,Crispola...,,,,,,,,,,,,,,,,,,,,
62.0,lheres,Differença,Alferes,Alferes-Mór,Alfere,,,,,,,,,,,,,,,,,
63.0,Almoiovar,Almocei,Vi-,Almodovar,Lova,,,,,,,,,,,,,,,,,
64.0,Ataque,Aquellas,aquella romantica,"Caval-
Aquella guedelha de trovador",Aquella,jaquetão,n'aquelle,Aquelle,N'aquelle,n'aquella nova,aquella grande fidalga,aquelle,aquella Fé,,,,,,,,,
65.0,Officina de s. José,pera de S. João,Officina,,,,,,,,,,,,,,,,,,,
66.0,pas-,Bas-,As-,Cas-,Has-de,"pas-

zada",,,,,,,,,,,,,,,,
67.0,canço,Can-,man-,,,,,,,,,,,,,,,,,,,
68.0,Politico,Politica Colonial,Politica,Criticos,"Politi-
ca",,,,,,,,,,,,,,,,,
69.0,Cascaes,Casca,Casco,Mascate,,,,,,,,,,,,,,,,,,
70.0,"ro-

imo 5","fertili

ima",Alerta,Tiló,,,,,,,,,,,,,,,,,,
71.0,Annae,Annaes,,,,,,,,,,,,,,,,,,,,
72.0,Minas,Dusinas,Pirmina,Jamparinas,Minas de Salomão,,,,,,,,,,,,,,,,,
73.0,Ilistoria,d'Historia,Historia,d'Arte Historica,rio Historico,"quasi
prehistorica",Histor,"Ministe-
rio Historico",Fictoria,quasi historica,,,,,,,,,,,,
74.0,Jornaes,jornaes,Major,,,,,,,,,,,,,,,,,,,
75.0,Lacrada,Adail,grbssa pocirada,,,,,,,,,,,,,,,,,,,
76.0,Torr,Torre!,torre:—e Titó,Torre...,Torres,Corre,Torre,Correu,Morrendo,Torre iluminára,torre d'Almenara,"Torre

do cache-nez",ma Torre,"Torre pa
coração",Porre,,,,,,,
77.0,Urgia,Durguezia,largueza dos campos,Denzia,Freguezia,Zambezia,,,,,,,,,,,,,,,,
78.0,Sôólha,Sólha,Sevilha,Soólha,,,,,,,,,,,,,,,,,,
79.0,surdia,Sur,Misericordia,balburdia,,,,,,,,,,,,,,,,,,
80.0,Post-Scriptum,Post- Seriptum,,,,,,,,,,,,,,,,,,,,
81.0,Con-,bandós on-,Congo,Conviviam,,,,,,,,,,,,,,,,,,
82.0,Reino,Reinos,vein,Rei,Reino p,,,,,,,,,,,,,,,,,
83.0,N'outro,,,,,,,,,,,,,,,,,,,,,
84.0,Pittas,Tas,Pitta,,,,,,,,,,,,,,,,,,,
85.0,apa-,"capa-

chapou",,,,,,,,,,,,,,,,,,,,
86.0,Pereira da Riosa,Pereira da Riosa...,Figueira da Voz,poeira da lide,Pereira da Rios,"Pereira
da Riosa",,,,,,,,,,,,,,,,
87.0,Désteiro,Mosteiro,Reposteiro-Mór,mosteiro de Lorvão,Mosteiro de Craquêde,"re-
posteiro",,,,,,,,,,,,,,,,
88.0,Vêde,Crêde,Veêde,,,,,,,,,,,,,,,,,,,
89.0,Condessa de Chellas,triampho dessa mi-,Snr.º Condessa de Chellas,,,,,,,,,,,,,,,,,,,
90.0,casal do Miranda,Agasalhem,"Casal do
Miranda",Miranda,carvalheiras do Casal No-,,,,,,,,,,,,,,,,,
91.0,"Claro-
Sul","ro-
mavia",Claro-Sol,,,,,,,,,,,,,,,,,,,
92.0,Estirado,festi,Destino,Estive,,,,,,,,,,,,,,,,,,
93.0,Justica,"Po-
liítica",Justiça,Política,,,,,,,,,,,,,,,,,,
94.0,Torre Videirinha,Videirinha,bocirinha,boeirinha,Mibeirinha,Immediatamente Videirinha,Videirinha...,Videirinha adeantou,,,,,,,,,,,,,,
