cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,Julho,Ulha,trebalha,mergulhava,Palha-Cã,assoalhar,bulhas,,,,,,,,,,,,,,,,,
1,"Condado Portu-
calense","jale-
ca",Condado Portu-,,,,,,,,,,,,,,,,,,,,,
2,Post- Seriptum,Post-Scriptum,Cáú,,,,,,,,,,,,,,,,,,,,,
3,Rosa,Rossilho,Prosa,tenebrosa,hRosa,Vagarosas,Severosa,Ro,Formosa,Temerosa,,,,,,,,,,,,,,
4,Rebolou,bou,Rebolava,Mitholog,,,,,,,,,,,,,,,,,,,,
5,ciaes,Setiaes,Urcia,Offorccia,canaviaes,D. Garcia,,,,,,,,,,,,,,,,,,
6,Esgaseado,esgaseado,asseteado,Sea,tauxeado,,,,,,,,,,,,,,,,,,,
7,Ba,balsão,Rebate,Baza-,Bar-,Balsas,barbeava,bahu,Bari,Abalou,Machumba,abalára,Bardo,,,,,,,,,,,
8,N'outro,Troia,n'outro,,,,,,,,,,,,,,,,,,,,,
9,Tavira,Digodeira,Videira,caldeira,Tecedeiras,Vide,Picadeiro,Duvido,Videi,Madeira,bigodeira,Videir,,,,,,,,,,,,
10,"be-
guino",beguino,"viscira er-
guida",Borguinhão,,,,,,,,,,,,,,,,,,,,
11,pu,Puxou,puz,Populaça,,,,,,,,,,,,,,,,,,,,
12,Gago,Iospedaria do Gago,Vidago,agonisava,"rapasola do
Gago",Gagô,agoa do regato,,,,,,,,,,,,,,,,,
13,Castanheiro,Castanheiro Patrioti-,Castanhei,"com-
panheiro","Castanheiro Patrioti-

nheiro",Pinheiro,,,,,,,,,,,,,,,,,,
14,El-Rei,El-rei Dom Affon-,El-Rey,"Guião
d'El-Rey",El-rei,Fl-Rei,El-Rei Fer-,,,,,,,,,,,,,,,,,
15,Ribeirinha,"ribeira de
Crêde",Ribeira,Ribeira do Coice,"Ribeira
do Coiee",Ribe-,Ribeira sobre a rude,Hibeibinha,,,,,,,,,,,,,,,,
16,bom Titó,Titó,Uh,immenso Titó,Titô,Titulo,braco do Titó,"Titó
descess",,,,,,,,,,,,,,,,
17,Leoneses,ES,Escute,Cloves,Redacções,resoou,Es,vessou,es,Philippes,Clêves,Silves,Jesuina,Es-,,,,,,,,,,
18,Guede,Advogue,guedelha,Ninguem,,,,,,,,,,,,,,,,,,,,
19,Aguiar,Guiomar,Guião,Guimarães,anguio,Juizo,esguio,,,,,,,,,,,,,,,,,
20,Idéa,"fr

idéa de ferias","Idéa

 
  

incolheu",aldéa,idéa,,,,,,,,,,,,,,,,,,,
21,S. E,S. Es,S.,Costa que S. Es,S. Do-,S. Gun-,,,,,,,,,,,,,,,,,,
22,Mendonças,Mendonça,Marias Mendonças,Mendoncç,Mundo,,,,,,,,,,,,,,,,,,,
23,Policia,Deliciosos,Polyphemo,"polici
tam",pudicicia,,,,,,,,,,,,,,,,,,,
24,Reparti,Reparti-,,,,,,,,,,,,,,,,,,,,,,
25,Vicente,S. Vicente,Nascente,Enternecido,accrescentava,Esente,Poente,Licença,,,,,,,,,,,,,,,,
26,collete,Colera,Collares,"collete de seda p'
tou",Molle,collina,collegio,molle,,,,,,,,,,,,,,,,
27,Ma,Major,"ro-
mavia",Gamas,mma,Malta,Rematou,Mafoma,Mamã,Mata,man-,Poema,"Mariquinhas
Marges","Mada-

 

 

ma",mattagal,Ma-,"pa

 

Mas",pasmava,,,,,,
28,d'Imperatriz da Russia,Imperatriz,Russia,,,,,,,,,,,,,,,,,,,,,
29,Annae,Annaes,,,,,,,,,,,,,,,,,,,,,,
30,Bragança,Braganças,Praga,Braganca,Hotel Braganca,Hotel Bragança,,,,,,,,,,,,,,,,,,
31,Chafariz,"Chafariz

 

 

mir sagrado !",Largo do Chafariz,,,,,,,,,,,,,,,,,,,,,
32,relusia,lusidia,Us,A Reliquia,,,,,,,,,,,,,,,,,,,,
33,Terreiro da Louça,Terreiro da Loutas,Terreiro da Louci,terreiro da Honra,Terreiro da Loug,Louças,,,,,,,,,,,,,,,,,,
34,Auctoridade,Acto,Auctoridades,Productores,Authoridade,Auctoridade Superior,,,,,,,,,,,,,,,,,,
35,elle,sos são delle,Blle,Velleda,Excellencias,n'aguelle,ria elle,d'elle,bellez,"a
elle!",clle,,,,,,,,,,,,,
36,Estado,Affoutado,Deputado,Estirado,Instado,,,,,,,,,,,,,,,,,,,
37,extasi,quasi,quasi consenti-,Quasi,Duas,,,,,,,,,,,,,,,,,,,
38,Teixeira de Carredes,"Teixeira de
Carredes",Carredes,,,,,,,,,,,,,,,,,,,,,
39,Bom Samaritano,Bom Samaritano...,,,,,,,,,,,,,,,,,,,,,,
