cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,pne—ﬁlledîscrèie,Cérès,"ﬁlle,-il",maitre‘sse—ﬁlle,,,,,,,,,,,,,
1,Sommes,Hommes,ﬁèVI‘e,nimes,jh’,"mes-;,il",Hummel,,,,,,,,,,
2,Ève,ls’,s’ha—,nève,Vlu,ÈVE,,,,,,,,,,,
3,singulière—,lalumièrel,hou1ge01s,re—,premièreçfois,Brièresdﬁ,F1‘au,débu—,,,,,,,,,
4,lysaitl,t823,Essaie,srÈctn,ravis‘sait,".-_-.,-",,,,,,,,,,,
5,prenez—,pren—,Apprenez,Venez,Où prendras-tu,,,,,,,,,,,,
6,gouverne—,Gouvernement,se'trouver,Vernie‘il,Vernon,é1=,,,,,,,,,,,
7,Tes,Légitimistes,certesépou—,,,,,,,,,,,,,,
8,serv1r,obser—,Servir,,,,,,,,,,,,,,
9,Cha—,chat—-,Chaulieu,Charité s’,Où,char—,abbe,nonchalani—,chauf—,,,,,,,,
10,Peuple,peut—,Spleen,,,,,,,,,,,,,,
11,Est,m‘en,l’Est,demestiqù_o,Qu‘est,,,,,,,,,,,,
12,Nucingen,cmgen,s’,vingt—sept,t‘ros',Nucin-,ubélunä,,,,,,,,,,
13,soli—,Li—,Famjtié,négli—,ychbré,expli—,Beli—,,,,,,,,,,
14,jardin Bergmann,Jardin des Plantes,Bergmaun,jardi—,,,,,,,,,,,,,
15,jç,la cohési0n,la Comtoise,la Scala,Hésilé,LA conrsssn,la Comté,,,,,,,,,,
16,promp—,promè—,prome—,tromperqu’,Borromécs,Romy,,,,,,,,,,,
17,de Besançon,Besançon,thçon,cathédrale de Besançon,Rhône,"com-
merce de Besançon",expliquerBesançon,A Besançr.tn,,,,,,,,,
18,Eugeênie,Bugey,Euge‘nie,Sidonie,Es,Al_—,,,,,,,,,,,
19,Sans,Ansbach,passans,Rnpt,,,,,,,,,,,,,
20,répu—,républi—,répétâ,Républiquey,,,,,,,,,,,,,
21,-—- x1n,—- Non,—- JérAme,—- Fitte,,,,,,,,,,,,,
22,tror_s,impatroni,Lu-,trom—,trou—,M0—,,,,,,,,,,,
23,Lovelace,Ga-,etdela,vieux Lovelacc,Lovelacc,Love-,"lac
’",,,,,,,,,,
24,parve—,para—,aupara—,carac—,Paradis,arra—,Clichy,,,,,,,,,,
25,domi—,fémi—,lumi—,ja—,,,,,,,,,,,,,
26,Cité,Divinité,Cité sauts ton pien hz‘1‘euæ tc,,,,,,,,,,,,,,
27,Basse—du—Rempart,rue Basse—du—Rempart,,,,,,,,,,,,,,,
28,"Belgirate,'moﬁ",He,belvcdèrc,Belgirate,Belgirele,Belgiratè,Bèlglrate,,,,,,,,,,
29,j‘en,réel—,intel—,excel—,,,,,,,,,,,,,
30,Savarùs,Savarus,SAVARU5,Sàvarus,,,,,,,,,,,,,
31,Ar0ier,"lac
'arec‘uuè pierre au cou !",calier,Vierge,Arcier,,,,,,,,,,,,
32,mar—-,Marre,Cimarosa,marco,regar—,car—-,appar—,remar—,,,,,,,,,
33,Saint—,Saintes—Céciles,Lekain,Saint—Germain,Saint—Jean,rue Saint—Lazare,Saint des Saints—Il,Saint—Lazare,Saint—Martin,Sainte—Hélène,Saint—Hérem,,,,,,
34,a—,quetre,Ghapitre,s’être,Tre Monasteri,cepte,treiill’asauvæ.-,Utrecht,entre—,,,,,,,,
35,ascen—,vien—,ven—,cena,cend,immen—,dépen—,,,,,,,,,,
36,Mon—,i’,demon—,Monvel,Grâccs,remon—,promon—,monu—,,,,,,,,,
37,conju—,condot—,confrotcrnrté,convul—,,,,,,,,,,,,,
38,passage Sandrié,"sage,—","Re,—",lez,Visages,,,,,,,,,,,,
39,Qual'pianto,pantou—,Quaïﬁi,Ghantonnit,,,,,,,,,,,,,
40,Neuve,peuvent—,au.-,rue Neuve,,,,,,,,,,,,,
41,Nu—,magni—,mu—,garni—,magniﬁ—,crai‘gnit,,,,,,,,,,,
42,Jura,Q.dand',Andantez,,,,,,,,,,,,,,
43,Aumilieude,Folie,Lelmobilier,Emilio,,,,,,,,,,,,,
44,circons—,cons—,consi—,vous‘consumez,E,consti—,consulta—,O-,consis—,,,,,,,,
45,écri—,sacriﬁé,Sacriﬁé,,,,,,,,,,,,,,
46,Baoul',"Baoul,_la",BaoulNa-,,,,,,,,,,,,,,
47,Tràhit,Vienne,vienne,Quotidienne,uu,Çome‘die,Sicitienne,profund mienne,ennemisou,Bouirienne,Ht,Ila11enne,Itàlienne,médienne,,,
48,mademoiselle,Juan,mademoi—,Mesdemoiselles,,,,,,,,,,,,,
49,.,Wattevilla,deWatteville,Wattevilie,atteville;éæièntr‘emplis,Wàtteville,Wattevill‘e,Wattnvillc,maison Watteville,Wat—,Watteville,Wattevillc,Wattevitlv,Wattovillc,Wattevilleimagina,Walteville,
50,pous—,Voussawz,yous,,,,,,,,,,,,,,
51,Fl-ncle'nÿ Malgré,Cercle,Fl-ncle'nÿ,Bâle',t‘ût,,,,,,,,,,,,
52,Egypan,Modinier,Téniers,Mariniers,Virginie,,,,,,,,,,,,
53,Atheriallu-olmroher,Pbui'uni,Atheriallu,allu—,,,,,,,,,,,,,
54,moteur—,giteuql,parfaite—,Moniteur,titeﬂ,,,,,,,,,,,,
55,diplo—,Ï,employer—,Dijon,Moyen-,Gymnase,,,,,,,,,,,
56,Lecon—,Con—,el,répon—,rencon—,I,con—.,fécon—,®,décon—,,,,,,,
57,de Saxe,Saxe,"vieux
Saxe",,,,,,,,,,,,,,
58,néces—,déses—,exces—,,,,,,,,,,,,,,
59,ARGAIOLO,Argaiolo,d’,VlMERGATI,,,,,,,,,,,,,
60,rage de conﬁer,conﬁer,conﬁance,Conﬁez,,,,,,,,,,,,,
61,comtesse de Granville,comtesse de Van—,comtesse de Mont—,comtesse de Van—-,comtesse de Vande-,courtesse de Grawille,,,,,,,,,,,
62,aus-—,faussementaccusè,faus—,enfauee,because,,,,,,,,,,,,
63,calom—,accom—,hom—,l’,raccom—,com—-,,,,,,,,,,,
64,ve1rai,Serais,Marais,déraison—,,,,,,,,,,,,,
65,comtessse,comtessey,Lyon,comtesse,ohf !,"comtesse de
Granville",Comté,Comtois,Comtesse,“ Comtesse,Àlbért,,,,,,
66,résolu—,déso—,Mu,réso—,déso‘béira,So—,,,,,,,,,,,
67,Masse].,Chasseur étin—,Massol,Iiasses,assem—,Masse,,,,,,,,,,,
68,Mairie,Brie,Briinnen,Gulhrie,Célébrité,,,,,,,,,,,,
69,Schwilz,Elschoet,Sels,,,,,,,,,,,,,,
70,simpliﬁer,ﬁe’,Simplon,simple—,,,,,,,,,,,,,
71,si—,visi—,,,,,,,,,,,,,,,
72,Grande Chartreuse,Chartreuse,"le,.rilberl u.ruis.le Général des Chartreux",hehreus‘e‘soirée,"Chartreuse des
Bouxey",Grande-Chartreuse,Grande—Chartreuse,,,,,,,,,,
73,d’Etat,Etat,- -.-,,,,,,,,,,,,,,
74,plusdis—,dis—-,dispu—,,,,,,,,,,,,,,
75,Normandie,manège,déman—,Allemand,deman—,Be1gmann,Maman,,,,,,,,,,
76,gand,Gandohuhini,Gandolphini,s‘a‘handonna‘it,,,,,,,,,,,,,
77,tourmen—,amours—,touj‘ours’,Ursiui,Bourse,costu—,,,,,,,,,,,
