cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0.0,Dilet,l‘Ile,Sieilet,,,,,,,,,,,,,,
1.0,Glisinbre-h’ai—ja pas prononcés,lèbre,j’ai Ïñi',Donc,,,,,,,,,,,,,
2.0,l‘imagi—,imaginétionsde,agiotagc,Magistrature,L‘i',,,,,,,,,,,,
3.0,"-

— Sois","- —
A",,,,,,,,,,,,,,,
4.0,Vandenesse,Vandènesse,nesse,Vandene‘sse,ho—,Vabdenesse,Vandenessse,Vandcnesse,ﬁnesse,Vande—,Vandenesso,,,,,,
5.0,venant._enﬁn,Nantua,t._Si,Bppnenant,Enﬁn,Enﬁn‘je,,,,,,,,,,,
6.0,grand—livre,grand—sur,Vivre,Grand—livre,,,,,,,,,,,,,
7.0,devaitsecou—,clel‘devaut,décou—,devatt—,its,,,,,,,,,,,,
8.0,mysté—,mys—,cabins‘tmysté,,,,,,,,,,,,,,
9.0,le Rhin,Rhin,,,,,,,,,,,,,,,
10.0,pous—,yous,Toustrois,Voussawz,,,,,,,,,,,,,
11.0,mada—,MADAME,Madre,,,,,,,,,,,,,,
12.0,no—,econo—,écono—,igno—,,,,,,,,,,,,,
13.0,Phétoré,Rhétoré,,,,,,,,,,,,,,,
14.0,veu—,ameu—,înelheu—,Eu—,malheu—,déjeu—,,,,,,,,,,,
15.0,créa—,aléa—,Famjtié,désagréa—,Création,,,,,,,,,,,,
16.0,Légitimistes,piste des intl—,timcns,Tes,,,,,,,,,,,,,
17.0,interroga—,intel—,réel—,mainte—,,,,,,,,,,,,,
18.0,gard,Léonarde,regar—,garni—,Lombardie,Yüard,,,,,,,,,,,
19.0,Cité sauts ton pien hz‘1‘euæ tc,Sautez,Cité,Charité s’,,,,,,,,,,,,,
20.0,Vauchel-,Vauchelles,,,,,,,,,,,,,,,
21.0,minis—,Ministère,jasmin,Depnis,,,,,,,,,,,,,
22.0,Brie,Mairie,Gulhrie,Briinnen,Célébrité,,,,,,,,,,,,
23.0,Cos,costu—,,,,,,,,,,,,,,,
24.0,le Corso,Corso,corn,,,,,,,,,,,,,,
25.0,lomène,Phdomèné,Philomènes,se;démène,,,,,,,,,,,,,
26.0,Datum,natu—,Naturellement1l,,,,,,,,,,,,,,
27.0,de Versailles,Versailles,broassailles,,,,,,,,,,,,,,
28.0,Dent de “Viard,Dent de Vilard,Dent de' Vilaid,Pont de Ward,Dent de Vitara,Vilardwetæ,,,,,,,,,,,
29.0,diplo—,Flo—,,,,,,,,,,,,,,,
30.0,manège,Normandie,déman—,deman—,Maman,Allemand,,,,,,,,,,,
31.0,d’instruction,"l’0ppo—
sition",eæwptioad’,Bossuct,instru—,,,,,,,,,,,,
32.0,Fl-ncle'nÿ,Fl-ncle'nÿ Malgré,Cercle,Bâle',,,,,,,,,,,,,
33.0,dePerrault,brasàsa,verras,Méditerranée,,,,,,,,,,,,,
34.0,sachez—,cachettel‘ies,achez—,Sachez,,,,,,,,,,,,,
35.0,Nucingen,Nucin-,cmgen,,,,,,,,,,,,,,
36.0,sccrète‘rﬁent,athlète—,Luccrno,,,,,,,,,,,,,,
37.0,mar—-,car—-,remar—,,,,,,,,,,,,,,
38.0,"mes-;,il",demestiqù_o,nimes,,,,,,,,,,,,,,
39.0,Saint—,rue Saint—Lazare,Saint—Germain,Saint—Hérem,Saint—Martin,Saint—Lazare,Sainte—Hélène,Saint—Jean,Lekain,Saint des Saints—Il,,,,,,,
40.0,permet—,regret—-,Terme,,,,,,,,,,,,,,
41.0,Ordinaire,"extraordi—
naire",extraor—,voquée extraordinaüement,,,,,,,,,,,,,
42.0,la Seine,la Scala,Seine,Magdeleine,,,,,,,,,,,,,
43.0,plusle,plusdis—,dis—-,,,,,,,,,,,,,,
44.0,Sommes,Hommes,Hummel,,,,,,,,,,,,,,
45.0,Raoul,Raoul‘sera,disaitRaoul,àRaoul,,,,,,,,,,,,,
46.0,m’_àiifte1‘a,F1‘au,,,,,,,,,,,,,,,
47.0,serv1r,Servir,serpens,,,,,,,,,,,,,,
48.0,Lesjournaux,journa—,Retournez,Jour,,,,,,,,,,,,,
49.0,voyais,T—.:Mais,Mail,"pleurait,4mais",Lui?jamais,Sais,Vais,"maison,-je",,,,,,,,,
50.0,comtesse de Van—,comtesse de Van—-,comtesse de Granville,comtesse de Vande-,courtesse de Grawille,comtesse de Mont—,,,,,,,,,,,
51.0,carac—,Caroline,ac—,,,,,,,,,,,,,,
52.0,justi—,justiﬁé,desti—,,,,,,,,,,,,,,
53.0,bro—,broda,,,,,,,,,,,,,,,
54.0,"ﬁlle,-il","elle,.elle",elle—,Est—elle,ellefeul,"rue
de Grenelle",—elle,Telle,,,,,,,,,
55.0,moin—,Soin,moii—,hoinms,amoindrîr,,,,,,,,,,,,
56.0,s’établir,obligéde,bt‘l\’étièle,cesablim,,,,,,,,,,,,,
57.0,jardi—,jardin Bergmann,Bergmaun,Jardin des Plantes,Be1gmann,,,,,,,,,,,,
58.0,"Belgirate,'moﬁ",Belgirele,Girardet,Belgirate,Belgiratè,Bèlglrate,,,,,,,,,,,
59.0,àParis,Parisien,Parisiens,Paris,Paris.—Impr,Parismonsieur,Parisiennes,"parisien,,le",Fantaisie,,,,,,,,
60.0,Tre Monasteri,monu—,mons,Nu—,,,,,,,,,,,,,
61.0,I‘illet,Tillet,Trllet,Gentillet,Quillet,,,,,,,,,,,,
62.0,Barcelone,embarca-lère,Garceneault,,,,,,,,,,,,,,
63.0,coq de l‘hôtel,l‘hôtel,orne l’hôtel,,,,,,,,,,,,,,
64.0,compas—,compri—,comprist‘s,écri—,compren—,Compter,compo—,,,,,,,,,,
65.0,conversa—,Nevers,travers,Monvel,Sa—,,,,,,,,,,,,
66.0,Avez,Save,Nleorivez,,,,,,,,,,,,,,
67.0,Sutton,Arrêtons,Sut,,,,,,,,,,,,,,
68.0,Doubs,du Doubs,ma‘dou-,du Japon,tié douce,,,,,,,,,,,,
69.0,Londres,Lons,Réveillon,lons,lons de l‘aristocratie bisontine,—- Allons,,,,,,,,,,,
70.0,"Baoul,_la",BaoulNa-,Baoul',,,,,,,,,,,,,,
71.0,Manerville,"drame—
vandeville",Ville,Wattoville,la Ville,Watleville,Vill,Granville,Hôtel—de Ville,Mancrville,Waueville,Wattcville,Vill_,,,,
72.0,demon—,remon—,Mon—,promon—,,,,,,,,,,,,,
73.0,Tuileries,ler,ga1erie,bouﬁ‘0nnerie,,,,,,,,,,,,,
74.0,répétâ,républi—,répu—,Républiquey,,,,,,,,,,,,,
75.0,fémi—,Jérémie,domi—,,,,,,,,,,,,,,
76.0,assem—,Masse].,Massol,Chasseur étin—,Masse,Assis,Iiasses,,,,,,,,,,
77.0,prenez—,Apprenez,Venez,pren—,Où prendras-tu,,,,,,,,,,,,
78.0,laisser—,obser—,Laisse,laissersen,,,,,,,,,,,,,
