cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
0,incroya—,croyez--,roya—,,,,,,,,,,,,,,,,,,,,,,,,
1,Dauphin,le Rhin,jç,Phi—-,Rhin,Dauphine,Euphrasie,A,,,,,,,,,,,,,,,,,,,
2,Vandenesse,Vandènesse,Vandene‘sse,Indes,Vabdenesse,Vandenessse,Vandcnesse,Vande—,Vandenesso,,,,,,,,,,,,,,,,,,
3,cher,Rocher,cher-,Her—,cher—,ychbré,He,Mon cher,chef—,,,,,,,,,,,,,,,,,,
4,Lovelacc,vieux Lovelacc,Love-,Lovelace,"lac
’",,,,,,,,,,,,,,,,,,,,,,
5,si—,t._Si,siégeaît,Hésilé,habi—,Sii,Ursiui,visi—,,,,,,,,,,,,,,,,,,,
6,mysté—,mys—,litté—,cabins‘tmysté,,,,,,,,,,,,,,,,,,,,,,,
7,can—,Van—,ban—,avan—,enfan—,arran—,la Havane,Avant1830,"dan—
ger",Van-—,Néan—,blan—,,,,,,,,,,,,,,,
8,Com,Cos,compas—,compri—,comprist‘s,Comédie,Compter,Comtois,la Comtoise,.comme»chäcun,Comté,accom—,com—-,complai—,la Comté,raccom—,Communal,comme—,commis—,cohé—,compo—,,,,,,
9,bois de Boulogne,Boulogne,"bois de
Boulogne",bois îneX.ploité,de Boulogne,,,,,,,,,,,,,,,,,,,,,,
10,no—,napoléo—,bro—,econo—,Ynoi,écono—,—- Non,ho—,Luccrno,igno—,,,,,,,,,,,,,,,,,
11,Qual'pianto,Andantez,anti—,gand,lanter—,s’attendantà,Q.dand',soixante—,,,,,,,,,,,,,,,,,,,
12,d’Etat,Etat,d’,,,,,,,,,,,,,,,,,,,,,,,,
13,Phétoré,Rhétoré,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bisontins,d’instruction,imaginétionsde,timcns,l‘insouciante impru—,Bisonlins,lons de l‘aristocratie bisontine,,,,,,,,,,,,,,,,,,,,
15,jardi—,gard,Léonarde,Ga-,sardo—,Sardaigne,Girardet,garni—,Lombardie,Yüard,Garceneault,,,,,,,,,,,,,,,,
16,chemi—,cachemire,fémi—,lumi—,chui—,Le Chemin,chemi5e,domi—,em=,,,,,,,,,,,,,,,,,,
17,minis—,Ministère,jasmin,Depnis,BOLOGNINI,,,,,,,,,,,,,,,,,,,,,,
18,granit-nètne,Graneoy,Granet,Granvrlle,Graneey,Grâccs,Grati-,Gra',,,,,,,,,,,,,,,,,,,
19,moteur—,Lesjournaux,jour—,journa—,C‘étaitjouer,arcades sour—,nour—,pour—,sour—,amour—,Jour,aujour—,four—,tour—,,,,,,,,,,,,,
20,ambitieuk,ambi—,Famjtié,a‘mbitldi‘l',L’AMBITIEUX,,,,,,,,,,,,,,,,,,,,,,
21,lise,Se,serv1r,Servir,fastueuse—,"la‘,base",déses—,E,Sels,meuse,vingt—sept,Sexe,se’,Sebmuke,Varèse,,,,,,,,,,,,
22,le Corso,Corso,rs,corn,,,,,,,,,,,,,,,,,,,,,,,
23,Datum,natu—,Naturellement1l,costu—,,,,,,,,,,,,,,,,,,,,,,,
24,de Versailles,Versailles,broassailles,,,,,,,,,,,,,,,,,,,,,,,,
25,Dent de “Viard,Dent de Vilard,Dent de' Vilaid,L’abbé de Godenars,Pont de Ward,Dent de Vitara,Godenars,Vilardwetæ,,,,,,,,,,,,,,,,,,,
26,Fl-ncle'nÿ,Fl-ncle'nÿ Malgré,ﬁ.;m,.,,,,,,,,,,,,,,,,,,,,,,,
27,sachez—,O-,achez—,Sachez,,,,,,,,,,,,,,,,,,,,,,,
28,Saint—,rue Saint—Lazare,Saint—Germain,Saint—Hérem,Quint,inté—,Intérêts,Saint—Martin,Saint—Lazare,Clermont—Mont—Saint—Jean,mainte—,Sainte—Hélène,Saint—Jean,Lekain,Saint des Saints—Il,,,,,,,,,,,,
29,Ordinaire,"extraordi—
naire",extraor—,voquée extraordinaüement,,,,,,,,,,,,,,,,,,,,,,,
30,poir—,Loire,premièreçfois,hehreus‘e‘soirée,"aﬁ""aire",soiree,,,,,,,,,,,,,,,,,,,,,
31,Bourg,Bourg-,Bohême,Bourse,bourgeoise—,ébouriﬁ‘ante,Strasbourg,,,,,,,,,,,,,,,,,,,,
32,Raoul,"Baoul,_la",BaoulNa-,Boule,Baoul',Raoul‘sera,disaitRaoul,boule—,-,àRaoul,,,,,,,,,,,,,,,,,
33,m’_àiifte1‘a,C0'—,“ï,m’,,,,,,,,,,,,,,,,,,,,,,,
34,Glisinbre-h’ai—ja pas prononcés,Sion,"l’0ppo—
sition",division—,Curiosité,Trîvulzio,sion,Sidonie,lionmy,Diion,Création,,,,,,,,,,,,,,,,
35,Itàlienne,Quotidienne,médienne,vienne,Vienne,Bouirienne,Ila11enne,.”-“:.,vien—,Briinnen,bouﬁ‘0nnerie,profund mienne,Tiens,ennemisou,Sicitienne,,,,,,,,,,,,
36,mada—,créa—,a—,enga—,méca—,situa—,écla—,aléa—,repa—,ména—,déta—,crea—,occa—,Sa—,atta—,ja—,ambassa—,occupa—,esca—,Na—,,,,,,,
37,justi—,justiﬁé,justicehumaine,,,,,,,,,,,,,,,,,,,,,,,,
38,lomène,Phdomèné,Philomènes,Philo-,,,,,,,,,,,,,,,,,,,,,,,
39,moin—,in’,Soin,plin—,moii—,hoinms,prin—,amoindrîr,,,,,,,,,,,,,,,,,,,
40,Soulas,Soulasl,nevoulaitpas,"Soulas,_voilà",souf—,Soutas,,,,,,,,,,,,,,,,,,,,,
41,àParis,Parisien,Parisiens,Paris,Paris.—Impr,Parismonsieur,Parisiennes,"parisien,,le",,,,,,,,,,,,,,,,,,,
42,Dilet,I‘illet,latieille,Vetterille,Tillet,Trllet,Gentillet,Villa-Diodeti,Quillet,<,T_1tlet,bt‘l\’étièle,Titlet,Sieilet,,,,,,,,,,,,,
43,acti—,exacte—,srÈctn,®,vivaci—,"P'rê—
facture",peti—,ac—,"ti—
mide",,,,,,,,,,,,,,,,,,
44,Neufchâtol,Neufchâtel,,,,,,,,,,,,,,,,,,,,,,,,,
45,comtessse,comtessey,“ Comtesse,Haüysséæ,LA conrsssn,comtesse,Comtesse,,,,,,,,,,,,,,,,,,,,
46,Doubs,du Doubs,du Japon,auberge du Gy@gne,tié douce,,,,,,,,,,,,,,,,,,,,,,
47,mons,Londres,Lons,Réveillon,Arrêtons,lons,Ëonsieur,cloî—,salont,—- Allons,,,,,,,,,,,,,,,,,
48,Villa-l)îodali,Manerville,"ﬁlle,-il","drame—
vandeville",Vieilles,Ville,Marseille,Vaudille,la Ville,Grawille,Vill,Sicile,Granville,Hôtel—de Ville,Mancrville,tefeuille,lille,treiill’asauvæ.-,Salle,l‘Ile,Famille,Vill_,,,,,
49,demon—,baron—,Bcauft‘remont,monu—,remon—,bouton—,mo‘n',Mon—,Moniteur,répon—,promon—,ton—,Monvel,Mont—Cenis,Gramont,Piémont,,,,,,,,,,,
50,alpes,Alpes,Al_—,Idéal,respec—,,,,,,,,,,,,,,,,,,,,,,
51,Lampbrani,Jura,eXpirant,"vi-
caire général",tran—,iran,iran—,Brabant,rantiras,,,,,,,,,,,,,,,,,,
52,"Chartreuse des
Bouxey",Grande Chartreuse,Chartreuse,Grande—Chartreuse,"le,.rilberl u.ruis.le Général des Chartreux",gracieuse—,Grande-Chartreuse,,,,,,,,,,,,,,,,,,,,
53,rapi—,capi—,mpi—,Ghapitre,trahi—,,,,,,,,,,,,,,,,,,,,,,
54,invo—,envo—,involontaire—,,,,,,,,,,,,,,,,,,,,,,,,
55,Fédéral,Opéra,bal de l’Opéra,Pérou,—- JérAme,,,,,,,,,,,,,,,,,,,,,,
56,Saint-Gothard,Saint-Gotha‘rd,Balthasar,Hasard,hypothè—,"Saint—
Gothard",,,,,,,,,,,,,,,,,,,,,
