cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,comtesse de Van—,comtesse de Van—-,piste des intl—,comtesse de Granville,baie de Naples,comtesse de Vande-,courtesse de Grawille,"comtesse de
Granville",comtesse de Mont—,,,,,,,,,,,,,
1,incroya—,inci—,croyez--,roya—,,,,,,,,,,,,,,,,,,
2,Dauphin,Phi—-,Dauphine,,,,,,,,,,,,,,,,,,,
3,Vandenesse,Vandènesse,nesse,Vandene‘sse,Vabdenesse,Vandenessse,Vandcnesse,ﬁnesse,Vande—,Vandenesso,,,,,,,,,,,,
4,grand—livre,grand—sur,Vivre,grandrenfort,Grand—livre,,,,,,,,,,,,,,,,,
5,Autriche,cher,Rocher,cher-,cher—,He,Mon cher,chef—,,,,,,,,,,,,,,
6,Lovelacc,vieux Lovelacc,Love-,Lovelace,"lac
’",,,,,,,,,,,,,,,,,
7,si—,t._Si,Hésilé,Sii,visi—,,,,,,,,,,,,,,,,,
8,mysté—,P9,mys—,cabins‘tmysté,,,,,,,,,,,,,,,,,,
9,j‘en,m‘en,,,,,,,,,,,,,,,,,,,,
10,can—,Van—,ban—,avan—,enfan—,“ï,déman—,deman—,"dan—
ger",Van-—,Néan—,blan—,,,,,,,,,,
11,Com,compas—,Comédie,Compter,Comtois,.comme»chäcun,accom—,com—-,raccom—,Communal,comme—,commis—,compo—,,,,,,,,,
12,bois de Boulogne,Boulogne,"bois de
Boulogne",de Boulogne,BOLOGNINI,,,,,,,,,,,,,,,,,
13,Datum,mada—,MADAME,Madre,,,,,,,,,,,,,,,,,,
14,no—,bro—,econo—,Ynoi,écono—,ho—,igno—,,,,,,,,,,,,,,,
15,Andantez,Nantua,s’attendantà,Q.dand',Bppnenant,»Dans,soixante—,Juan,,,,,,,,,,,,,,
16,d’Etat,Etat,p,.,d’,,,,,,,,,,,,,,,,,
17,Phétoré,Rhétoré,,,,,,,,,,,,,,,,,,,,
18,riuet,guet—,Etc,quetre,,,,,,,,,,,,,,,,,,
19,créa—,désagréa—,Création,,,,,,,,,,,,,,,,,,,
20,"connais—
sance",Renaissance,"puis—
sance des relations sociales",connais—,c'_o“nnais,s‘a‘handonna‘it,,,,,,,,,,,,,,,,
21,gard,Léonarde,Ga-,regar—,garni—,Lombardie,Yüard,Garceneault,,,,,,,,,,,,,,
22,chemi—,cachemire,fémi—,Le Chemin,chemi5e,domi—,,,,,,,,,,,,,,,,
23,minis—,Ministère,jasmin,Depnis,,,,,,,,,,,,,,,,,,
24,granit-nètne,Graneoy,Granet,Granvrlle,Graneey,Grâccs,Grati-,Gra',Graucey,,,,,,,,,,,,,
25,Lesjournaux,jour—,journa—,C‘étaitjouer,arcades sour—,nour—,pour—,sour—,amour—,Jour,aujour—,four—,tour—,,,,,,,,,
26,ambitieuk,ambi—,Famjtié,a‘mbitldi‘l',L’AMBITIEUX,,,,,,,,,,,,,,,,,
27,Dent,dente—,Décidément,menton,Eden,denxpios,,,,,,,,,,,,,,,,
28,Gandolphini,gand,Gandohuhini,Bbdolphd,,,,,,,,,,,,,,,,,,
29,Brie,Brièresdﬁ,Andrieux,Tuileries,Mairie,Jérémie,ga1erie,Gulhrie,ychbré,Briinnen,bouﬁ‘0nnerie,fripoh,Célébrité,,,,,,,,,
30,lise,Se,serv1r,Servir,"la‘,base",Sels,vingt—sept,Gymnase,Sexe,se’,Sebmuke,Varèse,serpens,,,,,,,,,
