cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0.0,agonie,l‘agonie,Agonie,d’l1 a1monie,,,,,,,,,,,,,,,
1.0,vIngt-,faix,vingt—,Vingt-,Vin gt-dix,,,,,,,,,,,,,,
2.0,Sommes,ww‘mrS,som—,Hommes,L‘homme,Sommes-,,,,,,,,,,,,,
3.0,Léona,Léonai,Léoua,Léonal,,,,,,,,,,,,,,,
4.0,celui—,sédui—,àla pluie-,,,,,,,,,,,,,,,,
5.0,viiiage,Pélage,Iii-il,,,,,,,,,,,,,,,,
6.0,mornes,Corne-bœuf !,Ferney,,,,,,,,,,,,,,,,
7.0,Louisl-Louisi,Haùdé,Louisl-,Louisiane,,,,,,,,,,,,,,,
8.0,-.-,-.-A_ÈC,,,,,,,,,,,,,,,,,
9.0,ici?-,Sicile,iCi'01ce,,,,,,,,,,,,,,,,
10.0,atta—,réta—,bruta—,,,,,,,,,,,,,,,,
11.0,soli—,Soldat,poli—,,,,,,,,,,,,,,,,
12.0,l‘ont,dit‘ont,l‘on,,,,,,,,,,,,,,,,
13.0,.——->—A.,".—""——-_—< >",M——-.,,,,,,,,,,,,,,,,
14.0,Tels,Bastel,,,,,,,,,,,,,,,,,
15.0,je1cevoir,Sçavoir,Be1je1,Me1ci,,,,,,,,,,,,,,,
16.0,J ai lutté,Goutte,J ai,,,,,,,,,,,,,,,,
17.0,toldos indiens,éclaireu1s indiens,toldos,,,,,,,,,,,,,,,,
18.0,Terre Sainte,terre,querrezla,La terre,Erreqr,la terre,,,,,,,,,,,,,
19.0,"peaux—
Là",Eau,Peaux—,"Peaux—

Ouest",Peau-,Peaux,,,,,,,,,,,,,
20.0,Renard-,Renard-Elle,Le Renard-,Le Renard-Bleu,Renard— B,Renard—,Renard-Bleu,,,,,,,,,,,,
21.0,mali,mala—,Alil Jan-Pol,malheu—,Téoealis,c.-malgré,,,,,,,,,,,,,
22.0,Pouvez-,Sauvez-le,mouve—,t1ouve1as,,,,,,,,,,,,,,,
23.0,—- Cela n’,Est Cela,4 N’,,,,,,,,,,,,,,,,
24.0,AU CHATEAU DE MALEVAL,Maleval,Malevall,Muleval,,,,,,,,,,,,,,,
25.0,maga—,Niagara,,,,,,,,,,,,,,,,,
26.0,jura,Jura,,,,,,,,,,,,,,,,,
27.0,._____,.____-,.__.A,FW___'.-.,,,,,,,,,,,,,,,
28.0,marau—,Gamarades,exau—,,,,,,,,,,,,,,,,
29.0,Faut,faUT,faute n’,faut—,,,,,,,,,,,,,,,
30.0,tort Duquesne,FORT DUQUESNE,Duquesne,fo1t Duquesne,fort Duquesne m’,fort Duquesne,"FORT DUQUESNE

LE COMTE DE JUMONVJLLE","fort
Duquesne",foiL Duquesne,fortDuquesne,,,,,,,,,
31.0,l‘arbre,l‘a,Libre,susdit arbre,,,,,,,,,,,,,,,
32.0,Proscrit,Procrit,Le Proscrit,Prosc1-t,Prescrit,,,,,,,,,,,,,,
33.0,Est,m—.est,ter1esT,Est_sayé,Cîest,G‘est,Est—ce,estici,est',,,,,,,,,,
34.0,Jumonville,J umonville,ﬁ M.— de Jumonvi11e,Jumenville,,,,,,,,,,,,,,,
35.0,brou—,enthou—,trou—,prou—,redou—,,,,,,,,,,,,,,
36.0,Viens,miens,Tiens,,,,,,,,,,,,,,,,
37.0,Qu‘ils,Qu‘1,ﬁilS,,,,,,,,,,,,,,,,
38.0,Aigle-Volant,Volant,le-\.,Aigle-Volant roula,Aigle—Volant,,,,,,,,,,,,,,
39.0,soit—,DOIT].,Poitou,,,,,,,,,,,,,,,,
40.0,undes,j1andes,ande,Hollande,normandes,,,,,,,,,,,,,,
41.0,bois—,obéis—,"bois

Du",Bois—'.l‘rac‘y,,,,,,,,,,,,,,,
42.0,conser—,élas—,cons—,consi—,conséquenls,conso—,,,,,,,,,,,,,
43.0,Manongahela,Manongahéla,Manonghahela,Manangahela,,,,,,,,,,,,,,,
44.0,Bois-Brûlés,Le bois-brûlé,bois-brûlé,Bois-Brùlé,,,,,,,,,,,,,,,
45.0,Angelo,sang—,Mangezl,tableaupchangea,envelop—,,,,,,,,,,,,,,
46.0,tue1,salue1,salu—,,,,,,,,,,,,,,,,
47.0,temporaire—,involontaire—,jar1iv 51 temps,,,,,,,,,,,,,,,,
48.0,Blancs,per10quet blanc,BANCllol-“l,,,,,,,,,,,,,,,,
49.0,aimez—,laim,orﬁaimer,— Vraiment,,,,,,,,,,,,,,,
50.0,Nouvelle—Orléans,Nouvelle-Orléans,Orléans,,,,,,,,,,,,,,,,
51.0,De L,Martyrisez,"De L
brise",,,,,,,,,,,,,,,,
52.0,M‘“°_ de,M‘“,,,,,,,,,,,,,,,,,
53.0,Osna,Osna—Aider-Lucie,,,,,,,,,,,,,,,,,
54.0,Pourquoi,pour—,Aujourd‘hui,devenantpourpre,Pour,,,,,,,,,,,,,,
55.0,peut—,Peut—,,,,,,,,,,,,,,,,,
56.0,Piste,Sans-Piste,Existence,triSte,,,,,,,,,,,,,,,
57.0,Hu1ons,Bonsoir,—- Voyons,g1onpe,,,,,,,,,,,,,,,
58.0,nuancés de gris,ﬁancés,il”gris-,,,,,,,,,,,,,,,,
59.0,J an—Pol,J an Pol,,,,,,,,,,,,,,,,,
60.0,BEL L E ltl V !,L E B 1 V I È,,,,,,,,,,,,,,,,,
61.0,Armand,Charmante,"A1 armanDﬁt
le comte",,,,,,,,,,,,,,,,
62.0,L1épliqua,Explique,expo—,Expliquez-,m’expliquerez,,,,,,,,,,,,,,
63.0,Bisquetout,Risque-Tout,Toutàcoup,Septou,Risque,Risque—,,,,,,,,,,,,,
64.0,Moi—,A moii,Moi,moii,moi,,,,,,,,,,,,,,
65.0,"dire,ﬁ","attcndirent

 

 AH",Vire,est-à-dire,,,,,,,,,,,,,,,
66.0,Hiver,Biver,,,,,,,,,,,,,,,,,
67.0,ma1t1,ma1qu1se,p11se,,,,,,,,,,,,,,,,
68.0,comptez—,Comptez,Acceptez,,,,,,,,,,,,,,,,
69.0,Mexique,golfe du Mexique,cap du Chat,,,,,,,,,,,,,,,,
70.0,présentemns,sentencieu—,Aprés,,,,,,,,,,,,,,,,
71.0,BELLEÏRIVÏÈRE,BELLE IllVlÉltE,Belle,ÎBELLE,Bellou,Belle1a1on,BELLE,BELLE a1,BELLE mvn‘ce,BELLE n1 1En,Bella,BELLE mvuäan,,,,,,,
72.0,la Belle-Rivière,Belle—Rivière,Belle Rivière,Le ROi,BELLE R]VIÈRE,BELLE RIVIÈRE,Belle-Rivière,,,,,,,,,,,,
73.0,Belle—Arrière,la Belle—Arrière,mrs,Belle-Arrière,,,,,,,,,,,,,,,
74.0,"Ge gentilhomme,_je l’avais",gentils—,genouæ,senti—,,,,,,,,,,,,,,,
