cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,Laisse,Laissez-,Anglais,,,,,,,,,,,,,,
1,humﬁtWard,A1,Ward,,,,,,,,,,,,,,
2,indiens,Indien,L’Indien,-?.or-x'—,Indiens suuvuges,toldos indiens,Indiens,d’un Indien,Indien Delaware,éclaireu1s indiens,indé—,pè1e,Indiennes,desIndiens,,,
3,philosophe—,Osna,le philosophe—,J',philoso—,,,,,,,,,,,,
4,Rameau-d’Or,Rameau-,Rameau-d'Or,Dame,a1r‘étantRameau,Rameau- d‘01,,,,,,,,,,,
5,Chichiméques,jaCques-,wigwam,nﬂéchit,ques—,,,,,,,,,,,,
6,Lovelace,place de nolre daim,place qu’,.—:—-,envelop—,‘a.—,cha11eela,,,,,,,,,,
7,sdes,t1ibus nomades,s‘dessus',tardes-Lu,lourdes,Gamarades,".-,",baie des Marmousets,,,,,,,,,
8,FORT DUQUESNE,fort Duquesne,fortDuquesne,S',Duquesne,vigi—,fo1t Duquesne,tort Duquesne,"FORT DUQUESNE

LE COMTE DE JUMONVJLLE",garnison du tort_Duqnesne,"fort
Duquesne",foiL Duquesne,fort Duquesne m’,,,,
9,Nulle,Tulle,Allez,lasalle,Qu‘1,ärææwr—,mollet,,,,,,,,,,
10,jura,.=,M:,"or,‘—.*-:—g",Jura,Caen,,,,,,,,,,,
11,répondit—,Rétendit,descenditle,tend1e,ten',,,,,,,,,,,,
12,yan-kccs,Yankées,Râmean-,s-,,,,,,,,,,,,,
13,chaus—,mv1Ènu,chaude—,GHAUMIÈBE,cap du Chat,cHaussée,haussa,"chaumiè1 e.

Il tenait un fusil",,,,,,,,,
14,château de,"s==,.—.=——","château de
Beauregard",hâtez,Baht,,,,,,,,,,,,
15,compa—,ﬁnit,ÏœWÀ,"va_,ﬁt",compartimentsan,impa—,accompa—,"-

—- Compagnons",,,,,,,,,
16,Hu1ons,mons,g1onpe,ma1t1,Lﬁls,—- Voyons,Bonsoir,,,,,,,,,,
17,Mexique,Karnac celtique,"océan
Atlantique",briquet,golfe du Mexique,lac garnison britannique,,,,,,,,,,,
18,Canadien,Canadien-,canada,Canada,cana—,——C’,M’,N1,Canadiens,Uanadien,Canadienne,ww‘mrS,Cana-,,,,
