cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
0,Laisse,Laissez-,Anglais,L,s’aﬁ'aissa,Puisses,Mississipi,,,,,,,,,,,,,,,,,,,,,,,
1,donT,Montréal,N‘-=Ont-'wmÿmna,Tont,S&.,honteuscnwnt,gens‘dont,weldon,cont1ai1e,,,,,,,,,,,,,,,,,,,,,
2,wampums,wigwam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,impro—,impru—,rappro—,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LES,Drôles,Ve1a1lles,Les Mois,lettres—,Les,Pâles,,,,,,,,,,,,,,,,,,,,,,,
5,philosophe—,le philosophe—,philoso—,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Rameau-d’Or,Rameau-,Rameau-d'Or,.ﬂ,d’amiral—,Dame,a1r‘étantRameau,Rameau- d‘01,Râmean-,,,,,,,,,,,,,,,,,,,,,
7,Léona,Léonal,M:,Léonai,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cria,Souriant,Cria—,Écria,réﬂécria,cria—,,,,,,,,,,,,,,,,,,,,,,,,
9,Sommes,tombé—,Sommes-,som—,L‘homme,Hommes,,,,,,,,,,,,,,,,,,,,,,,,
10,Con-,conva—,yan-kccs,conti—,convic—,recon—,rencon—,N-,coniact,conﬂt,"la_,_non-",confon—,,,,,,,,,,,,,,,,,,
11,répondit—,Rétendit,Répondez,soit—,descenditle,,,,,,,,,,,,,,,,,,,,,,,,,
12,FORT DUQUESNE,fort Duquesne,fortDuquesne,Duquesne,fo1t Duquesne,tort Duquesne,"FORT DUQUESNE

LE COMTE DE JUMONVJLLE",garnison du tort_Duqnesne,"fort
Duquesne",foiL Duquesne,fort Duquesne m’,,,,,,,,,,,,,,,,,,,
13,".,",".,-",",_.,ç",".,_.",".,=","_.,",,,,,,,,,,,,,,,,,,,,,,,,
14,jura,Jura,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Viens,vie!.,Demi—liens,j‘en conviens,convien—,Tiens,miens,1nassouvie,,,,,,,,,,,,,,,,,,,,,,
16,-.-,".-\,.ç_-",pied.-,".-,",-.-A_ÈC,,,,,,,,,,,,,,,,,,,,,,,,,
17,chaus—,chaude—,GHAUMIÈBE,cap du Chat,cHaussée,haussa,"chaumiè1 e.

Il tenait un fusil",,,,,,,,,,,,,,,,,,,,,,,
18,compa—,complè—,compli—,accom—,compen—,compartimentsan,impa—,accompa—,"-

—- Compagnons",,,,,,,,,,,,,,,,,,,,,
19,BELLE,BELLE n1 1En,Belle,BELLEÏRIVÏÈRE,Bellou,Bella,BELLE R1ÊTRE,BELLE a1,BELLE IllVlÉltE,BELLE mvn‘ce,BELLE mvuäan,cascabel,Belle1a1on,ÎBELLE,,,,,,,,,,,,,,,,
20,douai,Léoua,Douai—Haùdé,Ouais,Doué,Douai,Douai-Handé,,,,,,,,,,,,,,,,,,,,,,,
21,rivière,Rivière,"RIVIÈRE

—",RIVIÈRE 483,1ivière,"rivière de
Montmorency",ÿùﬁﬁ,Frontières,rivière qu’,"RIVIÈRE

L‘homme",,,,,,,,,,,,,,,,,,,,
22,"bois

Du",bois-brûlé,Bois-Brùlé,Le bois-brûlé,Brûlé,Bois-Brûlés,,,,,,,,,,,,,,,,,,,,,,,,
23,rose—,ET-‘ROSE,c11rosse,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Canadien,Canadien-,canada,Canada,cana—,Canadiens,Caen,Uanadien,Canadienne,Cana-,,,,,,,,,,,,,,,,,,,,
25,trave1,Tracy,Bravo,a‘travers,,,,,,,,,,,,,,,,,,,,,,,,,,
26,indiens,Indien,L’Indien,Indigne,Indiens suuvuges,toldos indiens,Indiens,Dinwidie,d’un Indien,difﬁ—,Dieppe,L‘indiﬁ‘érence,Indien Delaware,éclaireu1s indiens,indé—,Indiennes,desIndiens,,,,,,,,,,,,,
27,attendez,Rendez,battems,m‘entendez,Attendons,atten—,tend1e,attendez—,ten',,,,,,,,,,,,,,,,,,,,,
28,ll.lVlÈll-E,BELLE ll.lVlÈll-E,lthlÈltE,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ordre1oy,.Ordre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,.-—-,———-:--—.-—-,-—=,.-—.-,N’-—et*=,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Iam-n.

saire",Iam-n.,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,peut—,frappeuà,Peut—,pe1,à4,,,,,,,,,,,,,,,,,,,,,,,,,
33,Wma,Ma-,mali,Téoealis,Libre,mala—,c.-malgré,Pilma,malheu—,Alil Jan-Pol,,,,,,,,,,,,,,,,,,,,
34,M',|,M' -“ —,"M'""",m‘Y'ÊÎ'r-7‘m'f—‘T',,,,,,,,,,,,,,,,,,,,,,,,,
35,chasseu,chas—,Asseyez,spndassiu,chasseu1,chasse—,seul—,É chasseur,s’asseyant,,,,,,,,,,,,,,,,,,,,,
36,trou—,prou—,amou—,Du—,redou—,brou—,propre—,enthou—,,,,,,,,,,,,,,,,,,,,,,
37,clai1@il1e,L1,L1sse1,l1,cal11mét,,,,,,,,,,,,,,,,,,,,,,,,,
38,empresse—,ﬁnesse,désintéresse—,pres—,,,,,,,,,,,,,,,,,,,,,,,,,,
39,._.,l33,.__.A,._._T._.e,ﬁ,._._._,._.-,,,,,,,,,,,,,,,,,,,,,,,
