text,cluster
Regardez,0
garderai,0
regar—,0
regardez,0
tardes-Lu,0
Renard-,1
Le Renard-Bleu,1
Le Renard-,1
Renard-Elle,1
humﬁtWard,1
Renard— B,1
Ward,1
Renard-Bleu,1
Renard—,1
ﬁr,2
ﬁr_.,2
\—,2
Berger,3
Ferney,3
ger,3
B,3
Betarder,3
souﬁ‘ert,3
.u,3
Bergen,3
Nord,4
"'

Nord",4
Ordre1oy,4
du Nord,4
.Ordre,4
app1écier,5
merisier,5
s’exprimer,5
L‘aventurier,5
Merci,5
s’orienter,5
ÏÆÉä,5
remédierà,5
fier,5
mer 51,5
cap Rosier,5
d’Or,6
d’,6
Hameau d’Or,6
.y|,6
Rainèau- d’Or,6
Paris,7
il”gris-,7
.F,7
ﬁ,7
disparu—,7
Parvenu,7
Martyrisez,7
Particularité,7
parcourir,7
unpareil,7
Loris,7
Parisien,7
aimais,8
sais,8
mais1,8
deuimaitns,8
f1aucais,8
nais—,8
maisonnettc,8
Bais,8
mais‘avais des ordres,8
\'mais,8
laim,8
A demain midi,8
Vais,8
mawkawis,8
Demain-,8
aimez—,8
venaisou,8
Maigre,8
orﬁaimer,8
faix,8
J'ai,8
jura,9
Rassurez,9
jurerais,9
rassur.er,9
®,9
Jura,9
Québec,10
Québec permet—,10
remet—,10
Grigny,11
désignan,11
baron de Grigny,11
Grognon,11
igno—,11
Grignyr,11
M:,11
"M. de
Grigny",11
barou de Grigny,11
Carignan,11
Grigny qu’,11
senti—,12
conti—,12
courti—,12
Anticosti,12
Ï,12
—,12
Frontières,12
monticule artiﬁciel,12
VoIs,13
Vois,13
"bois

Du",13
je1cevoir,13
Sois,13
Voilà,13
Sçavoir,13
Bois—'.l‘rac‘y,13
bois—,13
Vois-tu,13
c—,14
satisfac—,14
S,14
A,14
tete,15
Tels,15
Totem,15
S01ète,15
hâtez,15
LucetTe,15
m,15
cette1de,15
ten',15
Halte,15
jar1iv 51 temps,15
Cette,15
N’-—et*=,15
lthlÈltE,15
Rameau-d'Or,16
Rameau-,16
Râmean-,16
d’amiral—,16
Rameau-d’Or,16
Dame,16
Rameau- d‘01,16
a1r‘étantRameau,16
.=,17
L,17
J<.=“,17
"s==,.—.=——",17
adver—,18
verai,18
Biver,18
amèneras,18
bivouaquerai,18
ve1rai,18
Hiver,18
ahﬁrmerai,18
a‘travers,18
abuserai,18
Reverrai,18
certai—,18
fort n’,19
4 N’,19
fort Rupert,19
nüpä,19
fort honnêtes,19
eﬁ”ort suprême,19
É confortable,19
respon—,20
Londres,20
"expédition—
naire",20
rencon—,20
baton—,20
Espérezl,20
la respon—,20
J ai,21
J an—Pol,21
J ai lutté,21
J an Pol,21
Î.;t,22
aussitôT’,22
AussiTôt,22
t’,22
plusiems,22
demeu—,23
seul—,23
meuse,23
aﬁ‘reuse,23
Furieuse,23
me’,23
seño1,23
Exeusezunoi,23
se1viteu1,23
Ilmmgcuse,23
joyeuse—,23
me',23
Pâles,24
Non_lectricesne,24
Les,24
gvvm,24
cap des Monts-Elles,24
