cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,crois,Le ROi,discré—,Crois,crois—,Crois-tu,,,,,,,,,,,,,,,,
1,soli—,poli—,Soldat,oli‘ert,culi—,,,,,,,,,,,,,,,,,
2,mur—,ﬂﬁﬂr—?x,clair—obscur,ärææwr—,L'amour—,au)mur,,,,,,,,,,,,,,,,
3,.L,.l,L.LÀ.;WZ£,,,,,,,,,,,,,,,,,,,
4,agonie,d’l1 a1monie,l‘agonie,Niagara,Agonie,,,,,,,,,,,,,,,,,
5,bran—,Bravo,aban—,n—,brandir,,,,,,,,,,,,,,,,,
6,si—,plusiems,.Si,vigi—,celui—,dissi—,si',mi—,faci—,consi—,,,,,,,,,,,,
7,Euro-,Créateur,Éditeur,Mohsieurl,Europe,Européens,,,,,,,,,,,,,,,,
8,ﬁt Washington,p w.,Washington,,,,,,,,,,,,,,,,,,,
9,j‘en,s‘en,m‘en,J‘en,en’,P1‘enez,l‘en,d‘en,t‘en,s‘en'onçaient,,,,,,,,,,,,
10,Moi,moin—,demi—moi,moi,moii,Moi—,A moii,DOIT].,,,,,,,,,,,,,,
11,.-;.,.-;.—,.-;.:art—.1,,,,,,,,,,,,,,,,,,,
12,la Belle-Rivière,Belle Rivière,BELLE R1ÊTRE,BELLE RIVIÈRE,BELLE R]VIÈRE,Belle—Rivière,Belle—Arrière,"ÎwÏ

r",Belle-Rivière,Belle-Arrière,BELLEÏRIVÏÈRE,la Belle—Arrière,,,,,,,,,,
13,Alleghanys,Alleghany,monts Alleghanys,j1,,,,,,,,,,,,,,,,,,
14,Le,électri—,ler,Créole,m| LEGAI,Jérusalem,noble—,le-\.,inlerdile,.Le—,etle,nuhlecinc,,,,,,,,,,
15,certai—,Reverrai,Hiver,S,verai,a‘travers,Biver,bivouaquerai,adver—,ve1rai,abuserai,ahﬁrmerai,amèneras,,,,,,,,,
16,Peaux,tableaupchangea,Eau,Peau-,Peaux—,|,"peaux—
Là",Bordeaux,"Peaux—

Ouest",,,,,,,,,,,,,
17,oUi,bouillonna,Bouillon,Ou1,inquié—,dix—huit,Oui—,Aujourd‘hui,Louisiane,Louisl-Louisi,oui-Fine,Ouiﬁtez,Kouba,Toutàcoup,Kouka,Louisl-,Oui,Septou,,,,
18,Indien,Dieppe,Dinwidie,difﬁ—,toldos indiens,L‘indiﬁ‘érence,Indiens,d’un Indien,répondit—,éclaireu1s indiens,Rétendit,indé—,L’Indien,indiens,Indiennes,Indigne,Indiens suuvuges,desIndiens,Indien Delaware,,,
19,.*;-,.*.i,F,,,,,,,,,,,,,,,,,,,
20,Parfaitement,Vivement,neme,Doucement,Vengé,vive—,généralement—,Moi1ùjustement,,,,,,,,,,,,,,
21,Explique,expo—,L1épliqua,Expliquez-,Mexique,m’expliquerez,golfe du Mexique,,,,,,,,,,,,,,,
22,monticule artiﬁciel,senti—,Anticosti,conti—,Frontières,courti—,,,,,,,,,,,,,,,,
23,de Versailles,Versailles,orﬁcier de Versailles,sailles,adversaif'e,,,,,,,,,,,,,,,,,
24,.‘_.,.‘ﬂ,.‘Ç—,,,,,,,,,,,,,,,,,,,
25,A l\,l\,ŸÏ,,,,,,,,,,,,,,,,,,,
26,Sommes,som—,Ç’,Hommes,Sommes-,L‘homme,,,,,,,,,,,,,,,,
27,N-,Con-,"la_,_non-",confon—,conva—,cons—,connais—,coniact,convic—,Coulon,conﬂt,yan-kccs,,,,,,,,,,
28,a—,bruta—,maga—,énigma—,.a—,acca—,impla—,voya—,anima—,noncha—,esca—,,,,,,,,,,,
29,Hurons,Fumerons-,«,Hu1ons,Huron,Loups-Hurons,Hnrons,,,,,,,,,,,,,,,
30,»—.,".—""——-_—< >",._—.—,.—=6&—,"a

._—.",M.—,mm.—_—,._—,"s==,.—.=——",,,,,,,,,,,,,
31,Grigny qu’,Grigny,Grignyr,barou de Grigny,ÏœWÀ,Carignan,désignan,baron de Grigny,igno—,"M. de
Grigny",,,,,,,,,,,,
32,baie des Marmousets,"A1 armanDﬁt
le comte",comtesse de Maleval,châtelaine de Maleval,N,cbmtesse,comtesse de Malev,AU CHATEAU DE MALEVAL,"FORT DUQUESNE

LE COMTE DE JUMONVJLLE",comtesse de Maleval‘l,,,,,,,,,,,,
33,Montmo1e,Revenons,monu—,mons,Mon père1et:1lit,Montréal,Onse,Saut de Montmorency,—- Voyons,—- Monsieur,Algonquins,,,,,,,,,,,
34,Grand-Esprit,Grand—Esprit,Grand,,,,,,,,,,,,,,,,,,,
35,supé—,SUI,Opossum,Suis,Suivez,la‘suivre,suivezmoi,sédui—,,,,,,,,,,,,,,
36,A1,a1,pa110,ma1t1,ma1qu1se,cha11eela,a1dàt,hasa1,,,,,,,,,,,,,,
37,Avez,G,Venez,b1avez,Sauvez-le,Savez,avez—,S&.,trave1,savez—,,,,,,,,,,,,
38,d. au1,heu1es,ceintu1e,au1e,sou111e,mvu‘au,,,,,,,,,,,,,,,,
39,pres—,vous—,s—,obéis—,mys—,.s—4,pays—,élas—,gentils—,impos—,,,,,,,,,,,,
40,f01,L01,l08,f01êt,l501,r01,,,,,,,,,,,,,,,,
41,——C’,c’,C’,"n

— C’",—— C’,,,,,,,,,,,,,,,,,
42,Du—,brou—,prou—,impru—,enthou—,proba—,impro—,trou—,amou—,propre—,,,,,,,,,,,,
43,chaus—,"chaumiè1 e.

Il tenait un fusil",cap du Chat,haussa,GHAUMIÈBE,chas—,chaude—,cHaussée,,,,,,,,,,,,,,
44,petit—être,Peut—,frappeuà,peut—,,,,,,,,,,,,,,,,,,
