cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0.0,Vois,Sois,envoie-les-moi,Pilois,,,,,,
1.0,Quelque,Ménalque,Quels,Quelquefois,Bouzanquet,,,,,
2.0,Vendredi,Rendez,Venez,Attends,,,,,,
3.0,Fougeroux,Jugez,Broum-Broum,,,,,,,
4.0,Châteauneuf-du-Pape,vingt-dix-neuf,,,,,,,,
5.0,Religion,Expansion,Eliacin,Borel,,,,,,
6.0,Vicvamitra,victoria,victoria de la dame,,,,,,,
7.0,Alfort,Infortunes,Ecole d'Alfort,,,,,,,
8.0,Comprenez,Grenelle,tonnelle,Te rappelles,Nègre,,,,,
9.0,ben,Bengalis,,,,,,,,
10.0,Cristaux,Écris,,,,,,,,
11.0,Chili,Cécilia,Philistine,,,,,,,
12.0,Batignolles,Batignolles -,Tolocototignan,Récollets,,,,,,
13.0,Voyez,voyais,initiais,,,,,,,
14.0,boulevard Montparnasse,Montparnasse,théâtre Montparnasse,,,,,,,
15.0,Vienne,Ancienne maison,,,,,,,,
16.0,Saint-Germain,clocher de Saint-Germain,faubourg Saint-Germain,Saint-Germain-des-Près,Saint-Germain-des-Prés,Près-Saint-Gervais,tour de Saint-Germain,horloge de Saint-Germain,,
17.0,Écoutez,,,,,,,,,
18.0,Bandit,Bamban,,,,,,,,
19.0,Beaucaire,Désir-de-plaire,mont-de-piété,,,,,,,
20.0,Souwaroff,Chauve-Souris,Soudain,Soubeyrol,,,,,,
21.0,Heulla,Ferrouillat,,,,,,,,
22.0,Minuit,Inutile,,,,,,,,
23.0,Comédie-Française,Théâtre-Français,Théâtre Français,,,,,,,
24.0,rue Lanterne,Nanterre,Angleterre,,,,,,,
25.0,lilas,Cunocépa,Océan,,,,,,,
26.0,Courage,Maine,Touraine,Porcelaines,,,,,,
27.0,Palais-Royal,Lalaitou,Palais-Mazarin,Kalatçala,,,,,,
28.0,bourrée,Tribou,Luxembourg,beurrées,,,,,,
29.0,Emporte,Port-au-Prince,Roberte,Sortez,trompe-la-mort,,,,,
30.0,"PAPILLON 
Grimpe",Papillon,cimetière des Papillons,guide-ballon,"PAPILLON 
Trouves-tu mon Muguet",Grillon,,,,
31.0,Sarlande,Inde,Sarlandais,,,,,,,
32.0,Barrière,gros Serrières,Serrières,Derrière,Prri,serrure,,,,
33.0,Lakçamana,Gymnase,Anastasie,mastoïdes,Anastagille,,,,,
34.0,Jardin des plantes,Rue des Dames,rue de Lille,rue des Dames,Dame,,,,,
35.0,Poussé,Pouah,,,,,,,,
36.0,Bhagirathg,Daçaratha,Mathurine,Araignée,,,,,,
37.0,Prairie,la Prairie,,,,,,,,
38.0,Saint-Théophile,Essaie,église Saint-Pierre,Saint-Nizier,Saint-Pierre,Saint-Pétersbourg,Saint-Emilion,Saint Nizier,Saint-Cloud,Saint-Esprit
39.0,Présentez,Montez,Montmartre,Saumon,,,,,,
40.0,Beaux,Caveau,Sceaux,Pruneaux,bordeaux,,,,,
41.0,Amour,Limoux,Limouk,,,,,,,
42.0,miséra-a-ble !,le Midi,Midi,,,,,,,
43.0,Israélite,carmélites,Carmélites,,,,,,,
44.0,du Nord,du cher,Mon cher,Cher,,,,,,
45.0,Précédé,Décidément,– Précisément,Confusément,,,,,,
46.0,Parisien,Tiens,Parisiens,Paris,Cadet,,,,,
47.0,Près,aimais,Jamais,J'aimais,,,,,,
48.0,d'Espagne,Bretagne,Cassagne,la Bretagne,,,,,,
49.0,Dépêchons,Evêché,Chose,,,,,,,
50.0,pyramide d'Égypte,Foin,Pierrotte d'autrefois,Pierrotte,,,,,,
51.0,collège de Sarlande,Lyon,collège de Lyon,collège de,,,,,,
52.0,Jacques,Hacqueville,chiffraille,cette Bastille,,,,,,
53.0,Mlle,Allez,Vallée,,,,,,,
54.0,Vieille,Marsala,Conseille,Marseille,,,,,,
55.0,Bons,Bonsoir,,,,,,,,
56.0,Coquine,Chinois,Chine,Polichinelle,,,,,,
57.0,Écouter,,,,,,,,,
58.0,l'Alsacien,Alsace,Alsacien,,,,,,,
59.0,place des Terreaux,Place !,place d'Armes,,,,,,,
60.0,Chenilles,les Chenilles,Tes chemises,,,,,,,
61.0,Muguet,Muguets,,,,,,,,
62.0,Entrerai-je,menton,– Vraiment,Comment,Vraiment,,,,,
63.0,Université,Vive,,,,,,,,
64.0,Grand-Cercle,Algérien,Grand-Orient,,,,,,,
65.0,bésigue,Vlan,Languedoc,Langlumeau,,,,,,
66.0,rue Saint-Benoît,Saint-Benoît,rue Saint-Guillaume,,,,,,,
67.0,Bravo,Raspail,Embrasse,Rassurez,,,,,,
68.0,Quartier latin !,Lamartine d'Elvire,Quartier latin,,,,,,,
69.0,figurez,guipure,Figurez,,,,,,,
70.0,Réfléchissez,buis,suisse,,,,,,,
71.0,Italie,Italiens,l'Italie,d'Italie,,,,,,
72.0,Nécrophores,Sèvres,Négresse,,,,,,,
73.0,estimez,Palerme,Dormez,,,,,,,
74.0,ronfla,Pérou,Espéron,,,,,,,
75.0,Cévenol,la Cévenole,Cévenole,Cévennes,,,,,,
76.0,le soleil,soleil,,,,,,,,
77.0,îles Marquises,Pise,Champenoise,,,,,,,
78.0,Frinc,l'Afrique,Afrique,,,,,,,
79.0,Naples,baie de Naples,,,,,,,,
80.0,Escargots,Madagascar,Caraïbe,Scarabées,,,,,,
81.0,Robinson,Sonne,Muse sévère,songeuse,,,,,,
82.0,Daniel,Petit-Cercle,Petit Daniel,,,,,,,
83.0,Regardez,Chardon,Parthénon,Pardon,,,,,,
84.0,kakatoès,Vatel,Observatoire,,,,,,,
85.0,Guigne,Notre-Seigneur,Seigneur,Signez,,,,,,
86.0,Rhône,le Rhône,Le Rhône,,,,,,,
87.0,Rana-Volo,Lombards,Colombine,,,,,,,
88.0,Avez,Savez,,,,,,,,
89.0,maison Eyssette,EYSSETTE,Musette,Eyssette,,,,,,
90.0,Le Rosellen,Rêverie de Rosellen,nez de mademoiselle,Rose,Rosellen,,,,,
91.0,Arrêtez,Prêtez,,,,,,,,
92.0,Rome,Providence,Promettez,,,,,,,
93.0,Ebloui,Fouette,Lalouette,,,,,,,
94.0,Pacheco,Bachagas,la manche,Approche,Perrache,,,,,
95.0,Grossiers,Faust,Moustiers,,,,,,,
96.0,Coucou,Coucou-Blanc,Boucoyran,Négresse Coucou-Blanc,Coucou-,,,,,
